,items
0,AA 5 Tablet
1,AA HA Syrup
2,AA HA Syrup
3,AA HA Tablet
4,AA-M Tablet
5,Aabaz 500mg Tablet
6,Aabis P 100mg/325mg Tablet
7,Aabis P Oral Suspension
8,Aabis-MR Tablet
9,Aabis-MR Tablet
10,Aace FA 100mg Tablet
11,Aace FA P 100mg/500mg Tablet
12,Aacedase P Tablet
13,Aacedase P Tablet
14,Aacef 1000mg Injection
15,Aacef 250mg Injection
16,Aacef 500mg Injection
17,Aacef S 1000mg/500mg Injection
18,Aacef S 1000mg/500mg Injection
19,Aacef S 250mg/125mg Injection
20,Aacef S 500mg/250mg Injection
21,Aacef T 1000mg/125mg Injection
22,Aacef T 500mg/62.5mg Injection
23,Aady 250mg Tablet
24,Aady 500mg Tablet
25,Aadyclav 500mg/125mg Tablet
26,Aagnil Syrup
27,Aagnil-Sos Syrup
28,Aaiso 20mg Soft Gelatin Capsule
29,Aalcetamol 1000mg Infusion
30,Aaltranido O 200mg/500mg Tablet
31,Aaluric 100mg Tablet
32,Aaluric 300mg Tablet
33,Aaluric 300mg Tablet
34,Aam SD 1000mg Tablet
35,Aamin 5mg Tablet
36,Aamin A 5mg/50mg Tablet
37,Aamin L 5mg/5mg Tablet
38,Aanclox 250mg/250mg Capsule
39,Aanclox KID 125mg/125mg Tablet
40,Aanflam 400mg/325mg Tablet
41,Aanflam F 400mg/400mg Tablet
42,Aanid Lotion
43,Aanid Ointment
44,Aanprim DS 800mg/160mg Tablet
45,Aanprim DS 800mg/160mg Tablet
46,Aansoo 1% Eye Drop
47,Aansoo Lubricant Eye Drop
48,Aapi Syrup Sugar Free
49,Aaptol CZ 5mg/500mg/5mg Tablet
50,Aar Dec 25mg Injection
51,Aar Dec 50mg Injection
52,Aar-Zole 40mg Injection
53,Aar-Zole 40mg Injection
54,Aaram 0.5mg Tablet
55,Aaram Tablet
56,Aaramine 250 Capsule
57,Aarbact 4gm/0.5gm Injection
58,Aarbether 75mg Injection
59,Aarbether LF 80mg/480mg Tablet
60,Aarcim 100mg Tablet
61,Aarcim 50mg Dry Syrup
62,Aarcim AZ 200mg/250mg Tablet
63,Aarcim CV 200mg/125mg Tablet
64,Aarcim LB 200mg Tablet
65,Aarcim O 200mg/200mg Tablet
66,Aarcim O Dry Syrup
67,Aarclo 75mg Injection
68,Aarclo AS Tablet
69,Aarcob 2500mcg Injection
70,Aarcof Syrup
71,Aardex 4mg Injection
72,Aardom 40mg Tablet
73,Aardom 40mg Tablet
74,Aardom D 30mg/10mg Tablet
75,Aardom-IV Injection
76,Aardox 100mg Tablet
77,Aardox 200mg Tablet
78,Aardox CV 200mg/125mg Tablet
79,Aardox CV 200mg/125mg Tablet
80,Aarfen MR 100mg/325mg/250mg Tablet
81,Aarfen P 100mg/325mg Tablet
82,Aarfen SP 100mg/325mg/10mg Tablet
83,Aarflo 200mg Tablet
84,Aarflo OZ 200mg/500mg Tablet
85,Aarjoint Tablet
86,Aarkast-LC Tablet
87,Aarkigin 1.53gm Syrup
88,Aarmethy 1500mcg Injection
89,Aarmox CV Dry Syrup
90,Aarnate 60mg Injection
91,Aarnet 50mg Tablet
92,Aarnet Plus 80mg/480mg Tablet
93,Aaron 100mg Injection
94,Aarpen 40mg Injection
95,Aarpen 40mg Tablet
96,Aarpen D 10mg/40mg Tablet
97,Aarpen D 30mg/40mg Capsule SR
98,Aarpik 10mg Tablet
99,Aarpik 20mg Tablet
100,Aarpred 4mg Tablet
101,Aarpred 8mg Tablet
102,Aarrab LSR Capsule
103,Aarrab LSR Capsule
104,Aarsil Syrup
105,Aarther P 100 mg/500 mg Tablet
106,Aarther SP Tablet
107,Aarticef 1000mg Injection
108,Aarticef 250mg Injection
109,Aarticef 500mg Injection
110,Aartimet 150mg Injection
111,Aartimet L 80mg/480mg Tablet
112,Aartimet L Dry Syrup
113,Aartuline Syrup
114,Aaruzone SB 1000mg/500mg Injection
115,Aaruzone SB 500mg/500mg Injection
116,Aarzole 20mg Capsule
117,Aas 10mg Tablet
118,Aasaz 250 Tablet
119,Aasaz 500 Tablet
120,Aaschem P Oral Suspension
121,Aaschem P Oral Suspension
122,Aaschem-SP Tablet
123,Aasfur 250 Tablet
124,Aasfur CV 500mg/125mg Tablet
125,Aasospas Tablet
126,Aasospas Tablet
127,Aaxim 250mg Tablet
128,Aaxim 500mg Tablet
129,Aaz 200mg Syrup
130,Aaz 400 Tablet
131,Aaz 400 Tablet
132,Aaz Plus Syrup
133,Aaz-Mectin Tablet
