,items
0,AL 1 Capsule
1,AL 27 Tablet
2,AL 400mg Tablet
3,AL 5mg Tablet
4,AL Dew Eye Drop
5,AL Live Syrup
6,AL Pthrin 5% Cream
7,AL-20 Dry Syrup
8,AL-80 80mg/480mg Tablet
9,AL-D3 Soft Gelatin Capsule
10,AL-Ther Injection
11,ALBAXY TABLET
12,ALBEST 400 MG TABLET
13,ALBUTOL 200MG TABLET
14,ALBUTOL 400MG TABLET
15,ALBUTOL 800MG TABLET
16,ALCEPHIN KID 125 MG TABLET
17,ALCON Oral Drops
18,ALCYCLIN 250 MG CAPSULE
19,ALCYCLIN 500 MG CAPSULE
20,ALDACTIDE 25MG/25MG TABLET
21,ALEM 2 O 200MG/500MG TABLET
22,ALERGIN L TABLET
23,ALERSIN M 5 MG/10 MG TABLET
24,ALFABOSE 0.2 MG TABLET
25,ALFABOSE 0.3 MG TABLET
26,ALFAM 400MG TABLET
27,ALIANZ 100 MG/20 MG CAPSULE
28,ALISTOR 80 MG TABLET
29,ALIVHER ES 2 TABLET
30,ALKACEL 5 MG TABLET
31,ALKAFRESH SYRUP
32,ALLERIN  EYE DROP
33,ALLERKAST(FDC) 5 MG/10 MG TABLET
34,ALLRITE 5 MG CAPSULE
35,ALM 80 Tablet
36,ALORIC 100 MG TABLET
37,ALPRAQUIL 0.5 MG TABLET
38,ALTAS-AT 5MG/50MG TABLET
39,ALVEX BR SYRUP
40,ALZOLAM 0.5 MG TABLET SR
41,ALZOLAM 1 MG TABLET SR
42,ALZOLAM 1.5 MG TABLET SR
43,ALZOLAM FORTE 0.5MG/50MG TABLET
44,ALZOLAM PLUS 0.5MG/25MG TABLET
45,Al Fine 1.4gm Syrup
46,Al Low 180mg Tablet
47,Al Won Plus 6mg/400mg Tablet
48,Al Won Plus Oral Suspension
49,Al-Low 120 Tablet
50,Al-Low 120 Tablet
51,Al-Low M Tablet
52,Al-Tear Eye Drop
53,Alace 600mg Tablet
54,Alacforte 120Million spores Tablet
55,Aladin 120mg Tablet
56,Alafex 120mg Tablet
57,Alafex 180mg Tablet
58,Alagraf 0.5 Capsule
59,Alagraf 1 Capsule
60,Alakast FA 10mg/120mg/200mg Tablet
61,Alam OD 12.5mg Capsule
62,Alamflu 0.25mg/20mg Tablet
63,Alamin Injection
64,Alamin SE 410 mg/100 mg/290 mg/130 mg Infusion
65,Alan Gel 0.1% Gel
66,Alanbol 25mg Injection
67,Alanbol 50mg Injection
68,Alandec 25mg Injection
69,Alanexa MF 500mg/250mg Tablet
70,Alangel 0.1% Cream
71,Alanso 30mg Capsule
72,Alanz D Tablet
73,Alanz Tablet
74,Alap 0.5mg Tablet
75,Alaquin 200mg Tablet
76,Alarcin 500mg Injection
77,Alarflam MR 250mg/50mg/325mg Tablet
78,Alarflam S 50mg/10mg Tablet
79,Alarflam SP 50mg/325mg/10mg Tablet
80,Alark 0.5mg Tablet
81,Alark 0.5mg Tablet
82,Alarliv 5mg Tablet
83,Alarm 0.5mg Tablet
84,Alarm Forte 0.5 mg/50 mg Tablet
85,Alarm Plus 0.5 mg/25 mg Tablet
86,Alarpod 100mg Dry Syrup
87,Alarpod 200mg Tablet
88,Alarpod 50mg Dry Syrup
89,Alarpod 50mg Dry Syrup
90,Alarpod CV Dry Syrup
91,Alarpod O 200mg/200mg Tablet
92,Alarrest 120mg Tablet
93,Alaska Tablet
94,Alaspan AG Syrup
95,Alaspan AM Tablet
96,Alaspan Oral Solution
97,Alaspan Tablet
98,Alastin 10mg Tablet
99,Alastin AM Tablet
100,Alatro Tablet
101,Alaxin 250mg Tablet DT
102,Alba 20% Infusion
103,Alba 400mg Tablet
104,Alba 400mg Tablet
105,Albacad 400mg Tablet
106,Albacad 400mg Tablet
107,Albacid Syrup
108,Albacos 400mg Tablet
109,Albact 1500mg Injection
110,Albact 200mg Suspension
111,Albact 400mg Tablet
112,Albact 500mg Tablet
113,Albactam 1.5gm Injection
114,Albactin 250mg Tablet
115,Albactin 500mg Tablet
116,Albadin 5mg Tablet
117,Albadin 7.5mg Tablet
118,Albalon Liquifilm
119,Albamaa Suspension
120,Albamine 100mcg Tablet
121,Albamine 150mcg Tablet
122,Albanac P 100 mg/500 mg Tablet
123,Albanj IV 6mg/400mg Tablet
124,Albaoxy 50mg Injection
125,Albapam 3MIU Injection
126,Albaquine 20% Cream
127,Albaran 400mg Tablet
128,Albaret 75mg Injection
129,Albarid 200mg Oral Suspension
130,Albarid IM 6mg/400mg Tablet
131,Albarid IM Oral Suspension
132,Albarid IM Oral Suspension
133,Albast Tablet
134,Albavir Tablet
135,Albawin 400mg Tablet
136,Albax 400mg Tablet
137,Albax 400mg Tablet
138,Albax Suspension
139,Albaxo M Oral Suspension
140,Albaxo M Oral Suspension
141,Albaxo Oral Suspension
142,Albaxy Suspension
143,Albazen 400mg Tablet
144,Albazio 400mg Tablet
145,Albazio Plus 6mg/400mg Tablet
146,Albazio Suspension
147,Albazol 200mg Suspension
148,Albba 250 Tablet
149,Albba 500 Tablet
150,Albe 200mg Suspension
151,Albe 400mg Tablet
152,Albecon 400mg Tablet
153,Albeder 200mg Syrup
154,Albeder IR 6mg/400mg Tablet
155,Albedol Tablet
156,Albedol Tablet
157,Albedro M 6mg/400mg Tablet
158,Albedro M 6mg/400mg Tablet
159,Albee 400mg Tablet
160,Albee Suspension
161,Albefate 1000mg Oral Suspension
162,Albefed Injection
163,Albegen-I 6 Tablet
164,Albeges 400mg Tablet
165,Albeges 400mg Tablet
166,Albeges Suspension
167,Albeges Suspension
168,Albegos 150mg Injection
169,Albejol 200mg Syrup
170,Albejol I Syrup
