,items
0,Awarene PF Eye Drop
1,Away 100mg Tablet
2,Away P 100mg/500mg Tablet
3,Away SP 100mg/10mg Tablet
4,Away-P 100mg/500mg Tablet
5,Awaydol-Aqua Injection
6,Awaydol-SP Tablet
7,Awayke 10mg Tablet MD
8,Awnabol 25mg Injection
9,Awnabol 50mg Injection
10,Awnacef 1000mg Injection
11,Awnacef 1000mg Injection
12,Awnacef 250mg Injection
13,Awnacef 500mg Injection
14,Awnacef 500mg Injection
15,Awnacef 500mg Injection
16,Awnacef SB 1gm/500mg Injection
17,Awnacef SB 250mg/125mg Injection
18,Awnacef SB 500mg/250mg Injection
19,Awnacid 20mg Capsule
20,Awnacid-D 10mg/20mg Capsule
21,Awnacin 100mg Injection
22,Awnacin 250mg Injection
23,Awnacin 500mg Injection
24,Awnacobal 500mcg Injection
25,Awnacobal 500mcg Injection
26,Awnadase D 50mg/10mg Tablet
27,Awnadec 50mg Injection
28,Awnadec 50mg Injection
29,Awnaflox 200mg Tablet
30,Awnaflox 200mg Tablet
31,Awnagest 100mg Injection
32,Awnapro 40mg Tablet
33,Awnapro-D 10mg/40mg Tablet
34,Awnaron 4mg Tablet
35,Awnatax 1gm Injection
36,Awnatax 250mg Injection
37,Awnatax 500mg Injection
38,Awnazid 1000mg Injection
39,Awnazid 250mg Injection
40,Awnec 100mg Tablet
