,items
0,BI-CLAV 500mg/125mg Tablet
1,BI-CLAV Dry Syrup
2,BIBIDIP 5MG/50MG TABLET
3,BIGFUN 100MG TABLET
4,BIGFUN 50MG TABLET
5,BILACTAM 125MG/125MG CAPSULE
6,BILACTAM 125MG/125MG SYRUP
7,BILACTAM FORTE 125MG/125MG INJECTION
8,BILACTAM FORTE 250MG/250MG CAPSULE
9,BILACTAM FORTE 250MG/250MG INJECTION
10,BINEX 450MG/300MG TABLET
11,BINEX Z 150MG/750MG/225MG TABLET
12,BINEX Z 150MG/750MG/225MG TABLET
13,BINEX Z 50MG/300MG/100MG TABLET DT
14,BIO ANXIT ES TABLET
15,BIOCIP 500MG TABLET
16,BIOFER S 100mg/5ml Injection
17,BIOPLEGIA INJECTION
18,BIOPRIM 40MG TABLET SR
19,BIOPRIN 10MG TABLET
20,BIOPRIN 40MG CAPSULE SR
21,BIOSOX 10MG TABLET
22,BIOSOX 40MG TABLET
23,BIOTRAMA 50MG INJECTION
24,BIRYTH 50 MG TABLET
25,BITORVA 10MG/10MG TABLET
26,BITRATE 20MG TABLET
27,BIXORI 90MG TABLET
28,Bi Art 60mg Injection
29,Bi Ator 10 Tablet
30,Bi Beta 1.25mg Tablet
31,Bi Beta 2.5mg Tablet
32,Bi Beta 5mg Tablet
33,Bi Meningo Vaccine
34,Bi-OPV Oral Vaccine
35,Biator 20 Tablet
36,Biaxe 250mg Tablet
37,Biaxe 500mg Tablet
38,Bibcob 1500mcg Injection
39,Bic 50mg Tablet
40,Bical 50 Tablet
41,Bicalon 50mg Tablet
42,Bicalpro 50mg Tablet
43,Bicaprol 50mg Tablet
44,Bicarb Syrup
45,Bicarcid 270mg Tablet
46,Bicares 50mg Tablet
47,Bicatero 50mg Tablet
48,Bicef 200mg Tablet
49,Bicef 250mg Dry Syrup
50,Bicef 250mg Tablet DT
51,Bicef 500 DT Tablet
52,Bicef CV 500 Tablet
53,Biceltis 440mg Injection
54,Bicerin 50mg Capsule
55,Bicil 250 mg/250 mg Tablet
56,Bicil P 125 mg/125 mg Tablet
57,Bicilin 250mg/250mg/60Million spores Capsule
58,Bicilin D 250 mg/250 mg Tablet
59,Bicilin Kid Tablet
60,Bicillin 250mg/250mg Capsule
61,Biciphage 1000 Tablet SR
62,Biciphage 500 SR Tablet
63,Biciphage 500 Tablet
64,Biclar 250mg Tablet
65,Bicllin 250mg/250mg Capsule
66,Biclo Plus Ointment
67,Biclo S Cream
68,Biclopen CV Syrup
69,Biclopen CV Syrup
70,Biclopen CV Tablet
71,Biclopen S Capsule
72,Biclox Capsule
73,Biclox D Capsule
74,Biclox LB 250mg/250mg Capsule
75,Bicoba 1500 Injection
76,Bicoba-FC 2500 Injection
77,Bicof Syrup
78,Bicolax 10mg Tablet
79,Bicolax 5mg Tablet
80,Bicox 600mg/300mg Tablet
81,Bicox E 450 mg/300 mg/800 mg Tablet
82,Bicox Forte 200mg/150mg Tablet
83,Bicox Forte Kid 100mg/100mg Tablet
84,Bicox Kid   100mg/50mg Tablet
85,Bicoxib 90mg Tablet
86,Bictofine 2% Gargle
87,Bicy 5mg Tablet
88,Bid 125mg Syrup
89,Bid 250mg Tablet
90,Bid 500mg Tablet
91,Bid 500mg Tablet
92,Bid Kid 125mg Tablet
93,Bid LB 125mg/60mg Tablet
94,Bid LB 250mg/60mg Tablet
95,Bid LB 250mg/60mg Tablet
96,Bid LB 500mg/60mg Capsule
97,Bid LB Kid 125mg/30mg Tablet
98,Bid LB Kid 250mg/60mg Tablet
99,Bid Pod CV 200 mg/125 mg Tablet
100,Bidandip D 50mg/10mg Tablet
101,Bidanzen 5mg Tablet
102,Bidanzen Forte Tablet
103,Bidazen 10mg Tablet
104,Bidfree 100mg Suspension
105,Bidfree 800mg Tablet
106,Bidiab 500mg Tablet SR
107,Bidiab 850mg Tablet SR
108,Bidid 500mg Tablet SR
109,Bidin LS Eye Drop
110,Bidin LS TM Eye Drop
111,Bidin T  Eye Drop
112,Bidnac 50 mg/500 mg Tablet
113,Bidof 200mg Tablet
114,Bidopal 500mg Tablet
115,Bidox 100mg Tablet
116,Bidoxil 250mg Tablet
117,Bidoxil 500mg Capsule
118,Bidoxil Syrup
119,Bidrox 250mg Tablet DT
120,Bidrox 500mg Tablet
121,Bidrox Syrup
122,Bidspas Tablet
123,Biduret -L Tablet
124,Biduret Tablet
125,Bificlav 625 Tablet
126,Bifine 1% Cream
127,Bifine 250mg Tablet
128,Biflace Eye Drop
129,Bifo Cream
130,Bifocan Cream
131,Bifona Cream
132,Bifona Cream
133,Bifosa 35 Tablet
134,Bifosa 70 Tablet
135,Bifozide 1% Cream
136,Bify 16mg Tablet
