,items
0,BL 24 Tablet
1,BL-Flu 200 Tablet
2,BLATA 5MG CAPSULE
3,BLOZZOM 3.75 MG INJECTION
4,BLU DYE  INJECTION 0.06%
5,BLUCEF 125 MG TABLET
6,BLUCEF 250 MG TABLET
7,Bl-Fin 250 Tablet
8,Blacin 200mg Tablet
9,Blacin 400mg Tablet
10,Blacin OZ 200mg/500mg Tablet
11,Blacip 500mg Tablet
12,Blacip-TZ 500mg/600mg Tablet
13,Black Crown 2% Solution
14,Black Crown Forte 5% Solution
15,Bladmir 25 Tablet ER
16,Bladmir 50mg Tablet
17,Bladmir-S 25 Combikit
18,Bladmir-S 50 Combikit
19,Bladon NF 100mg Tablet
20,Blador 25mg Tablet ER
21,Blador 50mg Tablet ER
22,Bladospas Tablet
23,Bladospas-O Tablet
24,Bladovox 200mg Tablet
25,Blag 150mg Injection
26,Blaise LS Junior Syrup
27,Blancid 20mg Tablet
28,Blancid Plus Suspension
29,Blancid-D Capsule
30,Blanim AP 100mg/500mg Tablet
31,Blanim S Tablet
32,Blapanto 40mg Tablet
33,Blapanto-D 10mg/40mg Tablet
34,Blapanto-D 10mg/40mg Tablet
35,Blast-O Kold Oral Suspension
36,Blastocarb 10mg Injection
37,Blastofen 10mg Tablet
38,Blastofen 20mg Tablet
39,Blastolem 10mg Injection
40,Blastolem 50mg Injection
41,Blastoplatin 150mg Injection
42,Blavin 500mg Infusion
43,Blaxime 200mg Tablet
44,Blaz AP 100mg/325mg Tablet
45,Blaz APS 100mg/325mg/15mg Tablet
46,Blaz NP 100mg/325mg Tablet
47,Blazcort 12mg Tablet
48,Blazcort 30mg Tablet
49,Blazex 40mg Injection
50,Blazex 40mg Tablet
51,Blazex D 10mg/40mg Tablet
52,Blazex D 30mg/40mg Capsule SR
53,Blazextin 40mg Injection
54,Blazextin 40mg Tablet
55,Blazextin D 10mg/40mg Tablet
56,Blazextin DSR 30mg/40mg Capsule
57,Blazi 250mg Tablet
58,Blazi 500mg Tablet
59,Blazo-OZ 200mg/500mg Tablet
60,Blazo-OZ Syrup
61,Blaztere 4mg Injection
62,Blc A 5mg/60mg Tablet
63,Blc K Eye Drop
64,Bldox 200 Tablet DT
65,Bldox-AZ 200mg/250mg Tablet
66,Bldox-AZ 200mg/250mg Tablet
67,Blecef 100 DT Tablet
68,Blecef 50mg Dry Syrup
69,Blecef AZ 200mg/250mg Tablet
70,Blecef-LB Tablet
71,Blecef-LB Tablet
72,Blecef-O 200 Tablet
73,Blecort 6 Tablet
74,Blecort 6mg Oral Suspension
75,Bledec 25mg Injection
76,Bledec 50mg Injection
77,Bledem 2mg Oral Drops
78,Bledem 4 Tablet MD
79,Bledmax 15mg Injection
80,Bleebar 500mg Tablet
81,Bleebar-M 500mg/250mg Tablet
82,Bleena Injection
83,Bleena MF 500 mg/250 mg Tablet
84,Blefate 1000mg Syrup
85,Blefen 75mg Injection
86,Blefen P 50mg/325mg Tablet
87,Blefen-MR Tablet
88,Blefen-SP Tablet
