,items
0,BT Clav 250mg/125mg Tablet
1,BT Clav 500mg/125mg Tablet
2,BT Coxib 90mg Tablet
3,BTR Tablet
4,Btam 800mg Tablet
5,Btam 800mg Tablet
6,Btam Syrup
7,Btaz 100mg Oral Suspension
8,Btaz 250mg Tablet
9,Btaz 500 Tablet
10,Btc 150mg Tablet
11,Btc Kit
12,Btcam 40mg Tablet
13,Btcef 100mg Tablet
14,Btcef 200mg Tablet
15,Btcef 50mg Oral Suspension
16,Btcef 50mg Tablet
17,Btcef CV 200mg/125mg Tablet
18,Btcef DS 100mg Oral Suspension
19,Btcef OLS 200mg/200mg Tablet
20,Btcephal 500mg Capsule
21,Btcid 20mg Capsule
22,Btcid D 10mg/20mg Capsule
23,Btcid D 10mg/20mg Capsule
24,Btcilin TZ 4000mg/500mg Injection
25,Btcin 500mg Injection
26,Btclot Tablet
27,Btclot XT Tablet
28,Btcobal GB 300mg/500mcg Tablet
29,Btcof D Syrup
30,Btcom Eye Drop
31,Btdec 25mg Injection
32,Btdec 50mg Injection
33,Bterb 250mg Tablet
34,Btfex 120mg Tablet
35,Btfex 180mg Tablet
36,Btfex M 10mg/120mg Tablet
37,Btfex M 10mg/120mg Tablet
38,Btflam SP 100mg/325mg/15mg Tablet
39,Btflam Suspension
40,Btflam Tablet
41,Btflam-TH Tablet
42,Btfol DP 10mg/10mg/1.5mg Tablet
43,Bthro 500mg Tablet
44,Btlene Syrup
45,Btlene Syrup
46,Btlin 300mg Tablet
47,Btmox CLS 250mg/250mg/10mg Capsule
48,Btmox LB 500mg Capsule
49,Btowin 30mg/40mg Capsule SR
50,Btpod 100mg Tablet
51,Btpod 200mg Tablet
52,Btpod 50mg Oral Suspension
53,Btpod CV 200mg/125mg Tablet
54,Btquin 200mg Tablet
55,Btquin OZ 200mg/500mg Tablet
56,Btr D Tablet
57,Btrim Oral Suspension
58,Btrip 90mg/48mg/100mg Tablet
59,Btrol-TR 40 Tablet
60,Btstop 500mg Tablet
61,Btstop-MF 500mg/250mg Tablet
62,Btsunate 60mg Injection
63,Btuss D Syrup
64,Btuss LS Syrup
65,Btwelv GP 300mg/500mcg Capsule
66,Btwelv-PG Capsule
67,Btzin 25mg Tablet
68,Btzin D 15mg/20mg Tablet
69,Btzole 100mg Capsule
