,items
0,CA 007 125 mg/500 mg Injection
1,CA 007 250 mg/1000 mg Injection
2,CA Atra 10 Softgel Capsule
3,CAAT 10 Tablet
4,CAAT 20 Tablet
5,CAAT 40 Tablet
6,CAAT 80 Tablet
7,CAAT F 10mg/145mg Tablet
8,CAD Q PLUS TABLET
9,CADIRIFA 450MG/300MG TABLET
10,CADIXIM 200 MG TABLET
11,CADIZO 600MG TABLET
12,CADRIN 2.6MG TABLET
13,CADRIN 2.6MG TABLET
14,CADSAAR-AM 40MG/5MG TABLET
15,CAFLACORT 1 MG TABLET
16,CAFLACORT 6 MG TABLET
17,CAFLACORT 6 MG TABLET
18,CALAPTIN 240 MG TABLET
19,CALCIGARD 20 MG TABLET
20,CALNIF RETARD 10MG TABLET
21,CALPOL PLUS 400 MG/325 MG TABLET
22,CAMCARD-AT 5MG/50MG TABLET
23,CANAPRIL 5 MG TABLET
24,CANCAP 100 MG TABLET VT
25,CANCAP 150 MG CAPSULE
26,CANCAP 150 MG TABLET
27,CANCAP 50 MG TABLET
28,CANCAP KIT 150 MG/1000 MG TABLET
29,CANDID-B DUSTING POWDER
30,CANDID-V 100 MG TABLET
31,CANESTEN S CREAM
32,CARBASURE 200MG TABLET
33,CARBASURE 400MG TABLET
34,CARBELIN 1GM INJECTION
35,CARBELIN 5GM INJECTION
36,CARBICEF 250MG/150MG SUSPENSION
37,CARBOMOX 500 MG/150 MG CAPSULE
38,CARBOTERO 150 MG INJECTION
39,CARBOTERO 450 MG INJECTION
40,CARD-ATE 5MG/50MG TABLET
41,CARDEM 30MG TABLET
42,CARDIBETA 50 MG CAPSULE
43,CARDIBETA AM 5 MG/50 MG TABLET
44,CARDICAP 40MG CAPSULE TR
45,CARDIOTONE 100MG INJECTION 20ML
46,CARDRIV 5MG TABLET
47,CARDULES 10MG CAPSULE
48,CARDULES PLUS 50MG/20MG CAPSULE
49,CARDULES RETARD 20MG CAPSULE
50,CAREBET-S OINTMENT
51,CARNITOR 1 GM INJECTION
52,CARNOZOL D  CAPSULE SR 30 MG/20 MG
53,CARTIDIN 50 MG CAPSULE
54,CARTIDIN PLUS  TABLET 100 MG/50 MG
55,CARTINEX OD TABLET
56,CARTIPIL 750MG/50MG/250MG TABLET
57,CARVIL OD 20 MG TABLET
58,CARVIL OD 40 MG TABLET
59,CARZEC 25 MG TABLET
60,CASLOT 25MG TABLET
61,CAVIBUTOL 800MG TABLET
62,CAVIBUTOL-H 300MG/800MG TABLET
63,CAVICIN E KIT
64,CAVITER FORTE  TABLET 225 MG/150 MG/750 MG
65,CAVITER FORTE  TABLET 225 MG/150 MG/750 MG
66,CAVIZIDE 500MG TABLET
67,CAVIZIDE 500MG TABLET
68,CAVIZIDE 750MG TABLET
69,Caat Asp 75 Capsule
70,Caat CV 10 Capsule
71,Caat CV 20 Capsule
72,Cabaza Tablet
73,Cabaza Tablet ER
74,Cabcin 250mg Tablet
75,Cabcin 500mg Tablet
76,Cabercet Tablet
77,Caberfem 0.5mg Tablet
78,Caberlact 0.25mg Tablet
79,Caberlact 0.5mg Tablet
80,Caberlactin 0.5mg Tablet
81,Caberlee 0.5mg Tablet
82,Caberlin 0.25 Tablet
83,Caberlin 0.5 Tablet
84,Cabermax 0.5mg Tablet
85,Cabernorm 0.5mg Tablet
86,Cabersol 0.5mg Tablet
87,Cabeta 5mg/50mg Tablet
88,Cabezon Tablet
89,Cabgolin 0.25 Tablet
90,Cabgolin 0.5 Tablet
91,Cabgon 0.25mg Tablet
92,Cabgon 0.5 Tablet
93,Cabifer 100mg Injection
94,Cabifer 100mg Injection
95,Cabimax 250mg Capsule
96,Cabimax 500mg Capsule
97,Cabimax CV 1000mg/200mg Injection
98,Cabimax CV 500mg/125mg Tablet
99,Cabimax CV 500mg/125mg Tablet
100,Cabimax CV Dry Syrup
101,Cabimax CV Dry Syrup
102,Cabinem 1000mg Injection
103,Cabisunate 120mg Injection
104,Cabisunate 60mg Injection
105,Cabisyl 500mg Capsule
106,Cabita 500mg Tablet
107,Cablide 100mg Tablet MD
108,Cablide P 100mg/325mg Tablet
109,Cabliz 0.25mg Tablet
110,Cabliz 0.5 Tablet
111,Cablok 20mg Tablet
112,Cablox 100mg Tablet
113,Cablox 200mg Tablet
114,Cablox 400mg Tablet
115,Cablox 50mg Oral Suspension
116,Cablox OZ 200mg/500mg Tablet
117,Cablox OZ Oral Suspension
118,Cablox OZ Oral Suspension
119,Cabnac 50mg/10mg Tablet
120,Cabnac 75mg Injection
121,Cabnac DP 50mg/325mg/10mg Tablet
122,Cabocyta 60mg Injection
123,Caboliv 250mg Tablet
124,Caboliv 250mg Tablet
125,Caboliv 500mg Tablet
126,Caboo 150mg Injection
127,Caboo 150mg Injection
128,Caboo 450mg Injection
129,Caboprost 125mcg Injection
130,Caboprost 250mcg Injection
131,Cabovin 250mg Tablet
132,Cabovin 250mg Tablet
133,Cabovin 500mg Tablet
134,Cabrole 20mg Tablet
135,Cabrole D 30mg/20mg Capsule SR
136,Cabrole L 75mg/20mg Capsule
137,Cabtana 60mg Injection
138,Cacef 100mg Tablet
139,Cacef 200mg Tablet
140,Cacef 50mg Syrup
141,Cacef CV Dry Syrup
142,Cacef CV Dry Syrup
143,Cacef CV Tablet
144,Caceff Tablet
145,Caceff Tablet
146,Caceff Tablet
147,Cachepime 1gm Injection
148,Cachepime 250mg Injection
149,Cachepime 500mg Injection
150,Cachepime-TZ Injection
151,Cachfix 50mg Dry Syrup
152,Cachlax 10gm/3.5gm Powder
153,Cachmik 100mg Injection
154,Cachmik 250mg Injection
155,Cachmik 500mg Injection
156,Cachof 0 200 mg/500 mg Tablet
157,Cachof 200mg Tablet
158,Cachof 400mg Tablet
159,Cachpar 120mg/5ml Suspension
160,Cachpar 500mg Tablet
161,Cachpar 500mg Tablet
162,Cachril Expectorant
163,Cacit 500mg Tablet
164,Cactra-SP Tablet
165,Cad B12 750mcg/75mg Capsule
166,Cad B12 Forte Injection
167,Cad B12 Plus Injection
168,Cad Race 5 Tablet
169,Cadabolic 25mg Injection
170,Cadabolic 50mg Injection
171,Cadace MR 100mg/325mg/250mg Tablet
172,Cadace-P Tablet
173,Cadcef 100mg Tablet
174,Cadcef 200mg Tablet
175,Cadcef 250mg Injection
176,Cadcef 250mg Injection
177,Cadcef 500mg Injection
178,Cadcef 50mg Dry Syrup
179,Cadcef O LB 200mg/200mg Tablet
180,Cadcef S 200mg/125mg Injection
181,Cadcef TZ 1000mg/125mg Injection
182,Cadcef TZ 250mg/31.25mg Injection
183,Cadcef-O Tablet
184,Cadcef-S 0.5gm/0.5gm Injection
185,Cadcit 500mg Tablet
186,Cadclav 1000mg/200mg Injection
187,Cadclav 250mg/125mg Tablet
188,Cadclav 500mg/125mg Tablet
189,Cadcof AX Syrup
190,Cadcof CX Syrup
191,Cadcof CX Syrup
192,Cadcof DX Syrup Sugar Free
193,Cadcof DX Syrup Sugar Free
194,Cadcof LX Syrup
195,Cadcof TR Syrup
196,Cadcof TR Syrup
197,Cadcold Syrup
198,Cadcold Syrup
199,Cadcold Tablet
200,Cadcort 6mg Dry Syrup
201,Cadcort 6mg Tablet
202,Caddi Syrup
203,Caddi Syrup
204,Caddy 20mg Capsule
205,Cadec 25mg Injection
206,Cadec 50mg Injection
207,Cadee Dry Syrup
208,Cadee-O Dry Syrup
209,Cadesol 25mg Injection
210,Cadesol 50mg Injection
211,Cadex Syrup
212,Cadfix 100mg Tablet DT
213,Cadfix 50mg Dry Syrup
214,Cadfix CV 200mg/125mg Tablet
215,Cadfix CV 200mg/125mg Tablet
216,Cadfix CV 200mg/125mg Tablet
217,Cadflo 20mg Capsule
218,Cadglib M 5mg/500mg Tablet
219,Cadi O M Suspension
220,Cadic 75mg Injection
221,Cadiceft 1000mg Injection
222,Cadiceft 250mg Injection
223,Cadiceft 500mg Injection
224,Cadicitron 1.4gm/5ml Syrup
225,Cadicoff Lozenges
226,Cadicrit 200mg Injection
227,Cadicrit 4000mg Injection
228,Cadictin 2mg Syrup
229,Cadictin L Syrup
230,Cadicycline 250mg Capsule
231,Cadiflu-S Vaccine
232,Cadiflur Eye Drop
233,Cadiflux 40mg Tablet
234,Cadiflux D 10mg/40mg Tablet
235,Cadiflux D 10mg/40mg Tablet
236,Cadiflux D 30mg/40mg Capsule SR
237,Cadigard 1000 mg/125 mg Injection
238,Cadigard 4000 mg/500 mg Injection
239,Cadigesic Gel
240,Cadigesic Plus 50 mg/325 mg Tablet
241,Cadigesic Plus 50 mg/325 mg Tablet
242,Cadigran 1mg Injection
243,Cadigyl F Syrup
244,Cadikof BR Syrup
245,Cadikof Syrup
246,Cadikof Syrup
247,Cadilose Enema Liquid
248,Cadilose Green Granules
249,Cadilose Oral Solution
250,Cadilose Oral Solution
251,Cadilose Oral Solution Pineapple
252,Cadimycetin 250mg Capsule
253,Cadimycetin 250mg Capsule
254,Cadimycetin 500mg Capsule
255,Cadinac 200mg Tablet SR
256,Cadinac MR 100mg/325mg/250mg Tablet
257,Cadinac NP 100mg/325mg Tablet
258,Cadinac P 100mg/325mg Tablet
259,Cadinac P Oral Suspension
260,Cadinac SP 100mg/325mg/15mg Tablet
261,Cadinac TH 100mg/4mg Tablet
262,Cadinase 50mg/325mg Tablet
263,Cadinase MR 250mg/50mg/325mg Tablet
264,Cadinib 400mg Tablet
265,Cadinik A Gel
266,Cadinik A Gel
267,Cadinxt Plus 50mg/325mg Tablet
268,Cadipan 25K Capsule
269,Cadipar 250mg Oral Suspension
270,Cadipar 650mg Tablet
271,Cadiphylate Elixir
272,Cadiplat 50mg Injection
273,Cadiprous 5mg Tablet
274,Cadistar Syrup
275,Cadistin 4mg Tablet
276,Cadistin Expectorant
277,Caditam 10mg Tablet
278,Caditam 20mg Tablet
279,Caditel 40mg Tablet
280,Caditel H 40mg/12.5mg Tablet
281,Cadither 150mg Injection
282,Cadithro 150mg Tablet
283,Cadithro 50mg Suspension
284,Cadithro 50mg Tablet
285,Caditone 12.5mg Tablet
286,Caditone 25mg Tablet
287,Caditone 3.125mg Tablet
288,Caditone 6.25mg Tablet
289,Caditor 10 Tablet
290,Caditor 20 Tablet
291,Caditor 40mg Tablet
292,Caditor 5 Tablet
293,Caditor Ez 20mg/10mg Tablet
294,Caditraz 2.5mg Tablet
295,Caditrex 50mg Injection
296,Caditril 2.6mg Tablet
297,Cadiwin 500mg Tablet
298,Cadixim 100mg Tablet DT
299,Cadixim CV 200 mg/125 mg Tablet
300,Cadixim OF Suspension
301,Cadixim Oral Suspension
302,Cadkast L 5mg/10mg Tablet
303,Cadkast L 5mg/10mg Tablet
304,Cadkast L Syrup
305,Cadkof DX Syrup
306,Cadkof DX Syrup
307,Cadkof LS Syrup
308,Cadkof LS Syrup
309,Cadkof TX Syrup
310,Cadkof TX Syrup
311,Cadkof TX Syrup
312,Cadlizo 200mg Injection
313,Cadlizo 600mg Tablet
314,Cadlone 25mg Injection
315,Cadlone 50mg Injection
316,Cadlose 10gm Syrup
317,Cadma O 200mg Tablet
318,Cadma O 200mg Tablet
319,Cadma OZ 200mg/500mg Tablet
320,Cadma OZ 200mg/500mg Tablet
321,Cadmakof Syrup
322,Cadmakof-DX Syrup
323,Cadmet 1000mg Tablet SR
324,Cadmet 100mg Tablet XR
325,Cadmet 25mg Tablet XR
326,Cadmet 500mg Tablet SR
327,Cadmet Trio Tablet
328,Cadmet XR 50 Tablet
329,Cadmox CV 500mg/125mg Tablet
330,Cadmox CV Dry Syrup
331,Cadmox CV Dry Syrup
332,Cadmoxin CS Tablet
333,Cadmoxin CS Tablet
334,Cadnadin 120mg Tablet
335,Cadnim P 100mg/325mg Tablet
336,Cadnim-P Tablet
337,Cadnol AT 5mg/50mg Tablet
338,Cadnol AT 5mg/50mg Tablet
339,Cado 500mg Capsule
340,Cado Suspension
341,Cado Suspension
342,Cado-Z Suspension
343,Cado-Z Suspension
344,Cado-Z Suspension
345,Cadof 200mg Tablet
346,Cadof OZ 200mg/500mg Tablet
347,Cadof OZ Oral Suspension
348,Cadofer S 20mg Injection
349,Cadolac 10mg Tablet
350,Cadolac 30mg Injection
351,Cadomer Ointment
352,Cadoric 120mg Tablet
353,Cadoric 60mg Tablet
354,Cadoric 90mg Tablet
355,Cadoril Sachet
356,Cadotril 100mg Capsule
357,Cadotril 15mg Sachet
358,Cadox 250mg Capsule
359,Cadox 500mg Capsule
360,Cadox CV Dry Syrup
361,Cadoxy 100mg Capsule
362,Cadoz 1000mg Injection
363,Cadoz 1000mg Injection
364,Cadoz 125mg Injection
365,Cadpace 40mg Tablet
366,Cadpace A 40mg/5mg Tablet
367,Cadpace H 40mg/12.5mg Tablet
368,Cadpen 40mg Tablet
369,Cadpen D 10mg/40mg Tablet
370,Cadpenem 1000mg Injection
371,Cadpin 40mg Tablet
372,Cadpin H 40mg/12.5mg Tablet
373,Cadpin-A Tablet
374,Cadpres 50mg Tablet
375,Cadpride 1mg Tablet
376,Cadpride 2mg Tablet
377,Cadpride M 1mg/500mg Tablet SR
378,Cadpride M 2mg/500mg Tablet SR
379,Cadpride MP 1mg/500mg/15mg Tablet SR
380,Cadpride MP 2mg/500mg/15mg Tablet SR
381,Cadpril 5mg Tablet
382,Cadprol 25mg Tablet XL
383,Cadprol 25mg Tablet XL
384,Cadprol 50mg Tablet XL
385,Cadprol AM 5mg/25mg Tablet
386,Cadprol AM 5mg/25mg Tablet
387,Cadprol AM 5mg/50mg Tablet
388,Cadress Ointment
389,Cadrex Syrup
390,Cadria 10mg Injection
391,Cadria L 2mg Injection
392,Cadrob 20mg Tablet
393,Cadrob D 10mg/20mg Tablet
394,Cadrob D 30mg/20mg Capsule SR
395,Cadrob LS 75mg/20mg Capsule SR
396,Cadrol 10mg Tablet
397,Cadrol 10mg Tablet
398,Cadrol Tablet
399,Cadros 10mg Tablet
400,Cadros 20mg Tablet
401,Cadros 20mg Tablet
402,Cadros 5mg Tablet
403,Cadrubin 10mg Injection
404,Cadrubin 50mg Injection
405,Cadrun AT 5mg/50mg Tablet
406,Cadsaar 20mg Tablet
407,Cadsaar 80mg Tablet
408,Cadsaar H 40mg/12.5mg Tablet
409,Cadtam 0.4mg Tablet
410,Cadtam D 0.4mg/0.5mg Tablet
411,Cadtazo 4.5gm Powder for Injection
412,Caduet 5 mg/10 mg Tablet
413,Caduto 10 Tablet
414,Cadvas 10mg Tablet
415,Cadvas 10mg Tablet
416,Cadvas 20mg Tablet
417,Cadvas 20mg Tablet
418,Cadvas 20mg Tablet
419,Cadvas 40mg Tablet
420,Cadvas F 10mg/160mg Tablet
421,Cadvast 20mg Tablet
422,Cadvion O3 180 mg/120 mg Capsule
423,Cadvion O3 Capsule
424,Cadvog 0.2mg Tablet
425,Cadvog 0.3mg Tablet
426,Cadvog M 500mg/0.2mg Tablet SR
427,Cadxone 1000mg Injection
428,Cadxone 250mg Injection
429,Cadxone 500mg Injection
430,Cadxone T 1000mg/125mg Injection
431,Cadxone XP 1000mg/500mg Injection
432,Cadzine 10mg Tablet
433,Cadzine 5mg Tablet
434,Cadzine 5mg Tablet
435,Cadzine A 5mg/60mg Tablet SR
436,Cadzine M 5mg/10mg Tablet
437,Cadzine M Kid 2.5mg/5mg Tablet MD
438,Cadzine M Syrup
439,Caefroxel 200mg Tablet
440,Caefroxel O 200mg/200mg Tablet
441,Caefroxel O 200mg/200mg Tablet
442,Caelyx 2mg Infusion
443,Caesar 50mg Capsule
444,Cafage 1000 Injection
445,Cafage 250 Injection
446,Cafage 500 Injection
447,Cafage-AZ Tablet
448,Cafage-CL 325 Tablet
449,Cafage-CL 50mg/31.25mg Dry Syrup
450,Cafage-CL 50mg/31.25mg Dry Syrup
451,Cafage-CLP 100mg/62.5mg Tablet
452,Cafage-L 200mg/250mg Tablet
453,Cafage-O 100 Dry Syrup
454,Cafage-O 100mg Tablet
455,Cafage-O 200mg Tablet
456,Cafage-O 50 Dry Syrup
457,Cafage-O 50 Dry Syrup
458,Cafage-O 50 Tablet
459,Cafage-O 50 Tablet
460,Cafage-OF 200mg/200mg Tablet
461,Cafage-OF 200mg/200mg Tablet
462,Cafage-S 1500 Injection
463,Cafage-S 375 Injection
464,Cafage-S 750 Injection
465,Cafage-XP 1125 Injection
466,Cafazone-S 500mg/500mg Injection
467,Cafe Cof Plus Syrup
468,Cafex 100mg Oral Suspension
469,Cafex 100mg Oral Suspension
470,Cafex 200mg Tablet
471,Cafex 50mg Dry Syrup
472,Cafex O 200mg/200mg Tablet
473,Cafex O 200mg/200mg Tablet
474,Cafidol 100mg Dry Syrup
475,Cafidol 100mg Dry Syrup
476,Cafidol 100mg Tablet DT
477,Cafidol 50mg Tablet DT
478,Cafidol CV 200mg/125mg Tablet
479,Cafidol CV Dry Syrup
480,Cafidol DX 200mg/500mg Tablet ER
481,Cafidol OF 200mg/200mg Tablet
