,items
0,CHERICOF 5MG LOZENGES
1,CHUPP C 4MG/10MG SYRUP
2,CHYTROZYM TABLET
3,Chafe Oral Suspension
4,Champ-TZ 1000mg/125mg Injection
5,Champix 0.5mg and 1mg Tablet Starter Pack
6,Champix 1mg Tablet
7,Change Tablet
8,Channel -SR 120 Tablet
9,Channel 20mg Tablet
10,Channel 30 Tablet MR
11,Channel 60mg Tablet
12,Channel-SR 90 Tablet
13,Chase 1000mg Injection
14,Chase 250mg Injection
15,Chase 250mg Injection
16,Chase 500mg Injection
17,Check AT Tablet
18,Checkacne Face Wash
19,Checkpod 100 Oral Suspension
20,Checkpod 200 DT Tablet
21,Checkpod CV Tablet
22,Checkpod-CV Dry Syrup
23,Checkpod-CV Dry Syrup
24,Checkpod-O Tablet
25,Checkspas Tablet
26,Checmox 500mg/125mg Tablet
27,Checmox Dry Syrup
28,Checmox LB 500mg/125mg Tablet
29,Cheercox-TH4 Tablet
30,Cheerdryl Cough Syrup
31,Cheerdryl Cough Syrup
32,Chek D 75mg Injection
33,Chek S 50mg/10mg Tablet
34,Chekcid 10mg Tablet
35,Chekfall 10% Spray/Solution
36,Chekfall 5% Solution
37,Chekfall-F Topical Solution
38,Cheklip 10mg Tablet
39,Cheklip 20mg Tablet
40,Cheklip 20mg Tablet
41,Chekmet 400mg/500mg Tablet
42,Chekold Syrup
43,Chekold Tablet
44,Chekvert 16mg Tablet
45,Chekvert 16mg Tablet
46,Chemcef 500mg Tablet
47,Chemcef 500mg Tablet
48,Chemcet-L Tablet
49,Chemcet-LM Tablet
50,Chemclav 1000mg/200mg Injection
51,Chemclav 1000mg/200mg Injection
52,Chemclav 500mg/125mg Tablet
53,Chemclav Syrup
54,Chemcold Plus Tablet
55,Chemcold-Plus Oral Suspension
56,Chemcort 6 Tablet
57,Chemcox 625 Tablet
58,Chemcox LB 500mg Tablet
59,Chemdox Gel
60,Chemdrot M 80mg/250mg Tablet
61,Chemedox HT 100mg Capsule
62,Chemether 150mg Injection
63,Chemfix O 200mg/200mg Tablet
64,Chemfort MF Oral Suspension
65,Chemiclo SP 100mg/325mg/10mg Tablet
66,Chemidrex E Syrup
67,Chemifix O 200mg/200mg Tablet
68,Chemifix-AZ Tablet
69,Chemiflox OZ 200mg/500mg Tablet
70,Cheminate 50mg Tablet
71,Cheminate 50mg Tablet
72,Chemither 150mg Injection
73,Chemither 150mg Injection
74,Chemither-Lumi Tablet
75,Chemlet 2.5mg Tablet
76,Chemliv Syrup
77,Chemliv Tablet
78,Chemliv Tablet
79,Chemobine 1gm Injection
80,Chemobine 1gm Injection
81,Chemobine 200mg Injection
82,Chemobort Injection
83,Chemocef 50mg Syrup
84,Chemocetin 125mg Suspension
85,Chemocof Syrup Strawberry Sugar Free
86,Chemocof-DX Syrup Mango Sugar Free
87,Chemocof-LS Syrup Orange
88,Chemodoc 120mg Injection
89,Chemodoc 20mg Injection
90,Chemodoc 20mg Injection
91,Chemodoc 80mg Injection
92,Chemofit 250mg Tablet
93,Chemoflam Tablet
94,Chemoflura 250mg Injection
95,Chemogef 250mg Tablet
96,Chemoliv T 100000AU Tablet
97,Chemonte L 5mg/10mg Tablet
98,Chemonte L 5mg/10mg Tablet
99,Chemonte L 5mg/10mg Tablet
100,Chemophos 500mg Injection
101,Chemoressa 250mg Tablet
102,Chemosid 100mg Injection
103,Chemotax 100mg Injection
104,Chemotax 30mg Injection
105,Chemotere 120mg Injection
106,Chemotere 20mg Injection
