,items
0,CT 1000mg/125mg Injection
1,CT 10mg Capsule
2,CT 10mg Capsule
3,CT CVA Plus Tablet
4,CT Cold Tablet
5,CT Cva 250mg Tablet
6,CT Cva 500mg Tablet
7,CT Cva 500mg Tablet
8,CT Forte Tablet
9,CT L 5mg Tablet
10,CT Liv Syrup
11,CT-Don 12.5 Tablet
12,CT-Gold 500mg Tablet
13,CT-Gold Injection
14,CT-Gold Plus 500mg/800mg Tablet
15,CT-Mol Oral Suspension
16,CT-Rax 1500mg Injection
17,CT-Rax 250mg Tablet
18,CT-Rax 500 Tablet
19,CT-Rax 750mg Injection
20,CT-Rax 750mg Injection
21,CTD 12.5 Tablet
22,CTD 6.25 Tablet
23,CTD-AZ 40/12.5 Tablet
24,CTD-C 12.5/10 Tablet
25,CTD-C 6.25/10 Tablet
26,CTD-L 12.5/50 Tablet
27,CTD-L 25mg/12.5mg Tablet
28,CTD-L 6.25/25 Tablet
29,CTD-L 6.25/50 Tablet
30,CTD-M 50mg/12.5mg Tablet
31,CTD-M 6.25/25 Tablet ER
32,CTD-M 6.25/50 Tablet ER
33,CTD-O 12.5/20 Tablet
34,CTD-O 12.5/40 Tablet
35,CTD-O 6.25/20 Tablet
36,CTD-O 6.25/40 Tablet
37,CTD-T 12.5/20 Tablet
38,CTD-T 12.5/40 Tablet
39,CTD-T 12.5/80 Tablet
40,CTD-T 40/6.25 Tablet
41,CTD-T 6.25/20 Tablet
42,CTD-T 6.25/80 Tablet
43,CTD-T AM 12.5/40/5 Tablet
44,CTD-T AM 12.5/80/5 Tablet
45,CTD-T AM 6.25/40/5 Tablet
46,CTD-T AM 6.25/80/5 Tablet
47,CTX 1000mg Injection
48,CTX 125mg Injection
49,CTX L 5mg Tablet
50,CTX-GLS 1000mg Injection
51,CTX-GLS 200mg Injection
52,CTX-GLS 200mg Injection
53,CTX-GLS 500mg Injection
54,CTZ 10mg Tablet
55,CTZ Plus Syrup
56,CTZ Plus Tablet
57,Ctceff 1000 Injection
58,Ctceff 500 Injection
59,Ctceff TZ 1000mg/125mg Injection
60,Ctceff TZ 1000mg/125mg Injection
61,Ctceff TZ 1000mg/125mg Injection
62,Ctceff TZ 250mg/31.25mg Injection
63,Ctceff TZ 250mg/31.25mg Injection
64,Ctceff-SM 1500 Injection
65,Ctceff-SM 1500 Injection
66,Ctceff-SM 375 Injection
67,Ctceff-SM 750 Injection
68,Ctcol 500mg Tablet
69,Ctcom 10mg Tablet
70,Ctcort 100mg Injection
71,Ctec Ear Drop
72,Ctelh 40mg/12.5mg Tablet
73,Ctexil 100mg Injection
74,Ctexil 260mg Injection
75,Ctgone Syrup
76,Cth More 500mg Tablet
77,Cthium 300mg Tablet
78,Cthium 450mg Tablet SR
79,Ctizen Max 10mg Tablet
80,Ctjoy 12.5mg Tablet
81,Ctjoy 6.25mg Tablet
82,Ctjoy Amt 40mg/5mg/12.5mg Tablet
83,Ctjoy T 40mg/12.5mg Tablet
84,Ctjoy T 40mg/12.5mg Tablet
85,Ctjoy T 40mg/6.25mg Tablet
86,Ctlevo 5mg Tablet
87,Ctm 125mg Dry Syrup
88,Ctm 250mg Tablet
89,Ctm 500mg Tablet
90,Ctmor S 1000mg/500mg Injection
91,Ctmor S 1000mg/500mg Injection
92,Ctmor TZ 1000mg/125mg Injection
93,Ctmor TZ 250mg/31.25mg Injection
94,Ctmor TZ 250mg/31.25mg Injection
95,Ctmycine 250mg Tablet
96,Ctnim 425 Tablet
97,Ctop 1% Gel
98,Ctop 100mg Injection
99,Ctop 100mg Injection
100,Ctor 10mg Tablet
101,Ctor 20mg Tablet
102,Ctor AM 5 mg/10 mg Tablet
103,Ctor Asp 10 mg/150 mg Tablet
104,Ctpera P 500mg/800mg Tablet
105,Ctpera P 500mg/800mg Tablet
106,Ctq 500mg Injection
107,Ctq 500mg Tablet
108,Ctq-P Tablet
109,Ctrate 20mg Soft Gelatin Capsule
110,Ctrate 20mg Soft Gelatin Capsule
111,Ctrisana-SB Injection
112,Ctriside E4 Tablet
113,Ctron 4mg Tablet MD
114,Ctrox 250mg Tablet
115,Ctrox 500 Tablet
116,Ctrox CV 250mg/125mg Tablet
117,Ctrox-CV Forte Tablet
118,Cts Oral Drops
119,Cts Syrup
120,Cts Syrup
121,Cts Syrup
122,Ctuss Syrup
123,Ctwo 400 mg/400 mg Tablet SR
124,Ctz 10mg Tablet
125,Ctz L Syrup
126,Ctzole 1% Cream
127,Ctzone 500mg Tablet
128,Ctzone P 500mg/400mg Tablet
