,items
0,D 10% Infusion
1,D 150mg/1gm/1gm Kit
2,D 5% Infusion
3,D 5% Infusion
4,D Acne Gel
5,D Acne I 10 Capsule
6,D Acne I 20 Capsule
7,D Acne Plus Gel
8,D Act 6mg Tablet
9,D Ambro Syrup
10,D Ambro Syrup
11,D Bact 2% Ointment
12,D Bay 500mg Tablet
13,D Bay 500mg Tablet
14,D Bikh 75mg Injection
15,D Bio 50mg/325mg Tablet
16,D Bio MR 250mg/50mg/325mg Tablet
17,D Blok 10mg Tablet
18,D Bose M 500mg/0.2mg Tablet
19,D Bose M 500mg/0.3mg Tablet
20,D Bose MP 500mg/7.5mg/0.3mg Tablet
21,D Bose MP 500mg/7.5mg/0.3mg Tablet
22,D CD 500mg/25mg/5mg Tablet
23,D COLD SYRUP
24,D Cam 10mg Tablet
25,D Cam 5mg Tablet
26,D Cam 5mg Tablet
27,D Canzal 100mg Capsule
28,D Canzal 100mg Capsule
29,D Canzal 200mg Capsule
30,D Carnox P 8mg/325mg Tablet
31,D Cast 6mg Tablet
32,D Cef 1gm Injection
33,D Cef 250mg Injection
34,D Cefo 200mg Tablet DT
35,D Cet 10mg Tablet
36,D Cet 10mg Tablet
37,D Cet 5mg Tablet
38,D Cet Forte Tablet
39,D Cet Syrup
40,D Cet Syrup
41,D Cin Eye Drop
42,D Cin Eye/Ear Drops
43,D Cin O Tablet
44,D Cin Tablet
45,D Clocyn 50mg/325mg Tablet
46,D Clox 250mg/250mg Capsule
47,D Cof Syrup
48,D Cold Total  Tablet
49,D Cold Total  Tablet
50,D Con 10mg Tablet
51,D Con 5mg Tablet
52,D Cor 6mg Tablet
53,D Core 6mg Tablet
54,D Cort 10mg Injection
55,D Cort 40mg Injection
56,D Cort 6 Oral Suspension
57,D Cort 6mg Tablet
58,D Cort 6mg Tablet
59,D Cox AM Syrup
60,D Cox AM Syrup
61,D Cox LS Syrup
62,D Cuf  Syrup
63,D Cuff Syrup
64,D Cypro Syrup
65,D Cypro Tablet
66,D Dec MR 250mg/50mg/325mg Tablet
67,D Dec Plus 50mg/325mg Tablet
68,D Dec SP 50mg/10mg Tablet
69,D Doxime 50mg Syrup
70,D Drox 10mg Tablet
71,D Drox 25mg Tablet
72,D F Plus  Tablet
73,D Fax LS 100 Tablet SR
74,D Fax LS 100mg/0.5mg Tablet
75,D Fax LS 50mg/0.5mg Tablet
76,D Fax Plus 100mg/0.5mg Tablet
77,D Fax Plus 50mg/0.5mg Tablet
78,D Febrol 20mg/500mg Tablet
79,D Fenac 50mg/500mg Tablet
80,D Fertile QSR Tablet
81,D Flaz 6mg Oral Suspension
82,D Flaz 6mg Tablet
83,D Flaz 6mg Tablet
84,D Flour Tablet
85,D Flox 100mg Injection
86,D Force 100mg Tablet
87,D Fresh 50mg/325mg Tablet
88,D Fresh M 50mg/500mg Tablet
89,D Fresh MR 250mg/50mg/325mg Tablet
90,D Fresh SP Tablet
91,D Fylin 400mg Tablet
92,D Glim 1mg Tablet
93,D Glim 2mg Tablet
