,items
0,D-3FIT Chewable Tablet
1,D-Alert Tablet
2,D-Bloc 10 Tablet
3,D-Bloc 20 Tablet
4,D-Bloc 30 Tablet
5,D-Bose 0.2 Tablet
6,D-Bose 0.2mg Tablet
7,D-Bose 0.3 Tablet
8,D-Bose 0.3 Tablet MD
9,D-Bose MP 275 Tablet
10,D-Bose MP 375 Tablet
11,D-Bose-M 0.2 Tablet SR
12,D-Bose-M 0.3 Tablet SR
13,D-Bro 0.8mg Tablet
14,D-Bro 2.5 Tablet
15,D-Chlorex Eye/Ear Drops
16,D-Cin 500mg Injection
17,D-Clav 375 Tablet
18,D-Clav 625 Tablet
19,D-Clav Dry Syrup
20,D-Clav Forte Dry Syrup
21,D-Clic 40mg Tablet
22,D-Clob 10 Tablet
23,D-Clob 5 Tablet
24,D-Cob 1000mcg Injection
25,D-Cob GP 300mg/500mcg Tablet
26,D-Cox-BR Syrup
27,D-Cox-DR Syrup
28,D-Cuf Syrup
29,D-Cuf Syrup
30,D-Dox 100 Tablet
31,D-Dox 200 Tablet
32,D-Dox Clav 325 Tablet
33,D-Dox Clav Oral Suspension
34,D-Fine Cream
35,D-Fine Tablet
36,D-Flam-MR Tablet
37,D-Flam-MR Tablet
38,D-Flam-Plus Tablet
39,D-Flam-S Tablet
40,D-Flaxene ER 100 Tablet
41,D-Flaxene ER 50 Tablet
42,D-Fyal Syrup
43,D-Gen 2K Softgel Capsule
44,D-Glip 2.5mg Tablet
45,D-Glip 5mg Tablet
46,D-Hype 60K Soft Gelatin Capsule
47,D-Joint 500mg/50mg/50mg Capsule
48,D-Lift 60K Soft Gelatin Capsule
49,D-Liq Max Oral Solution
50,D-Liq Oral Drops
51,D-Live PG Capsule
52,D-Loose Oral Solution Lemon
53,D-Lorinol Tablet
54,D-Max Tablet
55,D-Mine 25 Tablet
56,D-Mine 50 Tablet
57,D-Mist Respules 2ml
58,D-Moxal 250mg/250mg Tablet
59,D-Moxy Eye Drop
60,D-Moxy Eye Ointment
61,D-NIB Injection
62,D-Nova Topical Gel
63,D-Sera 50mg/10mg Tablet
64,D-Sera Plus Tablet
65,D-Shine Shot Oral Solution
66,D-Signoflam Transgel
67,D-UP 6L Injection
68,D-Veniz 100 Tablet ER
69,D-Veniz 50 Tablet ER
70,D-Venizep 100 Tablet ER
71,D-Venizep 50 Tablet ER
72,D-Venlor 100 Tablet ER
73,D-Venlor 50 Tablet
74,D-Ventin 100 Tablet SR
75,D-Ventin 50 Tablet SR
76,D-Vento Syrup
77,D-Ventodep XR 50 Tablet
78,D-Xone 1000mg Injection
79,D-Xone 250mg Injection
80,D-Xone 250mg Injection
81,D-Zid 1gm Injection
82,D-cort 6mg Tablet
