,items
0,DF 6mg Tablet
1,DF Plus 50 mg/500 mg Tablet
2,DF Plus Gel
3,DF-Cot 6 Tablet
4,DFA 6 Tablet
5,DFC Suspension
6,DFM 250mg Tablet
7,DFO 4X Gel
8,DFO MR Tablet
9,DFT 6mg Tablet
10,DFZ 1mg Tablet
11,DFZ 24 Tablet
12,DFZ 24 Tablet
13,DFZ 30mg Tablet
14,DFZ 6 Tablet
15,Dfax 100 Tablet ER
16,Dfax 50 Tablet ER
17,Dfax-Plus 100 Tablet ER
18,Dfc Oral Suspension
19,Dfc Tablet
20,Dfeet Tablet
21,Dfl 400mg Tablet
22,Dfl 6mg Tablet
23,Dflam Tablet
24,Dflam-Aqua Injection
25,Dflame MR 250mg/325mg/50mg Tablet
26,Dflame P 50mg/325mg Tablet
27,Dflame S 50mg/10mg Tablet
28,Dflaza 6mg Tablet
29,Dflcort 6mg Tablet
30,Dflox 100 Tablet
31,Dflox 200 Tablet
32,Dflox 50mg Oral Suspension
33,Dflox-M Oral Suspension
34,Dfloxa 200mg Tablet
35,Dfloxa 50mg Oral Suspension
36,Dfloxa OZ 200mg/500mg Tablet
37,Dfloxa OZ 200mg/500mg Tablet
38,Dfloxa OZ Oral Suspension
39,Dflucon 150mg Tablet
40,Dfly 60K Softgel Capsule
41,Dfn Injection
42,Dfo AQ 75mg Injection
43,Dformin-G1 Tablet SR
44,Dformin-G2 Tablet SR
45,Dformin-PG 1mg/500mg/15mg Tablet
46,Dformin-PG2 Tablet SR
47,Dfquil 6mg Tablet
48,Dfriz 750 mg/50 mg/250 mg Tablet
49,Dfriz 750mg/50mg/250mg Tablet
50,Dfrot Eye Drop
51,Dfs 12mg Tablet
52,Dfs 30mg Tablet
53,Dfs 30mg Tablet
54,Dfs 6mg Tablet
55,Dfs Plus 25mg/75mg Injection
56,Dfsis 25mg Injection
57,Dfsis 50mg Injection
58,Dfsis 6mg Tablet
59,Dfx 6mg Tablet
