,items
0,DI Cloxina 250mg/250mg Capsule
1,DI Plus 300mg/10mg Tablet
2,DI Valp 1000mg Tablet
3,DI Valp 250mg Tablet
4,DI Valp 500mg Tablet
5,DI Valp 750mg Tablet
6,DI Valp 750mg Tablet
7,DI-Loxy 250mg/250mg Tablet
8,DI-Moxyna Capsule
9,DIABETROL 3D 5 MG/500 MG/15 MG TABLET
10,DIAVASC 5MG TABLET
11,DICARD 30MG TABLET
12,DICARD 60MG TABLET
13,DICARD 60MG TABLET
14,DICARD 90MG TABLET SR
15,DICFAST 50 MG CAPSULE
16,DICLOMAC GEL
17,DICLOMOL 100 MG TABLET SR
18,DICLONAC P 50MG/500MG TABLET
19,DICLOWIN CREAM
20,DICLOX LB TABLET
21,DICLOX LB TABLET
22,DICLOZYME 50 MG/10 MG TABLET
23,DICLOZYME 50 MG/10 MG TABLET
24,DILEX OD 500 MG TABLET
25,DILGARD 120MG TABLET XL
26,DILGARD 180MG TABLET XL
27,DILGINA 30MG TABLET
28,DILIGAN 12.5 MG TABLET
29,DILTISYN 30MG TABLET
30,DILTISYN 60MG TABLET
31,DINEX EC 400MG TABLET
32,DIONINDON 16 MG TABLET
33,DIPNATE GM CREAM
34,DIPRESS 5MG TABLET
35,DIPRESS PLUS 5MG/50MG TABLET
36,DIPROEX 1000 MG TABLET ER
37,DISOKIND 500 MG TABLET ER
38,DISOKIND 750 MG TABLET ER
39,DISORATE 250 MG TABLET
40,DISTENIL 80 MG TABLET
41,DIVERCIL 50 MG INJECTION
42,DIVUNA 250MG TABLET ER
43,DIXIN 0.5 MG INJECTION
44,Di Elival 125mg Tablet ER
45,Di Elival 250mg Tablet ER
46,Di Elival 500mg Tablet ER
47,Dia B 500mg Tablet SR
48,Dia Bose 0.2mg Tablet
49,Dia End 200mg Tablet DT
50,Dia MF 1000mg Tablet
51,Dia Pace 500mg Tablet
52,Dia Pace G 1mg/500mg Tablet
53,Dia Pace G 1mg/500mg Tablet
54,Dia Pace G 2mg/500mg Tablet
55,Dia-MZ Syrup
56,Diaba 400 mg/600 mg Tablet
57,Diaba M 100 mg/100 mg Suspension
58,Diabanerve 500mcg Injection
59,Diabastat 4 Tablet
60,Diabecia 2mg/500mg/15mg Tablet ER
61,Diabeclaz 30 Tablet MR
62,Diabeclaz 60mg Tablet MR
63,Diabecure 80mg Tablet
64,Diabecure M 80mg/500mg Tablet
65,Diabecure M 80mg/500mg Tablet
66,Diabend -MR 60 Tablet
67,Diabend 40mg Tablet
68,Diabend 80mg Tablet
69,Diabend-M Tablet
70,Diabend-MEX 30 Tablet ER
71,Diabend-MEX 60 Tablet ER
72,Diabend-MR 30 Tablet
73,Diabent 40mg Tablet
74,Diabeta GB 500mg Tablet
75,Diabetnil 5mg Tablet
76,Diabetrol 3P 5mg/500mg/7.5mg Tablet
77,Diabetrol 3P Tablet SR
78,Diabetrol SR Tablet
79,Diabetrol Tablet
80,Diabetus Expectorant
81,Diabex 500mg Tablet
82,Diabezide 60mg Tablet
83,Diabezide M 80mg/500mg Tablet
84,Diabezide M 80mg/500mg Tablet
85,Diabic 80mg Tablet
86,Diabic M 80mg/500mg Tablet
87,Diabinese 250mg Tablet
88,Diabnil 5mg Tablet
89,Diabnorm 1000mg Tablet SR
90,Diabose 25mg Tablet
91,Diabose 50mg Tablet
92,Diabose M Tablet
93,Diacalm 10mg Tablet
94,Diacalm 5mg Tablet
95,Diacart G Tablet
96,Diace GM Tablet
97,Diacel 1.4gm Syrup
98,Diacemark-Msm Tablet
99,Diacemin-D 50mg/750mg Tablet
100,Diacer 50mg Capsule
101,Diacerene Capsule
102,Diaceron 50mg Capsule
103,Diacewal 50mg Capsule
104,Diacewal GM 50mg/750mg/250mg Tablet
105,Diachek 5mg Tablet
106,Diachek M 5mg/500mg Tablet
107,Diacip 500mg Tablet
108,Diacip 850mg Tablet
109,Diacobal Forte 500mcg Injection
110,Diacobal Plus Injection
111,Diacoff Syrup
112,Diacon 5mg Tablet
113,Diacon M 5 mg/500 mg Tablet
114,Diacor 80mg Tablet
115,Diacose 50mg/750mg/250mg Capsule
116,Diacriptin 0.8mg Tablet
117,Diacriptin 1.6mg Tablet
118,Diacriptin 1.6mg Tablet
119,Diacriptin M 0.8 mg/500 mg Tablet
120,Diacron M 80 mg/500 mg Tablet
121,Diadose 50mg Tablet
122,Diafast 6 Injection
123,Diafer 250mg Tablet
124,Diafer 500mg Tablet ER
125,Diafer Forte Tablet
126,Diafer Forte Tablet ER
127,Diaflex Tablet
128,Diaflex-GM Tablet
129,Diaflin-MSM Tablet
130,Diaflow 1.4gm Syrup
131,Diafor M 80mg/500mg Tablet
132,Diaformin 1000mg Tablet SR
133,Diaforte 2.5 mg/400 mg Tablet
134,Diafree Syrup
135,Diafur Plus Tablet
136,Diaglad 1mg Tablet
137,Diaglad 2mg Tablet
138,Diaglad M 1mg/500mg Tablet
139,Diaglad M 1mg/500mg Tablet
140,Diaglad M 2mg/500mg Tablet
141,Diaglad MP Tablet
142,Diaglad PG 750mcg/75mg Capsule
143,Diagli 1mg Tablet
144,Diagli 40mg Tablet
145,Diaglic M 80mg/500mg Tablet
146,Diaglim 1mg Tablet
147,Diaglim 1mg Tablet
148,Diaglim 2 Tablet
149,Diaglim MP 1 mg/500 mg/15 mg Tablet
150,Diaglim MP 2 mg/500 mg/15 mg Tablet
151,Diaglim-M 1mg/500mg Tablet
152,Diaglim-M2 Tablet SR
153,Diaglinis  35mg/500mg Syrup
154,Diaglip 5mg Tablet
155,Diaglip M 5 mg/500 mg Tablet
156,Diaglit 15 Tablet
157,Diaglit 30mg Tablet
158,Diaglumik M 750mg/50mg/250mg Tablet
159,Diagraf 500mg Tablet
160,Diagraph 1mg Tablet
161,Diagraph 2mg Tablet
162,Diagrm Tablet
163,Diagud 50mg/750mg Tablet
164,Diagus 2mg/500mg Tablet
165,Diajoint 50mg Tablet
166,Dial 0.25mg Tablet
167,Dial 0.5mg Tablet
168,Dial 2mg Tablet
169,Dial Plus 750mg/50mg/250mg Capsule
170,Dial-MR Tablet
171,Dial-MR Tablet
172,Dialex DC 4 mg/10 mg Syrup
173,Dialex DX Syrup
174,Dialex PC Liquid
175,Dialgin Gel
176,Dialim M 1mg/500mg Tablet
177,Dialim M 2mg/500mg Tablet
178,Dialoz 20mg Tablet
179,Diamac GM 50mg/750mg/250mg Tablet
180,Diamerth G 750mg/50mg/250mg Tablet
181,Diamet 1000mg Tablet SR
182,Diamet 500mg Tablet SR
183,Diamet 850mg Tablet
184,Diamicron 30mg Tablet XR
185,Diamicron MR Tablet
186,Diamicron Tablet
187,Diamicron XR 60 Tablet
188,Diamicron XR Mex 500 Tablet
189,Diamig 25mg Tablet
190,Diamig 50mg Tablet
191,Diamin 25mg Tablet
192,Diamin 75mg Tablet
193,Diamin M 2mg/500mg Tablet
194,Diamin Plus 2 mg/25 mg Tablet
195,Diamin Plus 5 mg/25 mg Tablet
196,Diamine Forte 50mg/750mg/250mg Tablet
197,Diamine M 50mg/750mg/250mg Tablet
198,Diamon 40mg Tablet MR
199,Diamox LB 250mg/250mg Capsule
200,Diamox Tablet
201,Diamxx 500mg Tablet
202,Dian 50 Tablet
203,Dian P Tablet
204,Dianac Plus Tablet
205,Dianazox 250mg/50mg/325mg Tablet
206,Diane 35 Tablet
207,Dianex 50mg Tablet
208,Dianex Msm 50mg/750mg/250mg Tablet
209,Dianic-GM Tablet
210,Dianor T 400mg/600mg Tablet
211,Dianora 1mg Injection
212,Dianorm 20mg Tablet
213,Dianorm 40mg Tablet
214,Dianorm 80mg Tablet
215,Dianorm Total 30 Tablet SR
216,Dianorm Total 60mg/15mg/500mg Tablet SR
217,Dianorm-M OD 1000 Tablet SR
218,Dianorm-M OD Tablet SR
219,Dianorm-M Tablet
220,Dianorm-OD 30 Tablet MR
221,Dianorm-OD 60 Tablet MR
222,Dianort Tablet
223,Diaob M 80 mg/500 mg Tablet
224,Diaox 100mg Tablet
225,Diaox 200mg Tablet
226,Diaox Plus 200mg/500mg Tablet
227,Diapar Suspension
228,Diapar Tablet
229,Diapepsin P 170 mg/80 mg Tablet
230,Diapex M 1mg/500mg Tablet
231,Diapex M 2mg/500mg Tablet
232,Diaprid-M 2mg/500mg Tablet
233,Diapride 1 Tablet
234,Diapride 1 Tablet
235,Diapride 2 Tablet
236,Diapride 2 Tablet
237,Diapride 4 Tablet
238,Diapride M 0.5mg/500mg Tablet PR
239,Diapride M1 Forte Tablet PR
240,Diapride M1 Forte Tablet PR
241,Diapride M1 Forte Tablet PR
242,Diapride M1 HV Tablet SR
243,Diapride M1 HV Tablet SR
244,Diapride M1 LV 1mg/500mg/0.2mg Tablet SR
245,Diapride M1 Tablet PR
246,Diapride M2 Forte Tablet PR
247,Diapride M2 Forte Tablet PR
248,Diapride M2 Forte Tablet PR
249,Diapride M2 HV 2mg/500mg/0.3mg Tablet SR
250,Diapride M2 HV 2mg/500mg/0.3mg Tablet SR
251,Diapride M2 LV 2mg/500mg/0.2mg Tablet SR
252,Diapride M2 Tablet PR
253,Diapride M3 Forte Tablet PR
254,Diapride M3 Forte Tablet PR
255,Diapride M3 Forte Tablet PR
256,Diapride M4 Forte Tablet PR
257,Diapride M4 Forte Tablet PR
258,Diapride Plus Tablet
259,Diapyrin 250 mg/250 mg/5 mg Tablet
260,Diapyrin MR 250mg/50mg/325mg Tablet
261,Diaran G 50mg/750mg/250mg Tablet
262,Diaratos 2mg Capsule
263,Diare M 1mg/500mg Tablet SR
264,Diare M 2mg/500mg Tablet SR
265,Diared 1mg/500mg Tablet
266,Diared 2mg/500mg Tablet
267,Diarel 400mg/600mg Tablet
268,Diarflox 200mg/200mg Tablet
269,Diarica Syrup
270,Diaril M 1mg/500mg Tablet SR
271,Diaril M 2mg/500mg Tablet SR
272,Diarin-GM Tablet
273,Diarka S 50mg/10mg Tablet
274,Diarka SP 50mg/325mg/10mg Tablet
275,Diarlop 2mg Capsule
276,Diarlop CT 500 mg/600 mg Tablet
277,Diarlop Plus Oral Suspension
278,Diarno 200 mg/500 mg Tablet
279,Diarno 50mg/5ml/125mg/5ml Syrup
280,Diarol  100mg/100mg Sachet
281,Diarol 100 mg/100 mg Capsule
282,Diarrozyl 12.5mg Dry Syrup
283,Diarsec 2mg Tablet
284,Diarth 50mg Capsule
285,Diaryl 1mg Tablet
286,Diaryl 2mg Tablet
287,Diasafe Capsule
288,Diascan M 80mg/500mg Tablet
289,Diascort 12mg Tablet
290,Diascort 6mg Tablet
291,Diasdac IV 1000mg Infusion
292,Diasdac MR 400mg/4mg Tablet
293,Diasdac SP Tablet
294,Diasdac Tablet
295,Diasdac-ER Tablet
296,Diaserchem MSM 50mg/750mg/250mg Tablet
297,Diaset 1mg Tablet
298,Diaset 2mg Tablet
299,Diaset M 1 SR Tablet
300,Diaset M2 SR Tablet
301,Diasim 50mg Capsule
302,Diasis Syrup
303,Diasmin 50mg Capsule
304,Diaspeed 5mg/500mg Tablet
305,Diastat 10mg Tablet
306,Diasten 50mg Capsule
307,Diasten gm 500 mg/50 mg/250 mg Tablet
308,Diaster M 50mg/750mg/250mg Tablet
309,Diastop MF Tablet
310,Diasun 50mg Capsule
311,Diaswich 1mg Tablet
312,Diaswich 2mg Tablet
313,Diaswich 2mg Tablet
314,Diaswich M 1 mg/500 mg Tablet
315,Diaswich M 2 mg/500 mg Tablet
316,Diaten M 500mg/20mg Tablet
317,Diaten Tablet
318,Diaten-Max 1000mg/20mg Tablet
319,Diatin 20mg Tablet
320,Diatin Syrup
321,Diatin-M 500mg/20mg Tablet
322,Diatom M 80 mg/500 mg Tablet
323,Diatrol 80mg Tablet
