,items
0,DP 50 mg/500 mg Tablet
1,DP Cef 100mg Tablet DT
2,DP Cef 200mg Tablet
3,DP Cef 50mg Dry Syrup
4,DP Cef O 200 mg/200 mg Tablet
5,DP Dase Tablet
6,DP Fol 10mg/10mg/2.5mg Tablet
7,DP Gesic 50 mg/500 mg Tablet
8,DP Gesic MR 250 mg/50 mg/500 mg Tablet
9,DP Gesic Spray
10,DP SR Fast Tablet
11,DP Zone Tablet
12,DP-Spas 10mg/ml/25mg/ml Injection
13,DP-Spas Tablet
14,DP1 Tablet
15,DPM 2mg Tablet
16,DPS 2 Tablet
17,DPS Gel
18,DPT Tablet
19,Dpano 40mg Tablet
20,Dpano DSR 30mg/40mg Capsule
21,Dpanta 40mg Injection
22,Dpanta 40mg Injection
23,Dpanta 40mg Tablet
24,Dpanta D 10mg/40mg Tablet
25,Dpanta D 10mg/40mg Tablet
26,Dpazine Plus 50mg/325mg Tablet
27,Dpazine S 50mg/10mg Tablet
28,Dpazox Tablet
29,Dpc 12.5 mg/2 mg/10 mg Syrup
30,Dpc 250 mg/50 mg/500 mg Tablet
31,Dpc 4 mg/2 mg/5 mg Syrup
32,Dpc Plus Tablet
33,Dpc Tablet
34,Dpcm 650mg Tablet
35,Dpenem 500mg Injection
36,Dpf 10mg/10mg/2.5mg Tablet
37,Dpf 10mg/10mg/2.5mg Tablet
38,Dpfor 20 Tablet
39,Dpfor M 1000mg/20mg Tablet
40,Dpfor-M 500 Tablet ER
41,Dphyte Cream
42,Dphyte Tablet
43,Dpime 1000mg Injection
44,Dpime 250mg Injection
45,Dplife-OD Tablet
46,Dpm 5mg Tablet
47,Dpm Injection
48,Dpm Plus 50 mg/10 mg Tablet
49,Dpm Tablet
50,Dpmol A 100mg/500mg Tablet
51,Dpnax 10mg/10mg/2.5mg Tablet
52,Dpnp 75mg Tablet SR
53,Dpoetin 25mcg Injection
54,Dpoetin 40mcg Injection
55,Dpoetin 60mcg Injection
56,Dppin 1000mg Injection
57,Dppin 250mg Injection
58,Dppin 500mg Injection
59,Dppin S 1000mg/500mg Injection
60,Dppin S 250mg/125mg Injection
61,Dppin S 500mg/250mg Injection
62,Dppin T 1000mg/125mg Injection
63,Dpram 10mg Tablet
64,Dpressin 0.1mg Tablet
65,Dpressin Nasal Spray
66,Dps 50 mg/10 mg Tablet
67,Dpvil 50mg Tablet
68,Dpvil M 1000mg/50mg Tablet
69,Dpvil M 500mg/50mg Tablet
70,Dpzone 1000mg/500mg Injection
71,Dpzox 250mg/50mg/325mg Tablet
