,items
0,DS 15 50 mg/10 mg Tablet
1,DS 15 Plus 100 mg/15 mg Tablet
2,DS Forte 50mg/10mg Tablet
3,DS Plus Tablet
4,DSA 50mg Tablet SR
5,DSP Tablet
6,DSX 10mg/10mg Tablet
7,Dsc Injection
8,Dsc Injection
9,Dsc-MR Tablet
10,Dsc-SP Tablet
11,Dsential 2K Chewable Tablet
12,Dserin 50mg Capsule
13,Dserin gm  50 mg/750 mg Tablet
14,Dsf 250mg Tablet
15,Dslide NP 100mg/325mg Tablet
16,Dslog K 50mg/325mg Tablet
17,Dslog MR 250mg/50mg/325mg Tablet
18,Dslog SP 50mg/325mg/15mg Tablet
19,Dslog SP 50mg/325mg/15mg Tablet
20,Dsorolen 25mg Tablet
21,Dsorolen 5mg Tablet
22,Dsorolen Forte   25mg Tablet
23,Dsorolen Lotion
24,Dsp Mix 50mg/325mg/15mg Tablet
25,Dspas 80mg/250mg Tablet
26,Dspas M 80mg/250mg Tablet
27,Dsucra 1000mg Oral Suspension
28,Dsulide 100mg Tablet
29,Dsulide P 100mg/325mg Tablet
30,Dsulide S 100mg/10mg Tablet
31,Dsunate 120mg Injection
32,Dsv Ton 20mg Injection
