,items
0,DT Care 200mg Injection
1,DT Ibuflam 400 mg/333 mg Tablet
2,DT MF 80mg/250mg Tablet
3,DTEL 40mg Tablet
4,DTEL AM 40mg/5mg Tablet
5,DTEL H 40mg/12.5mg Tablet
6,DTM 30mg Tablet
7,DTM 60mg Tablet
8,DTM 90 SR Tablet
9,DTN 50mg/2mg Tablet
10,Dt 20mg Tablet
11,Dtaxane 120mg Injection
12,Dtaxane 80mg Injection
13,Dtel CT 40mg/12.5mg Tablet
14,Dtel MT 40mg/25mg Tablet
15,Dtel MT 40mg/50mg Tablet
16,Dtelma 40mg Tablet
17,Dtelma H 40mg/12.5mg Tablet
18,Dtic Vhb 200mg Injection
19,Dtic Vhb 500mg Injection
20,Dtic Vhb 500mg Injection
21,Dtn 20mg Tablet
22,Dto 200 mg/600 mg Suspension
23,Dto 200 mg/600 mg Tablet
24,Dto H 100 mg/250 mg Tablet
25,Dtobra 0.3% Eye Drop
26,Dtrizole B Cream
27,Dtryp 12.5 mg/5 mg Tablet
28,Dtv 80mg Tablet
29,Dtv Plus 80mg/250mg Tablet
30,Dtxt 100mg Tablet
31,Dtxt 25mg Tablet
32,Dtxt 50mg Tablet
