,items
0,DV Cef 200mg Tablet
1,DV Cef 50mg Dry Syrup
2,DV Cef CV 200mg/125mg Tablet
3,DV Cef CV 200mg/125mg Tablet
4,DV Cef CV Dry Syrup
5,DV Cet 5mg Tablet
6,DV Cifi 100mg Tablet
7,DV Cifi 200mg Tablet
8,DV Cifi 50mg Dry Syrup
9,DV Cifi AZ 200mg/250mg Tablet
10,DV Cifi O 200mg/200mg Tablet
11,DV Cof Syrup
12,DV Cort 6mg Tablet
13,DV Exel Tablet ER
14,DV Gest 200mg Soft Gelatin Capsule
15,DV Meth 1500mcg Injection
16,DV Para 250mg Oral Suspension
17,DV Para 650mg Tablet
18,DV Sul 1000mg Injection
19,DV Sul 250mg Injection
20,DV-Mef Tablet
21,DV-Para Oral Drop Banana
22,DV3 Injection
23,DVM Tablet
24,Dv Sul SB 1000mg/500mg Injection
25,Dv Sul SB 250mg/125mg Injection
26,Dv Zole 40mg Injection
27,Dv Zole 40mg Tablet
28,Dv Zole D 10mg/40mg Tablet
29,Dv Zole D 30mg/40mg Capsule SR
30,Dv Zole D 30mg/40mg Capsule SR
31,Dv Zole L 75mg/40mg Capsule SR
32,DvMac-B6 Oral Solution Pineapple
33,Dval 250mg Tablet
34,Dval 500mg Tablet
35,Dvcold Tablet
36,Dvcor OD 250mg Tablet
37,Dvcor OD 500mg Tablet
38,Dvenjoy 100mg Tablet XR
39,Dvenjoy 50mg Tablet XR
40,Dvenpad 25mg Tablet XR
41,Dvenpad 50mg Tablet XR
42,Dventure 1000mg/200mg Injection
43,Dventure Dry Syrup
44,Dvert 16mg Tablet
45,Dvert 8mg Tablet
46,Dvfen P Tablet
47,Dvfenam Tablet
48,Dvfenam Tablet
49,Dvgra 100mg Tablet
50,Dvgra 50mg Tablet
51,Dvital 600000IU Injection
52,Dvlyf XR 250 Tablet
53,Dvlyf XR 500 Tablet
54,Dvlyf XR 500 Tablet
55,Dvn 40mg Tablet
56,Dvn 80mg Tablet
57,Dvn A 80mg/100mg Tablet
58,Dvn Forte 80 mg/500 mg Tablet
59,Dvn Ibs Tablet
60,Dvn Injection
61,Dvn Plus 80 mg/250 mg Tablet
62,Dvometil 5mg Tablet
63,Dvpex 50 Tablet ER
64,Dvs OD 250mg Tablet PR
65,Dvs OD 500 Tablet ER
66,Dvspas Tablet
67,Dvz 5mg Tablet
68,Dvz Mont 5mg/10mg Tablet
