,items
0,DX 24 S Tablet
1,DX 400mg Tablet
2,DX 6 Tablet
3,DX Plus Syrup
4,DXN 1000mg Injection
5,DXN 250mg Injection
6,DXN-SB 1000mg/500mg Injection
7,DXN-SB 250mg/125mg Injection
8,DXT 20mg Tablet
9,DXT 30 Tablet
10,DXT 40 Tablet
11,DXT 60mg Tablet
12,Dx LB 100mg Capsule
13,Dxcof AX Syrup
14,Dxcof DM Syrup
15,Dxcof LX Syrup
16,Dxfyln M 400mg/10mg Tablet
17,Dxing 50mg Dry Syrup
18,Dxone 1000mg Injection
19,Dxone 125mg Injection
20,Dxone 250mg Injection
21,Dxone 500mg Injection
22,Dxone S 1000mg/500mg Injection
23,Dxone S 250mg/125mg Injection
24,Dxone S 500mg/250mg Injection
25,Dxone XP 1000mg/125mg Injection
26,Dxone XP 250mg/31.25mg Injection
27,Dxq 200mg Tablet
28,Dxzol D 30mg/10mg Capsule SR
