,items
0,EAZIFLO 0.4 MG CAPSULE
1,EAZIFLO D TABLET
2,Eantacid OS Syrup
3,Ear Act Ear Drop
4,Eardin 5mg Tablet
5,Earltac 5mg Tablet
6,Earltac 5mg Tablet
7,Earltac M 5mg/10mg Tablet
8,Early Ear Drop
9,Early Preg Softgel Capsule
10,Earlyrab LS 75mg/20mg Capsule
11,Earlyrab-DSR Capsule
12,Earwel Ear Drop
13,Earzet OF 0.3% Eye Drop
14,Earzet OF 0.3% Eye Drop
15,Eascof  Expectorant
16,Eascof  Expectorant
17,Eascof D Syrup Mixed Fruit Sugar Free
18,Eascof Syrup
19,Eascof-LS Syrup Strawberry Raspberry Menthol Sugar Free
20,Ease Out 4mg Tablet
21,Ease Out 8mg Tablet
22,Ease Syrup
23,Ease-O Fast Oral Suspension Mango Sugar Free
24,Ease-O Fast Oral Suspension Mango Sugar Free
25,Easecof Syrup
26,Easemor 100mg Tablet
27,Easemor Plus Tablet
28,Easemore Plus Tablet
29,Easeout P 5mg Syrup
30,Easevert 16 Tablet
31,Easevert 24 Tablet
32,Easevert 8 Tablet
33,Easewel P 100mg/325mg Tablet
34,Eashab 20mg Tablet
35,Eashab D 30mg/20mg Capsule SR
36,Eashab Oral Suspension
37,Eashab-LS Capsule SR
38,Easid 20mg Capsule
39,Easid D 10mg/20mg Capsule
40,Easixan 20mg Capsule
41,Easixan D 10mg/20mg Capsule
42,Easkof-LA Syrup
43,Easkof-XP Syrup
44,Easkof-XP Syrup
45,Easodil 40mg Injection
46,Easodil LS Capsule SR
47,Easodil-DSR Capsule
48,Eason 12.5mg Tablet
49,Eastor 10mg Tablet
50,Easworm 400mg Tablet
51,Easy 20mg Capsule
52,Easy 5mg Syrup
53,Easy Blink Eye Drop
54,Easy Joint 50mg/750mg/250mg Tablet
55,Easy Six Vaccine
56,Easyaid 1 Tablet
57,Easyaid 2 Tablet SR
58,Easyaid 3 Tablet
59,Easyair 5mg/10mg Tablet
60,Easyclav 500mg/125mg Tablet
61,Easyclot 250mg Tablet
62,Easyclot 500mg Tablet
63,Easyfeel 0.5mg Tablet
64,Easyfeel 1mg Tablet
65,Easyfeel 2mg Tablet
66,Easyfive-TT Vaccine
67,Easyflox 200mg Tablet
68,Easyflox OZ 200 mg/500 mg Tablet
69,Easyflox OZ 200 mg/500 mg Tablet
70,Easyfour-TT Paediatric Vaccine
71,Easygest 200mg Tablet SR
72,Easygest 300mg Tablet SR
73,Easylide 100mg Tablet
74,Easynac 600mg Tablet
75,Easypa 200mg Tablet
76,Easypod 200mg Tablet DT
77,Easypod-CV Tablet
78,Easypreg 10mg/10mg/2.5mg Tablet
79,Easypreg OD 20mg/20mg/5mg Tablet
80,Easyride Beta Tablet
81,Easyride MD 0.25 Tablet
82,Easyride MD 0.5 Tablet
83,Easytel 40mg Tablet
84,Easytel AM 40mg/5mg Tablet
85,Easytel CH 40mg/12.5mg Tablet
86,Easytin 10 Tablet
87,Easytin AS 75 Capsule
88,Easyxib 90mg Tablet
89,Eat Up All 2mg Syrup
90,Eatan G Cream
91,Eauris 1mg Tablet
92,Eauris 2mg Tablet
93,Eauris 3mg Tablet
94,Eaze 10mg/10mg Tablet
95,Eazythrot 250mg Tablet
96,Eazythrot 500mg Tablet
