,items
0,EF Z 150mg Capsule
1,EFETRAN 75MG CAPSULE
2,EFICEF 100MG/62.5MG TABLET DT
3,Ef Stat 40mg Tablet
4,Ef Stat 80mg Tablet
5,Efac 50mg Tablet
6,Efac P 50mg/500mg Tablet
7,Efacaine 500 mg/50 mg/10 mg Suspension
8,Efact 100mg/5ml Syrup
9,Efact 50mg Syrup
10,Efadrox 250mg Tablet DT
11,Efadrox 500mg Tablet
12,Efamat 600mg Tablet
13,Efast 20mg Tablet
14,Efast Syrup
15,Efast Tablet
16,Efastenol Capsule
17,Efatop Lotion
18,Efatum 1000 mg/500 mg Injection
19,Efavir 200mg Capsule
20,Efavir 200mg Tablet
21,Efavir 600 Tablet
22,Efcan 150mg Tablet
23,Efcidal 150mg Tablet
24,Efcin 0.5% Dusting Powder
25,Efcin 150 Tablet
26,Efcoba 500mcg Injection
27,Efcold Syrup
28,Efcorlin 2.5mg Pellets
29,Efcure 200mg Tablet
30,Efcure 600mg Tablet
31,Efecet D 10mg/60mg Tablet
32,Efecin 100 Injection
33,Efecin 500 Injection
34,Efectal 1000mg Injection
35,Efectal 250mg Injection
36,Efectal 500mg Injection
37,Efectal S 1000 mg/500 mg Injection
38,Efectal TZ 1000 mg/125 mg Injection
39,Efelac 100 Tablet DT
40,Efelac 100mg/40Million spores Tablet
41,Efelac 200 Tablet DT
42,Efelac Tablet
43,Efelin PD 50 mg/1 mg Syrup
44,Efelin Tablet
45,Efemine Tablet
46,Efenac MR 250mg/50mg/325mg Tablet
47,Efepime 500mg Injection
48,Eferab-D Capsule SR
49,Eferem Tablet
50,Efespas 10 mg/250 mg Tablet
51,Efetil Tablet
52,Efex 100mg Tablet
53,Efexil 500mg Tablet
54,Efexil Kid 125mg Tablet
55,Efexim 100mg Tablet DT
56,Efexim 200mg Tablet
57,Efexim CV 200mg/125mg Tablet
58,Effahope 600mg Tablet
59,Effect 100 mg/500 mg Tablet
60,Effective 250mg Tablet
61,Effective 500mg Tablet
62,Effelyte 600mg Effervescent Tablet
63,Effenac 600 Effervescent Tablet Orange
64,Effenac AB Tablet
65,Effenerv PG 500mcg/75mg Capsule
66,Efferven 200mg Capsule
