,items
0,EM Infusion
1,EMADINE 5 MG TABLET
2,EMARSA 350 MG INJECTION
3,EMBETA 2.5 MG TABLET XR
4,EME OD 75mg Injection
5,EME OD Tablet MD
6,EMERGESIC GEL
7,EMIDOXYN 5 MG TABLET
8,EMIGO 4 MG INJECTION
9,EMLEVO 100  MG TABLET
10,EMLEVO 100  MG TABLET
11,EMLOX 500MG CAPSULE
12,EMNETIC OD 10 MG/10 MG TABLET
13,EMPERIDE M 2 MG/500 MG TABLET
14,EMPERIDE M 2 MG/500 MG TABLET
15,EMRAB 10 MG TABLET
16,EMRAB D  CAPSULE 30 MG/10 MG
17,EMSULIDE P 50MG/125MG SUSPENSION
18,EMSYLATE 250 MG TABLET
19,Emadine 10mg Tablet
20,Emadine 2.5mg Tablet
21,Emadine AT 5 mg/50 mg Tablet
22,Emanthal 200mg Suspension
23,Emanthal 400mg Tablet
24,Emanzen 10mg Tablet
25,Emanzen 2.5mg Tablet
26,Emanzen 5mg Tablet
27,Emanzen DP Tablet
28,Emanzen Forte   10mg Tablet
29,Emanzen N 100mg/15mg Tablet
30,Emanzen TBR Tablet
31,Emanzen TBR-DS Tablet
32,Emanzen-D Tablet
33,Ematra Capsule
34,Ematrin 0.125mg Tablet
35,Emaxgalin 75mg/60mg Tablet
36,Emazole 30mg Injection
37,Embargo 10mg Tablet
38,Embee 200mg Suspension
39,Embenor 400mg Tablet
40,Embenor TZ 400 mg/600 mg Tablet
41,Embeta 100 Tablet
42,Embeta 25 Tablet
43,Embeta 25mg Tablet ER
44,Embeta 50 Tablet
45,Embeta 50mg Tablet ER
46,Embeta 5mg Tablet XR
47,Embeta AM 25 Tablet PR
48,Embeta AM 50 Tablet PR
49,Embeta HT 25 mg/12.5 mg Tablet
50,Embeta HT 50 Tablet ER
51,Embeta XR 100 Tablet
52,Embeta XR 12.5 Tablet
53,Embeta XR 25 Tablet
54,Embeta XR 50 Tablet
55,Embeta XR 75mg Tablet
56,Embeta-R 2.5 Tablet
57,Embeta-R 5 Tablet ER
58,Embeta-TM 25 Tablet ER
59,Embeta-TM 50 Tablet ER
60,Embika 100mg Injection
61,Embion 100mg Injection
62,Embion Forte   Injection
63,Embolin Dec 50mg Injection
64,Embolus 250mg Injection
65,Embolus 500mg Injection
66,Embolus ET 250mg/250mg Tablet
67,Embriz 20mg Injection
68,Embriz 20mg Tablet
69,Embriz D 10mg/20mg Tablet
70,Embriz D 30mg/20mg Capsule SR
71,Embriz L 75mg/20mg Capsule SR
72,Embriz-L Injection
73,Embronat SR 200 Tablet
74,Embronat SR 300 Tablet
75,Embrox S Syrup
76,Embrox XL Syrup
77,Embroxia DX Syrup Sugar Free
78,Embroxia LS Syrup
79,Embroxia Syrup Sugar Free
80,Embryogen 10mg Tablet
81,Embulide 100mg Tablet
82,Embulide 50mg Syrup
83,Embulide Plus 100 mg/500 mg Tablet
84,Embulide Plus 50 mg/125 mg Syrup
85,Embutol 400mg Tablet
86,Embutol 800mg Tablet
87,Emcare 500mg Tablet
88,Emcare 750mg Tablet
89,Emcare OZ 250 mg/500 mg Tablet
90,Emcef 1000mg Injection
91,Emcef 250mg Injection
92,Emcef Injection
93,Emcef MD Tablet
94,Emcef Syrup
95,Emcer 30mg/40mg Capsule
96,Emcillin CV 1000mg/200mg Injection
97,Emcillin CV 500mg/125mg Tablet
98,Emcillin CV Dry Syrup
99,Emcillin-CV Kid Tablet
100,Emcip 250mg Tablet
101,Emcip 500mg Tablet
102,Emcitaben 1gm Injection
103,Emclav 200mg/28.5mg Tablet DT
104,Emclav 250mg/125mg Tablet
105,Emclav 375 Tablet
106,Emclav 500mg/125mg Tablet
107,Emclav 625 Tablet
108,Emclav Dry Syrup
109,Emclo G Cream
110,Emcloriz B Cream
111,Emclox 250 mg/250 mg Capsule
112,Emcloxy 250mg/250mg Capsule
113,Emcloz 0.25mg Tablet
114,Emcloz 0.5mg Tablet
115,Emcold Tablet
116,Emcor Cream
117,Emcoril A Syrup
118,Emcoril A Syrup Sugar Free
119,Emcoril DX Syrup
120,Emcoril Syrup
121,Emcort 0.1% Cream
122,Emcort 0.1% Ointment
123,Emcort 1000mg Injection
124,Emcort 125mg Injection
125,Emcort 16mg Tablet
126,Emcort 40mg Injection
127,Emcort 4mg Tablet
128,Emcort 500mg Injection
129,Emcort 8mg Tablet
130,Emcort CF Cream
131,Emcort S Cream
132,Emcredil 50mg Infusion
133,Emdam 300mg Injection
134,Emdam 600mg Injection
135,Emdar 2mg Syrup
136,Emdar 4mg Injection
137,Emdar 4mg Tablet MD
138,Emdase Forte 10mg Tablet
139,Emdefo 6mg Tablet
140,Emdip 8mg Tablet
141,Emdip T 40mg/8mg Tablet
142,Emdip T 80mg/8mg Tablet
143,Emdon Cream
144,Emdopa 250mg Tablet
145,Emdox 100mg Capsule
146,Emdox 100mg Tablet DT
147,Emdrot 80mg/250mg Tablet
148,Emduo  E   40 mg/150 mg/600 mg Kit
149,Emduo  E   40 mg/150 mg/600 mg Kit
150,Emduo 150mg/30mg Tablet
151,Emduo 150mg/40mg Tablet
152,Emduo E 30 Kit
153,Emduo Junior Tablet DT
154,Emduo N Kit
155,Emeban 2mg Injection
156,Emeban 4mg Tablet
157,Emeban 4mg Tablet
158,Emeban 8mg Tablet
159,Emebest MD 10mg Tablet
160,Emecad 0.25mg Injection
161,Emecad 0.25mg Injection
162,Emecel 4mg Tablet
163,Emecod 2mg Injection
164,Emecod 2mg Injection
165,Emecort 6mg Tablet
166,Emecure 4mg Tablet MD
167,Emedox 10mg/10mg/2.5mg Tablet
168,Emedox OD Tablet
169,Emeebact 500mg Capsule
170,Emeebact CV 500mg/125mg Tablet
171,Emeebact CV Dry Syrup
172,Emeebact LB 500mg/125mg Tablet
173,Emeebact-CV-Duo Dry Syrup
174,Emeecef 100mg Dry Syrup
175,Emeecef 100mg Tablet
176,Emeecef 200mg Tablet
177,Emeecef 50 Dry Syrup
178,Emeecef CV 200mg/125mg Tablet
179,Emeecef OF 200mg/200mg Tablet
180,Emeecef-CV Dry Syrup
181,Emeecin 25mg Tablet
182,Emeecip 500mg Tablet
183,Emeeflu 150mg Tablet
184,Emeegab 75mg Tablet
185,Emeelos 25mg Tablet
186,Emeelos 50mg Tablet
187,Emeelos H 50mg/12.5mg Tablet
188,Emeeluna 10mg Tablet
189,Emeeluna 10mg Tablet
190,Emeenac MR 100mg/325mg/250mg Tablet
191,Emeenac P Oral Suspension
192,Emeenac-P Tablet
193,Emeenac-SP Tablet
194,Emeenda 400mg Tablet
195,Emeenurve 2500mcg Injection
196,Emeenurve PG 750mcg/75mg Capsule
197,Emeeola 20mg Tablet
198,Emeeola 40mg Tablet
199,Emeeola H 12.5mg/20mg Tablet
200,Emeepod 100mg Dry Syrup
201,Emeepod 100mg Tablet
202,Emeepod 200mg Tablet
203,Emeepod 50mg Dry Syrup
204,Emeepod OZ 200mg/200mg Tablet
205,Emeepod-CV Dry Syrup
206,Emeepod-CV Tablet
207,Emeepod-CV Tablet
208,Emeerab 20mg Tablet
209,Emeerab-DSR Capsule
210,Emeeros 10 Tablet
211,Emeeros 20 Tablet
212,Emeetel 20mg Tablet
213,Emeetel 40mg Tablet
214,Emeetel H 40mg/12.5mg Tablet
215,Emeetrex 1.5gm Injection
216,Emef Eye Drop
217,Emefast 4mg Tablet MD
218,Emefast O 4mg/10mg Tablet
219,Emefenac SP 100mg/325mg/15mg Tablet
220,Emefilm 4mg Sachet
221,Emefilm Orally Disintegrating Strip
222,Emefreze Tablet
223,Emegran 3 1mg Injection
224,Emegran Injection
225,Emehill D 30mg/40mg Capsule
226,Emekule 2mg/5ml Syrup
227,Emekule 2mg/5ml Syrup
228,Emekule 4mg Tablet MD
229,Emeltrip 10mg Tablet
230,Emend 125mg/80mg Capsule
231,Emend 150mg Injection
232,Emenil 10mg Tablet
233,Emenil Injection
234,Emenil Injection
235,Emenorm 10mg Tablet
236,Emenz 40mg Capsule
237,Emep 40 Injection
238,Emepan D 30mg/40mg Capsule SR
239,Emepan D 30mg/40mg Capsule SR
240,Emepro-JR Oral Solution
241,Emepro-ODT Tablet
242,Emerab D 30mg/20mg Capsule SR
243,Emeram O 8mg Tablet
244,Emeran 2mg/5ml Syrup
245,Emeran 4mg Tablet
246,Emeran 8mg Tablet
247,Emerdase 10mg Tablet
248,Emerest 2mg Injection
249,Emerest 4mg Tablet
250,Emerest 8mg Tablet
251,Emerest Syrup
252,Emerex Oral Solution
253,Emergan 1mg Injection
254,Emergel Mouth Wash
255,Emergesic 50 mg/500 mg Tablet
256,Emergesic SP 50 mg/500 mg/10 mg Tablet
257,Emergin 0.2mg Injection
258,Emeril 2mg Injection
259,Emeril 4mg Tablet
260,Emeril Oral Drops
261,Emeril Oral Drops
262,Emersa 2mg Tablet
263,Emesafe 2mg Injection
264,Emesafe 4mg Tablet
265,Emesafe Oral Spray
266,Emeset 2mg Tablet MD
267,Emeset 4 ODT Tablet
268,Emeset 4 Tablet
269,Emeset 8 Tablet
270,Emeset Injection 2ml
271,Emeset Injection 4ml
272,Emeset Injection 4ml
273,Emeset Syrup Juicy Lemon
274,Emesol 8mg Tablet
275,Emestal 10mg Tablet
276,Emestal Oral Suspension
277,Emestal-O 4mg Tablet
278,Emestal-O Syrup
279,Emestat 10 mg/10 mg Tablet
280,Emestat OD Tablet
281,Emestat OD Tablet
282,Emestop 5mg Tablet MD
283,Emesys 4mg Injection
284,Emesys 4mg Tablet MD
285,Emesys 8mg Injection
286,Emetec 10mg/20mg Tablet
287,Emetec Spas 20mg/10mg Tablet
288,Emetek 2mg Suspension
289,Emetek 4mg Tablet MD
290,Emetil 100mg Tablet
291,Emetil 25mg Tablet
292,Emetil 50mg Tablet
293,Emetil DS 200mg/2mg Tablet
294,Emetil Plus 100 mg/2 mg Tablet
295,Emeton 2mg Injection
296,Emeton MD 4 Tablet
297,Emeton Syrup
298,Emetop 2mg Syrup
299,Emetrol 10mg/10mg/2.5mg Tablet
300,Emetron 4mg Injection
301,Emevin 2mg Injection
302,Emevin 4mg Tablet
303,Emevin Oral Drops
304,Emewin 10mg/10mg Tablet
305,Emewis 2mg Injection
306,Emewis Oral Solution
307,Emewis-MD Tablet
308,Emexim LB 200mg Tablet
309,Emezee 250mg Tablet
310,Emezee 500mg Tablet
311,Emezith 250mg Tablet
312,Emezith 500 Tablet
313,Emezith Oral Suspension
314,Emezith-XL Oral Suspension
315,Emezole 20mg Tablet
316,Emezole D Capsule
317,Emfen 10mg Tablet
318,Emfen 20mg Tablet SR
319,Emfenacin 5mg Tablet
320,Emfex 180mg Tablet
321,Emfib 250mg Tablet
322,Emfix 100mg Tablet
323,Emfix 500mg Tablet
324,Emfix 50mg Syrup
325,Emfix 50mg Tablet
326,Emflam 200mg Tablet
327,Emflam 400mg Tablet
328,Emflam 600mg Tablet
329,Emflox 200mg Tablet
330,Emflox 200mg Tablet
331,Emflox NT 500mg/200mg Tablet
332,Emflox NT Dry Syrup
333,Emflox OZ 200mg/500mg Infusion
334,Emflox OZ Tablet
335,Emflox TZ 400mg/600mg Tablet
336,Emfodex Sterile Eye Drop
337,Emfor 1000mg Tablet SR
338,Emfor 500mg Tablet
339,Emfort P Syrup
340,Emfort Tablet
341,Emfozen 0.5% Eye Drop
342,Emfozen 0.5% Eye Ointment
343,Emfozen Injection
344,Emfozen K Eye Drop
345,Emfozen LP Eye Drop
346,Emgard 15mg Tablet
347,Emgard 30mg Tablet
348,Emgard 5mg Tablet
349,Emgard 60mg Tablet
350,Emgat 400mg Tablet
351,Emgesic Tablet
352,Emgikast L 5mg/10mg Tablet
353,Emgikast L Kid 2.5mg/4mg Tablet DT
354,Emglobulin 5% Solution
355,Emgra Tablet
356,Emgraf 0.5mg Capsule
357,Emgraf 1mg Capsule
358,Emgrast 300mcg Injection
359,Emgrast M 250mcg Injection
360,Emgrast M 500mcg Injection
361,Emhist Expectorant
362,Emi 2.5mg Tablet
363,Emi 5mg Tablet
364,Emiben 200mg Suspension
365,Emiben 400mg Tablet
366,Emiben 400mg Tablet
367,Emica 100mg Injection
368,Emica 250mg Injection
369,Emica 500mg Injection
370,Emicard AT 5mg/50mg Tablet
371,Emicid 2mg Injection
372,Emicid 2mg Oral Drops
373,Emicid 4 Tablet MD
374,Emicid 8 Tablet
375,Emicilastin 500mg/500mg Injection
376,Emicof Syrup
377,Emicof Syrup
378,Emicold Tablet
379,Emicort 6mg Tablet
380,Emidas LS Tablet
381,Emidas Tablet
