,items
0,Euazi 500mg Tablet
1,Eubet Tablet
2,Eubioxyl LB 250mg Capsule
3,Eubioxyl LB 500mg Capsule
4,Eubioxyl LB 500mg Capsule
5,Eubioxyl LB Kid 125mg Tablet
6,Eubit Cream
7,Eubolin 25mg Injection
8,Eubolin 50mg Injection
9,Eubri Eye Drop
10,Eucef 100mg Tablet DT
11,Eucef 200mg Tablet
12,Eucef 250mg Capsule
13,Eucef Syrup
14,Eucefrox 500mg Tablet
15,Eucetzin 5mg Tablet
16,Eucetzin M 5mg/10mg Tablet
17,Eucetzin M Kid Tablet
18,Eucetzin M Syrup
19,Eucip 500mg Tablet
20,Euclar Dry Syrup
21,Euclide 40 Tablet
22,Euclide 40 Tablet
23,Euclide 60mg Tablet XR
24,Euclide 80 Tablet
25,Euclide M 30 OD  Tablet ER
26,Euclide M 60 OD Tablet ER
27,Euclide M Tablet
28,Euclide M Tablet
29,Eucofryl Syrup
30,Eucrasil 50 mg/325 mg Tablet
31,Eudase 10 Tablet
32,Eudase D Tablet
33,Eudase DP 50 mg/325 mg/15 mg Tablet
34,Eudip AT 5mg/50mg Tablet
35,Eudogril 150mg Tablet
36,Eudogril 75mg Tablet
37,Eudoxime 100mg Tablet DT
38,Eudoxime 200mg Tablet
39,Eudoxime Syrup
40,Eudrim 100mg Tablet
41,Eudrim 200mg Tablet
42,Eudrim 200mg Tablet SR
43,Eudrim 300mg Tablet SR
44,Eudrox 200mg Tablet
45,Eudrox 250mg Tablet
46,Eudrox 500mg Tablet
47,Eudrox 50mg Dry Syrup
48,Eudrox LB Capsule
49,Eudryl Syrup
50,Eudyna Cream
51,Eufacin Inh 450 mg/300 mg Tablet
52,Eufal 100mg Tablet
53,Eufal 100mg Tablet
54,Eufal 300mg Tablet
55,Eufal 600mg Tablet
56,Euflox 500mg Tablet
57,Eufoquin 200mg Tablet
58,Eufoquin 400mg Tablet
59,Eufoquin 400mg Tablet
60,Eufoquin O 200 mg/500 mg Tablet
61,Eufox 100mg Tablet
62,Eufox 200mg Tablet
63,Eufox 400mg Tablet
64,Eufox Eye Drop
65,Eufox O 200 mg/500 mg Tablet
66,Eufox O 50mg/5ml/125mg/5ml Syrup
67,Eufox TZ 200mg/600mg Tablet
68,Euftriop 250mg Injection
69,Euftriop SM 1000mg/500mg Injection
70,Eugebra 40mg Tablet
71,Eugebra Injection
72,Eugebra L 75mg/40mg Capsule SR
73,Eugebra-DSR Capsule
74,Eugel F Cream
75,Eugest 100mg Injection
76,Eugest 100mg Tablet
77,Eugest 100mg/ml Injection
78,Eugest 200mg Injection
79,Eugest 200mg Tablet
80,Eugest 400mg Tablet
81,Eugid 16mg Tablet
82,Euglim 1 Tablet
83,Euglim 2 Tablet
84,Euglim 4 Tablet
85,Euglim MP 2 Tablet ER
86,Euglim P 15mg/1mg Tablet
87,Euglim-M 1 Tablet PR
88,Euglim-M 2 Tablet PR
89,Euglim-MP 1 Tablet
90,Eugliptin M 500mg/20mg Tablet ER
91,Euglitol 25mg Tablet
92,Euglitol 50mg Tablet
93,Euglucon Tablet
94,Euglycin 500 Tablet
95,Eugon HP 150I.U Injection
96,Eugon HP 75I.U Injection
97,Eugraf 60mcg/gm Gel
98,Eugraf Gel
99,Eukarit 100 Capsule
100,Eukarit 200mg Capsule
101,Eukof D Syrup
102,Eukof Syrup
103,Eukroma 2% Cream
104,Eukroma Cream
105,Eukroma FC Cream
106,Eukroma Lite Cream
107,Eulac Suspension
108,Eulactin 4mg Tablet
109,Eulevo 250mg Tablet
110,Eulevo 500mg Tablet
111,Eulide 500 Tablet
112,Eumac 20mg Capsule
113,Eumac D 10mg/20mg Capsule
114,Eumet G 1 mg/500 mg Tablet
115,Eumet G 2 mg/500 mg Tablet
116,Eumide 1000mg Tablet
117,Eumik 100mg Injection
118,Eumik 250mg Injection
119,Eumik 500mg Injection
120,Eumik 500mg Injection
121,Eumir 15mg Tablet
122,Eumir 30mg Tablet
123,Eumo CL 250mg/250mg Capsule
124,Eumo CL 500mg/125mg Tablet
125,Eumol 100mg Oral Drops
126,Eumol 250mg Suspension
127,Eumosone Cream
128,Eumosone-M Cream
129,Eumotil-O Oral Solution
130,Eunacgen P Suspension
131,Eunacgen P Suspension
132,Eunacgen P Tablet
133,Eunacgen SP 100mg/325mg/15mg Tablet
134,Eunerve Plus Injection
135,Eunice 100mg Tablet
136,Eunice 50mg Tablet
137,Eunice P 10mg/20mg Tablet
138,Eunice SN 100mg/15mg Tablet
139,Eunozit 10mg Capsule
140,Eunozit 20mg Capsule
141,Euorgan 25mg Injection
142,Eupace H 50mg Tablet
143,Eupace-L Tablet ER
144,Eupanta D 10mg/40mg Tablet
145,Eupen 1000mg Injection
146,Eupen 125mg Injection
147,Eupen 250mg Injection
148,Eupen 500mg Injection
149,Eupen S Injection
150,Eupep Syrup
151,Eupeptine Drop
152,Euphodol 50mg Injection
153,Euphomin Plus Syrup
154,Euptaz 4000mg/500mg Injection
155,Eupzole D 10mg/40mg Tablet
156,Eurek Syrup
157,Eurelax 0.25mg Tablet
158,Eurelix 0.25mg Injection
159,Eurepa 0.5 Tablet
160,Eurepa 0.5 Tablet
161,Eurepa 1 Tablet
162,Eurepa 1 Tablet
163,Eurepa 2 Tablet
164,Eurepa 2 Tablet
165,Eurepa MF 1 Tablet
166,Eurepa MF 2 Tablet
167,Eurepa-V 0.5/0.2 Tablet
168,Eurepa-V 0.5/0.3 Tablet
169,Eurepa-V 1/0.2 Tablet
170,Eurepa-V 1/0.3 Tablet
171,Euresta 150mg Tablet SR
172,Euresta 300mg Tablet SR
173,Euresta 600mg Tablet SR
174,Eurezole 20mg Tablet
175,Eurezole D 10mg/20mg Capsule
176,Eurezole LS 75mg/20mg Capsule
177,Euride M 2mg/500mg Tablet
178,Euride MG 2mg/500mg Tablet
179,Euro 3 Injection
180,Euro 6mg Oral Suspension
181,Euro 6mg Tablet
182,Euro Axe 1000mg Injection
183,Euro Pantazole 40mg Tablet
184,Euro Pantazole D 10mg/40mg Tablet
185,Euroace 100mg Tablet
186,Euroace Plus 100mg/500mg Tablet
187,Euroace Plus 100mg/500mg Tablet
188,Euroace Pmr 100mg/325mg/250mg Tablet
189,Euroart 150mg Injection
190,Euroart 150mg Injection
191,Euroart M 60mg Injection
192,Eurob 20mg Tablet
193,Eurob D 10mg/20mg Tablet
194,Eurobend 400mg Tablet
195,Eurobet 0.5mg Tablet
196,Eurobuf 400mg Tablet
197,Eurocare 1.25gm Syrup
198,Eurocef 200mg Tablet
199,Eurocet 10mg Tablet
200,Eurocet LV 5mg Tablet
201,Eurocet LV 5mg Tablet
202,Eurocid 20mg Capsule
203,Eurocid D 10mg/20mg Capsule
204,Eurocillin 250mg Capsule
205,Eurocillin 500mg Capsule
206,Eurocip 250mg Tablet
207,Eurocip 500mg Tablet
208,Euroclin Gel
209,Euroclop 75mg Tablet
210,Euroclox DC 250mg/250mg Capsule
211,Eurocomb 400mg/325mg Tablet
212,Eurocomb Kid 100mg/125mg Tablet
213,Eurodac 50mg/500mg Tablet
214,Euroder 77mg/23mg Tablet
215,Eurodex 0.5mg Tablet
216,Eurodom 10mg Tablet
217,Euroest 0.25mg Tablet
218,Euroest 0.5mg Tablet
219,Eurofloux 20mg Capsule
220,Euroflox 100mg Tablet DT
221,Euroflox 100mg Tablet DT
222,Euroflox 200mg Tablet
223,Euroflox 400mg Tablet
224,Euroflox OR 200mg/500mg Tablet
225,Euroformin 500mg Tablet
226,Eurogesic MR 250mg/50mg/500mg Tablet
227,Euroglic 40mg Tablet
228,Euroglic MF 80mg/500mg Tablet
229,Euroglim 1mg Tablet
230,Euroglim 1mg Tablet
231,Euroglim 2mg Tablet
232,Euroglim 2mg Tablet
233,Euroglip 1mg Tablet
234,Euroglip 2mg Tablet
235,Euroglip 3mg Tablet
236,Euroglip 4mg Tablet
237,Euroglip Forte 30mg/2mg Tablet
238,Euroglip-M 2mg/500mg Tablet
239,Eurogris 250mg Tablet
240,Euroket 2% Cream
241,Euroket 2% Cream
242,Eurolam 0.25mg Tablet
243,Eurolam 0.5mg Tablet
244,Eurolam 1mg Tablet SR
245,Eurolid 100mg Tablet
246,Eurolide 3.75mg Depot Injection
247,Eurolide 4mg Injection
248,Eurolide Injection
249,Euroline 0.9% Infusion
250,Euromef Forte 500mg/450mg Tablet
251,Euromef Spas 10mg/250mg Tablet
252,Euromet 1000mg Tablet SR
253,Euromet GP 1mg/500mg Tablet SR
254,Euromet GP V 2mg/500mg/0.2mg Tablet SR
255,Eurometop 10mg Tablet
256,Euromik 500mg Injection
257,Euromox 250mg Capsule
