,items
0,EX Pod CL 200mg/125mg Tablet
1,EXALIZ 1000MG/125MG INJECTION
2,EXISTAT 500MG TABLET
3,EXISTAT-M 500MG/250MG TABLET
4,EXPECTROL SYRUP
5,EXPECTROL SYRUP
6,EXPERGESIC 500MG/15MG TABLET
7,EXTACEF I 1000 MG INJECTION
8,EXTACEF I 500 MG INJECTION
9,EXYGRA 50 MG TABLET
10,EXZILOR 0.5 MG/10 MG TABLET
11,Ex Derm Cream
12,Ex-Dmr Tablet
13,Ex-Gtm Syrup
14,Ex-Pod-DS Dry Syrup
15,Exaceef 1000mg/125mg Injection
16,Exacort 6mg Tablet
17,Exact 2 Tablet
18,Exact 3 Tablet
19,Exact 4 Tablet
20,Exact Kid  Tablet
21,Exact ZH Kid 60 mg/30 mg/150 mg Tablet
22,Exadom P 20mg/325mg Tablet
23,Exafib 10 Tablet
24,Exafib 15 Tablet
25,Exafib 2.5mg Tablet
26,Exafib 20mg Tablet
27,Exagt 400mg Tablet
28,Exal 0.125mg Tablet
29,Exal 0.25mg Tablet
30,Exalbic 500mcg Tablet
31,Exam 100mg Tablet ER
32,Exam 100mg Tablet ER
33,Exam 200mg Tablet ER
34,Exam 25mg Tablet
35,Exam 300mg Tablet ER
36,Exam 50mg Tablet ER
37,Exame 100mg Tablet
38,Exame 50mg Tablet
39,Examic 500 mg/250 mg Tablet
40,Examic 500mg Injection
41,Examic 500mg Tablet
42,Examic MF 500mg/250mg Tablet
43,Examin 400mg Tablet
44,Exapace Gel
45,Exapride 250mcg/2ml Injection
46,Exapride Starter  250mcg Injection
47,Exaril DX Syrup
48,Exario 500mg/125mg Tablet
49,Exario Dry Syrup
50,Exario-Cef 200mg/125mg Tablet
51,Exark Syrup
52,Exart Tablet
53,Exatran 500mg Injection
54,Exazam 10mg Tablet
55,Exazel 10% Cream
56,Exazel 15% Cream
57,Exazel 20% Cream
58,Exbid 250mg Tablet
59,Exbid 500mg Tablet
60,Excef 100mg Tablet
61,Excef 200mg Tablet
62,Excef LB Oral Suspension
63,Excelent 1gm Injection
64,Excelspar 200mg Tablet
65,Excemet 25mg Tablet XL
66,Excemet 50mg Tablet XL
67,Excemet AM 5 mg/50 mg Tablet
68,Excess 40mg Tablet
69,Excess D 10mg/40mg Tablet
70,Excess DSR Capsule
71,Excet 10mg Tablet
72,Excex Gel
73,Excita 10mg Tablet
74,Excita 5mg Tablet
75,Exclav 1000mg/200mg Injection
76,Exclav 500 mg/125 mg Tablet
77,Exclo AP 100mg/325mg/250mg Tablet
78,Exclo D 50mg/325mg/10mg Tablet
79,Exclo P 100mg/325mg Tablet
80,Exclo P Oral Suspension
81,Exclo SP 100mg/325mg/15mg Tablet
82,Exclo TH 100mg/4mg Tablet
83,Exclo TP 37.5mg/325mg Tablet
84,Excloten 10mg/1mg Tablet
85,Exclovir 200mg Tablet
86,Exclovir 200mg Tablet
87,Exclovir 400mg Tablet
88,Exclovir 800mg Tablet
89,Exclusive 200 mg/28.5 mg Tablet
90,Exclusive 200 mg/28.5 mg Tablet
91,Exclusive 250 mg/125 mg Tablet
92,Exclusive 500 mg/125 mg Tablet
93,Exclusive 875 mg/125 mg Tablet
94,Exclusivederm Neo Ointment
95,Excobal GB 300mg/500mcg Tablet
96,Excobal-GB Tablet
97,Excodin Syrup
98,Excol Eye Ointment
99,Excold Dry Syrup
100,Excold Oral Drops
101,Excold Plus Syrup
102,Excold Plus Tablet
103,Excold Tablet
104,Excold Tablet
105,Excold-P Oral Drops
106,Excold-P Oral Drops
107,Excort 40mg Injection
108,Excort Buccal 0.1% Paste
109,Excot Syrup
110,Excrete 1.5mg Tablet SR
111,Excretor 10mg Tablet
112,Excretor Plus 50 mg/10 mg Tablet
113,Excup Syrup
114,Excyto M 80mg/500mg Tablet
115,Exdee 2% Ointment
116,Exdepot 500mg Injection
117,Exdepot 500mg Injection
118,Exderm 0.05% Cream
119,Exderm NM Cream
120,Exdol 100mg Injection
121,Exdol P 37.5mg/325mg Tablet
122,Exdrox Kid 250mg Tablet
123,Exebute Cream
124,Execare Cream
125,Execare-F Cream
126,Execo FD Syrup
127,Execof Syrup
128,Execute 1000mg Injection
129,Exedec 50mg Injection
130,Exeed 1000mg Tablet SR
131,Exeed 1000mg Tablet SR
132,Exeed-PG Plus 30mg/500mg Tablet
133,Exeed-PG Plus 30mg/500mg Tablet
134,Exef 250mg Tablet
135,Exef 500mg Tablet
136,Exef Kid 125mg Tablet
137,Exeget 25mg Tablet
138,Exel GN Cream
139,Exel M Skin Cream
140,Exel skin Cream
141,Exeldor 500mg Injection
142,Exelon 1.5mg Capsule
143,Exelon 3mg Capsule
144,Exelon 4.5mg Capsule
145,Exelon 6mg Capsule
146,Exelon Patch 10
147,Exelon Patch 10
148,Exelon Patch 15
149,Exelon Transdermal Patch 5
150,Exelon Transdermal Patch 5
151,Exelon Tts 13.3mg Transdermal Patch
152,Exelvate B Cream
153,Exemptia 20mg/0.4ml Injection
154,Exemptia 40mg/0.8ml Injection
155,Exena 25 Tablet ER
156,Exena 50 Tablet ER
157,Exenta 25 Tablet
158,Exenta 50 Tablet
159,Exenta T 10  Tablet
160,Exenta T 10 Kit
161,Exenta T 20 Tablet
162,Exep 150mg Tablet
163,Exepride MF 1mg/500mg Tablet
164,Exepride MF 2mg/500mg Tablet
165,Exeption 1.5gm Injection
166,Exeption 250mg Tablet
167,Exeption 500 Tablet
168,Exeption 750mg Injection
169,Exeption-CV 250 Tablet
170,Exeption-CV 500mg/125mg Tablet
171,Exermet 1000 Tablet SR
172,Exermet 500 Tablet SR
173,Exermet 850 Tablet SR
174,Exermet GM 0.5 Tablet SR
175,Exermet GM 501 Tablet PR
176,Exermet GM 502 Tablet PR
177,Exermet GM Forte 1 Tablet PR
178,Exermet GM Forte 2 Tablet PR
179,Exermet GZ 30mg/500mg Tablet
180,Exermet GZ 60mg/500mg Tablet
181,Exermet P 15mg/500mg Tablet
182,Exermet P 30mg/500mg Tablet
183,Exeroz 10mg Tablet
184,Exeroz 5mg Tablet
185,Exeroz F 145 mg/10 mg Tablet
186,Exeroz F 145 mg/10 mg Tablet
187,Exetraz 25mg Tablet
188,Exevate 0.64mg Cream
189,Exevate Cream
190,Exevate F Cream
191,Exevate MF Cream
192,Exfaro 200 Tablet
193,Exfaro 300 Tablet
194,Exfen 120mg Tablet
195,Exflam 50mg Tablet
196,Exflam 75mg Injection
197,Exflam Gel
198,Exforge 10 mg/160 mg Tablet
199,Exforge 5 mg/160 mg Tablet
200,Exforge 5 mg/80 mg Tablet
201,Exgra 100mg Tablet
202,Exgra 50mg Tablet
203,Exhale P Suspension
204,Exhale Syrup
205,Exhep 20 Injection
206,Exhep 40 Injection
207,Exhep 60 Injection
208,Exhithro 500mg Tablet
209,Exi 250mg Tablet
210,Exi 500mg Tablet
211,Exi TZ 500mg/600mg Tablet
212,Exicef 100mg Tablet DT
213,Exicef 200mg Tablet
214,Exicef 50mg Syrup
215,Exiclav 1000mg/200mg Injection
216,Exiclav DS Syrup
217,Exid D Eye Drop
