,items
0,GI 750 mg/20 mg/250 mg Kit
1,Giadox 50mg Dry Syrup
2,Giadox CV 100mg/62.5mg Tablet
3,Giadox CV 100mg/62.5mg Tablet
4,Giadox CV 200mg/125mg Tablet
5,Giadox CV Dry Syrup
6,Giae-NT Tablet
7,Giafix 100mg Tablet DT
8,Giafix 200mg Tablet DT
9,Giafix 50mg Dry Syrup
10,Giafix CV 200mg/125mg Tablet
11,Giafix CV Dry Syrup
12,Giafix LB 200mg Tablet DT
13,Giafix O 200mg/200mg Tablet
14,Giafix-OLB Tablet
15,Giamox CV 250mg/125mg Tablet
16,Giamox CV 500mg/125mg Tablet
17,Giamox CV DS Dry Syrup
18,Giamox CV Dry Syrup
19,Giamox CV Kid 200mg/28.5mg Tablet
20,Giamox CV LB 500mg/125mg Tablet
21,Giamox DX 250mg/250mg Capsule
22,Giarab 20mg Tablet
23,Giarab L 75mg/20mg Capsule SR
24,Giarab-D Tablet
25,Giarab‐DSR Capsule
26,Gibend 400mg Tablet
27,Gibenda 400mg Tablet
28,Gibi Forte Tablet
29,Gibtulio 10mg Tablet
30,Gibtulio 25mg Tablet
31,Gibtulio Met 12.5mg/1000mg Tablet
32,Gibtulio Met 12.5mg/500mg Tablet
33,Gic O 200mg/500mg Tablet
34,Gicid 40mg Tablet
35,Gicid D 30mg/40mg Capsule SR
36,Giddy 2mg Injection
37,Giddy 2mg Oral Drops
38,Giddy 4mg Tablet MD
39,Gide-M 5mg/500mg Tablet
40,Gidicon 25mg Tablet
41,Gidihist 16mg Tablet
42,Gidihist 24mg Tablet
43,Gidihist 8mg Tablet
44,Gidilan 10mg Tablet
45,Gidilan 20mg Tablet
46,Gidilan 40mg Tablet SR
47,Gidinik 16mg Tablet
48,Gidinil 16mg Tablet
49,Gidinil 8mg Tablet
50,Gidof 25mg Tablet
51,Gidsr 30mg/40mg Capsule
52,Gifate 500mg Oral Suspension
53,Gifaxin  100 mg Syrup
54,Gifaxin  200 Tablet
55,Gifaxin  400 Tablet
56,Gifaxin  550 Tablet
57,Giflexcin 200mg Tablet
58,Giflexcin 400mg Tablet
59,Giflexcin 400mg Tablet
60,Gift 20mg Capsule
61,Giftan 25mg Tablet
62,Giftan 50 Tablet
63,Giftan-HC Tablet
64,Giftum 200mg Tablet
65,Giftum 400mg Tablet
66,Gigadict Tablet
67,Gigadif 250mg Tablet
68,Gigadif 500mg Tablet
69,Gigalmin-NT 75mg/10mg Tablet
70,Gigapezil 10 Tablet
71,Gigapezil 23mg Tablet SR
72,Gigapezil 5mg Tablet
73,Gigaquin 500mg Tablet
74,Gigastag-DM Tablet
75,Gigatil 5mg Tablet MD
76,Gigatraz 100 Tablet
77,Gigatraz 25mg Tablet
78,Gigatraz 50mg Tablet
79,Gigazide M 80mg/500mg Tablet
80,Giisot-PM 1mg/500mg/15mg Tablet
81,Giisot-PM 2mg/500mg/15mg Tablet
82,Gikacin 100mg Injection
83,Gikacin 250mg Injection
84,Gikacin 500mg Injection
85,Gilcin 250mg Tablet
86,Gilderm 100mg Capsule
87,Gilderm 200 Capsule
88,Gilderm 200 Capsule
89,Gilderm Plus Cream
90,Giled M 80 mg/500 mg Tablet
91,Gilflox 200mg Tablet
92,Gilformin M 1mg/500mg Tablet SR
93,Gilformin M 2mg/500mg Tablet SR
94,Gilformin M Forte 1mg/1000mg Tablet SR
95,Gilformin M Forte 2mg/1000mg Tablet SR
96,Gilformin MP 1mg/500mg/15mg Tablet SR
97,Gilformin MP 2mg/500mg/15mg Tablet SR
98,Gilformin MV 1mg/500mg/0.2mg Tablet
99,Gilformin MV 2mg/500mg/0.2mg Tablet
100,Gilimac PM 1mg/500mg/15mg Tablet SR
101,Gilimac PM 2mg/500mg/15mg Tablet SR
102,Gilimac-M1 Tablet PR
103,Gilimac-M2 Tablet PR
104,Gilpride-M1 Plus Tablet SR
105,Gilpride-M1 Tablet SR
106,Gilpride-M2 Plus Tablet SR
107,Gilpride-M2 Tablet SR
108,Gilpride-MP1 Tablet SR
109,Gilpride-MP2 Tablet SR
110,Gilran 40mg Tablet
111,Gilran 80mg Tablet
112,Gilran M 40mg/500mg Tablet
113,Gilran M 40mg/500mg Tablet
114,Gilran M 80mg/500mg Tablet
115,Gilt 200 Tablet
116,Gilt-MS Oral Suspension
117,Gilt-MS Oral Suspension
118,Gilt-OZ Tablet
119,Gim 1mg/500mg Tablet SR
120,Gim 2mg/500mg Tablet SR
121,Gimack-P Tablet
122,Gimack-SP Tablet
123,Gimef Forte 500 mg/450 mg Tablet
124,Gimef P 100mg Tablet
125,Gimef Spas 10 mg/250 mg Tablet
126,Gimete 1 Tablet SR
127,Gimete 2 Tablet SR
128,Gimi 1mg Tablet
129,Gimi 2mg Tablet
130,Gimibay 1mg/500mg Tablet
131,Gimibay 2mg/500mg Tablet
132,Gimibay P 1mg/500mg/15mg Tablet
133,Gimibay P 2mg/500mg/15mg Tablet
134,Gimilox-CV LB Tablet
135,Gimip 1mg Tablet
136,Gimip-M 2mg/500mg Tablet
137,Gimmy M 1 Forte Tablet
138,Gimmy M 1 Tablet
139,Gimmy M 2 Forte Tablet
140,Gimmy M 2 Tablet
141,Gimot 50mg Tablet
142,Gimp 1mg/500mg/15mg Tablet SR
143,Gimp 2mg/500mg/15mg Tablet SR
144,Ginadox 100mg Capsule
145,Ginal V Vaginal Tablet
146,Ginette 35 Tablet
147,Ginflox 200mg Tablet
148,Ginflox MS Oral Suspension
149,Ginflox OZ Oral Suspension
150,Ginflox Oral Suspension
151,Ginflox-NZ Syrup
152,Gingem 80mg/500mg Tablet
153,Gingicort Buccal Paste
154,Gini 320mg Tablet
155,Gini CL 200mg/125mg Tablet
156,Ginim 100mg Tablet DT
157,Ginim Plus 100 mg/500 mg Tablet
158,Ginkcin 500mg Injection
159,Ginkcin 500mg Injection
160,Ginkgovert Tablet
161,GinkoD3-PVB Tablet
162,Ginkocer M Capsule
163,Ginkocetin 60mg/800mg/5mg Tablet
164,Ginkolyst 60mg/800mg/5mg Tablet
165,Ginkonex 40mg Tablet
166,Ginkorus-PV Tablet
167,Ginkosan VP 60mg/800mg/5mg Tablet
168,Ginkostat 60mg/800mg/5mg Tablet
169,Ginlac-V Vaginal Tablet
170,Ginlocid Syrup
171,Ginox Gel
172,Ginox Tablet
173,Gintelo LV Tablet
174,Ginvin 200mg Tablet DT
175,Giobact 250mg Injection
176,Giobact 500mg Injection
177,Giobact Injection
178,Giobact S 1000mg/500mg Injection
179,Giobact S 500mg/250mg Injection
180,Giobact S 500mg/250mg Injection
181,Giobact-S 375 Injection
182,Giobest P 750mcg/75mg Capsule
183,Giobose 0.2mg Tablet
184,Giobose 0.3mg Tablet
185,Giobose M 500mg/0.2mg Tablet
186,Giobose M 500mg/0.3mg Tablet
187,Giobose M 500mg/0.3mg Tablet
188,Giobose MV 1mg/500mg/0.2mg Tablet
189,Giobose MV Forte 1mg/500mg/0.3mg Tablet
190,Giobose MV Forte 2mg/500mg/0.3mg Tablet
191,Giocip 500 Tablet
192,Gioflox 500mg Tablet
193,Giohist 16 Tablet
194,Giolen 10mg Capsule
195,Giolla 10mg Tablet
196,Giolla 20mg Tablet
197,Giolla 40mg Tablet
198,Giolla 80mg Tablet
199,Giolla 80mg Tablet
200,Giolla F 10mg/160mg Tablet
201,Giolol 50mg Tablet XL
202,Giomax D 250mg/250mg Tablet
203,Giomed M 1mg/500mg Tablet SR
204,Giomed M 2mg/500mg Tablet SR
205,Giomed MP 2mg/500mg/15mg Tablet
206,Giomin 1500mcg Injection
207,Giomin Plus Injection
208,Gionac D 90mg/48mg/100mg Tablet
209,Gionate 60mg Injection
210,Giopem 100mg Injection
211,Giopem 500mg Injection
212,Giopentin 300mg/500mcg Tablet
213,Giopride M 1mg/500mg Tablet SR
214,Giopride M 2mg/500mg Tablet SR
215,Giopride MP 1mg/500mg/15mg Tablet SR
216,Giostar T 4000mg/500mg Injection
217,Giother 150mg Injection
218,Gip 20 Capsule
219,Gipaderm Cream
220,Gipafenic Tablet
221,Gipant D Tablet
222,Gipasulide Plus Tablet
223,Gipcilin 4000mg/500mg Injection
224,Gippicare AG 500mg/1mg/10mg Tablet
225,Gippicare G 1mg/500mg Tablet
226,Gippicare G 2mg/500mg Tablet
227,Gippicare G 2mg/500mg Tablet
228,Giprazole Capsule
229,Gipro 500mg Tablet
230,Gipro TZ 500mg/600mg Tablet
231,Gipro TZ 500mg/600mg Tablet
232,Giran 150mg Tablet
233,Giride M 1 mg/500 mg Tablet SR
234,Giro 500mg Tablet
235,Girzeek 500 Tablet
236,Gispa 5mg/2.5mg Tablet
237,Gisron 5mg Tablet
238,Gissistat 10mg Capsule
239,Gissistat 10mg Capsule
240,Gistress 500mg/5ml Suspension
241,Gistress Tablet
242,Git 50mg Tablet
243,Gitae 1mg Tablet
244,Gitae 2mg Tablet
245,Gitae M 2mg Tablet
246,Gitek 10 mg/20 mg Tablet
247,Gitek 10 mg/20 mg Tablet
248,Gith 250mg Tablet
249,Gith 250mg Tablet
250,Gith 500mg Tablet
251,Gith Suspension
252,Githrocin 200mg Oral Suspension
253,Githrocin 250mg Tablet
254,Githrocin 500mg Tablet
255,Gitis 250mg Tablet
256,Gitro 100mg Tablet DT
257,Gitro 500mg Tablet
258,Gitune 150mg Tablet SR
259,Gitune 50mg Tablet
260,Gitune Mps 50mg/125mg Tablet
261,Giusep 1000 Injection
262,Giusep 1000 Injection
263,Giusep 100mg Tablet DT
264,Giusep 200mg Tablet DT
265,Giusep 250 Injection
266,Giusep 500 Injection
267,Giusep 50mg Oral Suspension
268,Giusep AZ 200mg/250mg Tablet
269,Giusep LB 200mg Tablet
270,Giusep OZ 200mg/500mg Tablet
271,Giusep-CV Tablet
272,Giusep-O Tablet
273,Giusep-S 375 Injection
274,Giusep-S 750 Injection
275,Givece CV Tablet
276,Givecef Plus 200mg/200mg Tablet
277,Givecef Sb 1.5gm Injection
278,Givov 1mg Tablet
279,Givpep 40mg Injection
280,Givpep 40mg Tablet
281,Givpep D 10mg/40mg Tablet
282,Givpep D 30mg/40mg Capsule SR
283,Givpep O 40mg/4mg Tablet
284,Gix 100mg Tablet DT
285,Gix 200mg Tablet
286,Gixime-CV 325 Tablet
287,Gixime-O Tablet
288,Gixone Dry Syrup
289,Gixone-CV 325 Tablet
290,Gizat 200mg Tablet
291,Gizat 400mg Tablet
292,Gizmo 400mg Tablet
