,items
0,glicsaan 80mg Tablet
1,GL Cet 5mg Tablet
2,GL-Met 80 Tablet
3,GL-Met 80 Tablet
4,GLI-ME SR1 Tablet
5,GLI-ME SR2 Tablet
6,GLIM 1 Tablet
7,GLIM 2 Tablet
8,GLIMER 4 MG TABLET
9,GLIMETOP MV 1  TABLET SR
10,GLIMISAVE DEBUT M 1 TABLET
11,GLIMISAVE DEBUT M 2 TABLET
12,GLIMISAVE MAX V FORTE TABLET
13,GLIMPID 4 MG TABLET
14,GLIMSER M1 TABLET
15,GLIMTAB 2MG TABLET
16,GLISTO MF 2 MG/1000 MG TABLET
17,GLOBAC SAFE 50 MG INJECTION
18,GLOBACTUM 1 GM INJECTION
19,GLUCOBAY 100 MG TABLET
20,GLUTAPEP INFUSION
21,GLYCIGON 30 MG TABLET MR
22,GLYCOR 80 MG TABLET
23,GLYKIND  80 MG TABLET
24,GLZ MEX 30mg/500mg Tablet
25,GLZ MEX 60mg/500mg Tablet
26,GLZ Plus Tablet
27,Glabra S Expectorant
28,Glacef 100 Dry Syrup Mango
29,Glacef 1000mg Injection
30,Glacef 200 LB Tablet
31,Glacef 250mg Injection
32,Glacef 50 Dry Syrup Mango
33,Glacef SB 1000mg/500mg Injection
34,Glacef SB 250mg/125mg Injection
35,Glacef-O Tablet
36,Glacial 0.5% Eye Drop
37,Glacitret 25mg Capsule
38,Glad P 4mg/325mg Tablet
39,Gladcort 6 Tablet
40,Gladlife G 300mg/500mcg Tablet
41,Gladlife Plus Injection
42,Gladmet G 1mg/500mg Tablet
43,Gladmet VG 1mg/500mg/0.2mg Tablet
44,Gladmet VG 2mg/500mg/0.2mg Tablet
45,Glador 1 Tablet
46,Glador 1 Tablet
47,Glador 2 Tablet
48,Glador 2 Tablet
49,Glador 3 Tablet
50,Glador 3 Tablet
51,Glador 4 Tablet
52,Glador 4 Tablet
53,Glador M 1 Forte Tablet PR
54,Glador M 1 Forte Tablet PR
55,Glador M 2 Forte Tablet PR
56,Glador M 2 Forte Tablet PR
57,Glador M1 Tablet PR
58,Glador M1 Tablet PR
59,Glador M2 Tablet PR
60,Glador M3 Forte Tablet PR
61,Glador M3 Forte Tablet PR
62,Glador M4 Forte Tablet PR
63,Glador M4 Forte Tablet PR
64,Gladsam 200mg Tablet
65,Gladvas 10mg Tablet
66,Gladyclav 228.5 Dry Syrup
67,Gladyclav 625 Tablet
68,Gladyclav Forte Oral Suspension
69,Glafen 100mg Tablet
70,Glafen MR 100mg/325mg Tablet
71,Glam BR 250mg/8mg Tablet
72,Glam BR 500mg/8mg Tablet
73,Glamfair Ointment
74,Glamit 80mg/500mg Tablet
75,Glamol 250mg Oral Suspension
76,Glamol 650mg Tablet
77,Glamor 1mg Tablet
78,Glamor 2mg Tablet
79,Glamor M 1mg/500mg Tablet
80,Glamor M 2mg/500mg Tablet
81,Glamor P 15mg/2mg Tablet
82,Glamor-PM Tablet SR
83,Glamox CV 500mg/125mg Tablet
84,Glamox-CL Oral Suspension Mango
85,Glamoxin 125mg Tablet
86,Glamoxin 250mg Capsule
87,Glamoxin 500mg Capsule
88,Glancap 500mg Tablet
89,Glancef 1000 mg/500 mg Injection
90,Glancef 500 mg/500 mg Injection
91,Glanclav 1000 mg/200 mg Injection
92,Glanerve-Plus Injection
93,Glaniknase Injection
94,Glanil M 2 Tablet PR
95,Glanoxy 100mg Injection
96,Glanoxy 50mg Injection
97,Glanpan 40mg Injection
98,Glanpan 40mg Tablet
99,Glanpan DSR 30mg/40mg Capsule
100,Glansunate 60mg Injection
101,Glantax D 120mg Injection
102,Glantax D 80mg Injection
103,Glantax P 100mg Injection
104,Glantax P 260mg Injection
105,Glantax P 260mg Injection
106,Glantaz 4000mg/500mg Injection
107,Glantrax 500mg Injection
108,Glanus Forte 180mg/96mg/200mg Tablet
109,Glaomet G 1mg/500mg Tablet
110,Glaomet G 2mg/500mg Tablet
111,Glaricit 250mg Injection
112,Glaricit Plus Tablet
113,Glaridep 10mg Tablet
114,Glaridep 20mg Tablet
115,Glaridep Forte Tablet
116,Glaridep Plus Tablet
117,Glarifen 10mg Capsule XR
118,Glarifen XR 20 Capsule
119,Glarifen XR 30 Capsule
120,Glarikot 750mg Tablet ER
121,Glarikot ER 250 Tablet
122,Glarikot ER 500 Tablet
123,Glaritus 100IU/ml Dispopen
124,Glaritus 100IU/ml Injection
125,Glaritus 100IU/ml Injection
126,Glaritus 100IU/ml Injection 3ml
127,Glaritus 40IU/ml Injection
128,Glaritus Dispopen 2
129,Glariz-B Cream
130,Glariz-B Lotion
131,Glartan 25mg Tablet
132,Glarvia 100IU/ml Injection
133,Glasit 10 Tablet
134,Glasit 20 Tablet
135,Glasit EB 10mg/10mg Tablet
136,Glasitrex 2.5mg Tablet
137,Glasitrex 5mg Tablet
138,Glataxone Injection
139,Glaten 50mg Tablet
140,Glather 75mg Injection
141,Glatimer 20mg Injection
142,Glatira 20mg Injection
143,Glatirex Injection
144,Glatix 40mg Tablet
145,Glatix 80mg Tablet
146,Glatix-M 40mg/500mg Tablet
147,Glatix-M 80mg/500mg Tablet
148,Glatrus 20mg Injection
149,Glauc Aid Eye Drop
150,Glaucom Eye Drop
151,Glavin-M 2 Tablet
152,Glavin-M1 Tablet
153,Glavira 50mg Tablet
154,Glavira M 1000mg/50mg Tablet
155,Glavira M 500mg/50mg Tablet
156,Glaze 60mg Tablet MR
157,Glazi M 80mg/500mg Tablet
158,Glazide M 80mg/500mg Tablet
159,Glazine M 5mg/10mg Tablet
160,Glazine Tablet
161,Glazine-LM Syrup
162,Glazulin 2.5mg Tablet
163,Glazvit TX Tablet
164,Glc 10mg Tablet
165,Glc 5mg Tablet
166,Glclav Dry Syrup
167,Glclav Dry Syrup
168,Glclav-LB 625 Tablet
169,Gleam 1mg Tablet
170,Gleam 2mg Tablet
171,Glebisol Cream
172,Gledepa 10mg Tablet
173,Gledepa 5mg Tablet
174,Gledepa Met 5mg/1000mg Tablet IR
175,Gledepa Met XR 10mg/500mg Tablet
176,Gledepa Met XR Tablet
177,Gleedox Tablet
178,Gleefen 10mg Tablet
179,Gleether 75mg Injection
180,Gleeton M 2mg/500mg Tablet SR
181,Gleevac 100mg Tablet
182,Gleevac 400mg Tablet
183,Glemallit-Gmp Tablet SR
184,Glemevose 1mg/500mg/0.2mg Tablet
185,Glemin M 1mg/500mg Tablet
186,Glemin M 2mg/500mg Tablet
