,items
0,GO-Malra 80mg/480mg Tablet
1,GO-Malra 80mg/480mg Tablet
2,GOCOX 300MG CAPSULE
3,GONARELIX 0.25 MG INJECTION
4,GOODOVA PLUS 25 MG/600 MG TABLET
5,Go 2 Sleep 3mg Tablet
6,Go 2 Sleep Syrup Sugar Free
7,Go 3 Eye Drop
8,Go 3 HS 0.5% Eye Drop
9,Go Easy 100mg/500mg Tablet
10,Go Itra 100mg Capsule
11,Go Itra 200mg Capsule
12,Goacid Oral Suspension Mango
13,Goacid Oral Suspension Mango
14,Goacid Oral Suspension Mint
15,Goacid Oral Suspension Saunf
16,Gobac AZ 500mg Tablet
17,Gobac CV 250mg/125mg Tablet
18,Gobac CV 500mg/125mg Tablet
19,Gobac Plus Capsule
20,Gobac Pod 100mg Tablet
21,Gobac Pod 200 Tablet
22,Gobakk 250mg/50mg/325mg Tablet
23,Gobakk Gel
24,Goben 300mg Tablet
25,Gocan 150mg Tablet
26,Gocef 1gm Injection
27,Gocef 1gm Injection
28,Gocef 250 Injection
29,Gocef 500 Injection
30,Gocef 500mg Tablet
31,Gocef TZ 1000mg/125mg Injection
32,Gocef-S 375 Injection
33,Gocef-S 750 Injection
34,Gocef-S Injection
35,Gocerin 50mg Tablet
36,Gocerin-GSM 50mg/750mg Tablet
37,Gocet 5mg Tablet
38,Gocet AM 5mg/60mg Tablet
39,Gocet M 5mg/10mg Tablet
40,Gocet M Syrup
41,Gocip 250mg Tablet
42,Gocip 500mg Tablet
43,Gocitrol 20mg Tablet
44,Gocitrol 40mg Tablet
45,Goclav 1000mg/200mg Injection
46,Goclav 500mg/125mg Tablet
47,Gococo 200mg Oral Suspension
48,Gococo 400mg Tablet
49,Gocold Plus Tablet
50,Gocold Tablet
51,Gocona 150mg Tablet
52,Gocough Syrup
53,Gocox 120mg Tablet
54,Gocox 90mg Tablet
55,Gocox TH 60mg/4mg Tablet
56,Gocyclo M 10mg/250mg Tablet
57,God 200mg/500mg Tablet
58,Goday OD Tablet
59,Goday Tablet
60,Godclav 250mg/125mg Tablet
61,Godclav 500 mg/125 mg Tablet
62,Godec 75mg Injection
63,Godec 75mg Injection
64,Godep 5mg Tablet
65,Godep Plus 0.25mg/5mg Tablet
66,Godep Plus 0.5mg/10mg Tablet
67,Godic AQ 75mg Injection
68,Godic CZ 250mg/50mg/325mg Tablet
69,Godic S 50mg/15mg Tablet
70,Godic SP 50mg/325mg/10mg Tablet
71,Godic-S 50mg/10mg Tablet
72,Godnac CZ 100mg/325mg/250mg Tablet
73,Godnac P 100mg/325mg Tablet
74,Godnac TH 100mg/4mg Tablet
75,Godnac TH 100mg/8mg Tablet
76,Godnac Thp 4mg/100mg/325mg Tablet
77,Godnac-SP Tablet
78,Godnan 50mg Injection
79,Godnan Injection
80,Godpime 1000mg Injection
81,Godpime 250mg Injection
82,Godpime 500mg Injection
83,Godpime TZ 1000mg/125mg Injection
84,Godryl Syrup
85,Goecyst-M Tablet SR
86,Goecyst-NAC Kit
87,Goefibro-M 10 Tablet
88,Goefibro-M 25 Tablet
89,Goefibro-U Tablet
90,Gof 200mg Tablet
91,Gof 200mg Tablet
92,Gof OZ 200mg/500mg Tablet
93,Gofalcy 50mg Tablet
94,Gofalcy 60mg Injection
95,Gofalcy-AL Tablet
96,Gofate O 1000mg Oral Suspension
97,Gofate OX Syrup
98,Gofeb 40mg Tablet
99,Gofeb 80mg Tablet
100,Gofel 200mg Tablet
101,Gofel 400mg Tablet
102,Gofenac 75mg Injection
103,Goff OR Oral Suspension
104,Gofi B Cream
105,Gofin G 1mg/500mg Tablet
106,Gofin G 2mg/500mg Tablet
107,Gofix 200mg Tablet DT
108,Gofla 200mg Tablet
109,Goflo 10mg Tablet
110,Goflo 200mg Tablet
111,Goflo 20mg Tablet
112,Goflo OZ 200mg/500mg Tablet
113,Gofloxa 500mg Tablet
114,Gofloxa OZ Oral Suspension
115,Gofloxin 200 Tablet
116,Gofloxin 50mg Oral Suspension
117,Gofloxin-OZ Oral Suspension
118,Gofloxin-OZ Tablet
119,Goga M 300mg/500mcg Tablet
120,Gogerd 40mg Tablet
121,Gogerd 40mg Tablet
122,Gogerd D 10mg/40mg Tablet
123,Goglipt 20 Tablet
124,Goglipt-M Tablet ER
125,Gogo 500mg/125mg Tablet
126,Gogynax 100mg Tablet
127,Goisid O Oral Suspension
128,Goisid Oral Suspension
129,Gokast BL Tablet 5mg/10mg
130,Golbeta XL 50mg Tablet
131,Golbi 150 Tablet
132,Golbi 150 Tablet
133,Golbi 300 Tablet
134,Golbi 300 Tablet
135,Golbi SR 450 Tablet
136,Golbi SR 450 Tablet
137,Golbicure 300 Tablet
138,Golcerin GM 750mg/50mg/250mg Tablet
139,Golcin 250mg Tablet
140,Gold Cough Syrup
141,Gold Dust Dusting Powder
142,Gold Liv 300mg Tablet
143,Goldcal -Kit Tablet
144,Goldcal Alen 70mg/5600IU Tablet
145,Goldcef 200mg Tablet
146,Goldcef 50mg Dry Syrup
147,Goldcef O 200mg/200mg Tablet
148,Goldcerine Capsule
149,Goldcerine gm Capsule
150,Goldclav 125 mg/31.25 mg Dry Syrup
151,Goldclav 375 Tablet
152,Goldclav 625 Tablet
153,Goldclav Oral Suspension
154,Goldec 25mg Injection
155,Goldec 25mg Injection
156,Goldec 50mg Injection
157,Goldep 10mg Tablet
158,Goldep 25mg Tablet SR
159,Goldep 50mg Tablet SR
160,Goldfin 100mg Tablet
161,Goldfin CV 200mg/125mg Tablet
162,Goldineuron Tablet
163,Goldistat 10mg Tablet
164,Goldistat 20mg Tablet
165,Goldistat 40mg Tablet
166,Goldistat 5mg Tablet
167,Goldistat EZ 10 mg/10 mg Tablet
168,Goldistat F 10 mg/80 mg Tablet
169,Goldival 1000mg Tablet ER
170,Goldival 250mg Tablet ER
171,Goldival 500mg Tablet ER
172,Goldival 750mg Tablet ER
173,Goldpar Mr 4mg/50mg Tablet
174,Goldpar SP 50mg/325mg/10mg Tablet
175,Goldpar Tablet
