,items
0,GP 0.5 Tablet
1,GP 1 Tablet
2,GP 15mg Tablet
3,GP 2 Tablet
4,GP 3 Tablet
5,GP 4 Tablet
6,GP Clox Capsule
7,GP Dom 10mg/40mg Tablet
8,GP FORLIN  TABLET 1 MG/500 MG/7.5 MG
9,GP M 1mg/500mg Tablet
10,GP Met 5mg Tablet
11,GP Met 5mg/500mg Tablet
12,GP2Ban 5mg Infusion
13,GPM -SR 1 Tablet
14,GPM Tablet
15,GPM-SR 2 Tablet
16,Gpanol 40mg Injection
17,Gpcin 500mg Tablet
18,Gpcon 1mg Tablet
19,Gpcon 2mg Tablet
20,Gpcon M 2mg/500mg Tablet
21,Gpen 100mg Tablet
22,Gpen 300mg Tablet
23,Gpfix 200mg Tablet
24,Gpfix DT 100mg Tablet
25,Gpflox L 500mg Tablet
26,Gpflox L 500mg Tablet
27,Gpred 16mg Tablet
28,Gpred 4mg Tablet
29,Gpred 8mg Tablet
30,Gpride 1 Tablet
31,Gpride 150mg Capsule
32,Gpride 2 Tablet
33,Gpride-M1 Tablet
34,Gpride-M2 Tablet
35,Gpwin 1mg Tablet
36,Gpwin 2mg Tablet
37,Gpyrolon 0.2mg Injection
38,Gpzide 5mg Tablet
39,Gpzide M 5mg/500mg Tablet
