,items
0,GZ 250mg Tablet
1,GZ 40mg Tablet
2,GZ 40mg Tablet
3,GZ 500mg Tablet
4,GZ 80mg Tablet
5,GZM 80mg/500mg Tablet
6,Gzbci 100mg Tablet
7,Gzbci 200mg Tablet
8,Gzbci 50mg Syrup
9,Gzbci CV 200mg/125mg Tablet
10,Gzel 40mg Injection
11,Gzel 40mg Tablet
12,Gzel D 10mg/40mg Tablet
13,Gzel D 30mg/40mg Capsule SR
14,Gzel Oral Suspension Mint
15,Gzide 30mg Tablet MR
16,Gzide 60mg Tablet XR
17,Gzide 80mg Tablet
18,Gzide M Tablet
19,Gzlacne Cream
20,Gzlamine 2mg Tablet
21,Gzlamine 2mg Tablet
22,Gzlben Cream
23,Gzlcef 100mg Tablet
24,Gzlcef 200mg Tablet
25,Gzlcef 50mg Tablet DT
26,Gzlcef DS Syrup
27,Gzlclav 500mg/125mg Tablet
28,Gzlclav DS Syrup
29,Gzlcon F Cream
30,Gzlcon HT Cream
31,Gzlcort 6mg Tablet
32,Gzldil Solution
33,Gzldil Solution
34,Gzldil Solution
35,Gzlfine 1mg Tablet
36,Gzlsalic Lotion
37,Gzlsalic Ointment
38,Gzlthrin Cream
