,items
0,HI Cort 100mg Injection
1,HI Five 10mg Tablet
2,HI Five D Tablet
3,HI Salic Ointment
4,HI Span Ointment
5,HI Tron 2mg Injection
6,HI Tron 4mg Tablet
7,HI ZN Syrup
8,HI-Cebo Injection
9,HI-Cobal Capsule
10,HI-Cobal Injection
11,HI-Cobal SR Tablet
12,HI-Tizzy Injection
13,HIBOR 3500 IU INJECTION
14,HIFEN PLUS 50 MG/50 MG DRY SYRUP
15,HIFENAC TL 100MG/37.5MG TABLET
16,HILGESTRONE 200 MG CAPSULE
17,HIMOLAN 250MG TABLET
18,HIMOLAN 500MG TABLET
19,HIPENOX LB 250 CAPSULE
20,HIPENOX LB 500 CAPSULE
21,HIPENP 250 MG TABLET
22,HIPRES D 50MG/2.5MG/25MG CAPSULE
23,HISTACARE P SYRUP
24,HISTOLAF 10MG TABLET
25,HISTOLATE 4MG/10MG DROP
26,Hi Drok C 25mg Tablet
27,Hi Norm Syrup
28,Hi Pram C 0.5mg/10mg Tablet
29,Hi-Cuf Syrup
30,Hi-D3 60K Capsule
31,Hiact P P Tablet
32,Hiact P Tablet
33,Hib Pro 0.033mg Injection
34,Hibact Ointment
35,Hibactum 4000mg/500mg Injection
36,Hibe Vaccine Combipack (Each 0.5ml)
37,Hibend 400mg Tablet
38,Hibend Oral Suspension
39,Hiberix 0.033mg Injection
40,Hibesor 25mg Tablet
41,Hibesor 50mg Tablet
42,Hibor 2500IU Injection
43,Hibor 5000IU Injection
44,Hibor 7500IU Injection
45,Hibose 50mg Tablet
46,Hibrid 228.5 Dry Syrup
47,Hibrid 250mg/125mg Tablet
48,Hibrid 500mg/125mg Tablet
49,Hibrid Dry Syrup
50,Hibrid Kid Tablet
51,Hibrom Eye Drop
52,Hical Suspension
53,Hicalm 10mg Tablet
54,Hicalm Plus Tablet
55,Hicam 20mg Injection
56,Hicam 20mg Tablet
57,Hicart Tablet
58,Hicdrate Syrup
59,Hiceclo-SP Tablet
60,Hicef 1000mg Injection
61,Hicef 200mg Tablet
62,Hicef S 1000mg/500mg Injection
63,Hicef T 1000 mg/125 mg Injection
64,Hicef T 250mg/31.25mg Injection
65,Hicefur 1500 Injection
66,Hicefur 500 Tablet
67,Hicefur 750 Injection
68,Hicerin-GM Tablet
69,Hicet Syrup
70,Hicet Tablet
71,Hicet-AX 5mg/60mg Tablet
72,Hicet-AX Syrup
73,Hicet-AX Tablet SR
74,Hicet-DC Tablet
75,Hicet-L Syrup
76,Hicet-L Tablet
77,Hicin 200mg Tablet
78,Hicin OZ Tablet
79,Hicin Syrup
