,items
0,IPAMIDE 1 GM INJECTION
1,IPS 100mg/325mg Tablet
2,IPS-CR 200mg Tablet
3,IPS-MR 100mg/2mg Tablet
4,IPS-SP 100mg/325mg/15mg Tablet
5,Ipacare 1000mg Injection
6,Ipacare TZ 250mg/31.25mg Injection
7,Ipain 50mg Injection
8,Ipain 75mg Tablet SR
9,Ipamide 2gm Injection
10,Ipamide with Mesna Injection
11,Ipasdol 50mg Injection
12,Ipcacin Kid 100 mg/100 mg Tablet
13,Ipcazide 100 mg/5 mg Syrup
14,Ipecee 400 mg/500 mg/65 mg Tablet
15,Ipen 40mg Tablet
16,Ipen Cil 500 mg/500 mg Injection
17,Ipen Cil 500 mg/500 mg Injection
18,Ipen-D Tablet
19,Iphaclav 228.5 Dry Syrup
20,Iphaclav 625 Tablet
21,Iphalip C Syrup
22,Iphardin D  Syrup
23,Iphardin M Syrup
24,Iphytoral 100mg Capsule
25,Iphytoral 200mg Capsule
26,Ipime-S 1000mg/500mg Injection
27,Ipime-S Forte 2000mg/1000mg Injection
28,Ipime-T 1000mg/125mg Injection
29,Iplox 200mg Tablet
30,Ipm 400 mg/325 mg/100 mg Tablet
31,Ipneb Solution for inhalation
32,Ipod 100mg Tablet DT
33,Ipod 100mg/5ml Dry Syrup
34,Ipod 200mg Tablet
35,Ipod 50mg Dry Syrup
36,Ipodex 100mg Tablet DT
37,Ipodine S Ointment
38,Ipoget 1gm Injection
39,Ipoget 2gm Injection
40,Ipoget 2gm Injection
41,Ipradin LS 100mcg/40mcg Divicap
42,Ipradin LS 50mcg/20mcg Inhaler
43,Iprag M 500mcg/75mg Tablet
44,Ipramist 250mcg Inhaler
45,Ipramist 250mcg Solution for inhalation
46,Ipratop 200mcg Inhaler
47,Ipratz 4000 mg/500 mg Injection
48,Ipravent 20mcg Cfc Free Inhaler
49,Ipravent Respirator Solution
50,Ipravent Respules 2ml
51,Ipravent Rotacaps
52,Iprazest Respules
53,Iprazole 20 Capsule
54,Ipreg 200 SR Tablet
55,Ipreg 300 SR Tablet
56,Iproce Injection
57,Ipsal L Axacaps
58,Ipsal L Inhaler
59,Ipsal L Respules 2.5ml
60,Iptaz 4000mg/500mg Injection
61,Iptozol 200mg Capsule
62,Ipzole 100 Capsule
63,Ipzole 200 Capsule
