,items
0,ISCO 6 MG TABLET
1,ISO 10MG TABLET
2,ISO CLIN 20 MG TABLET
3,ISOCIN 450MG/300MG TABLET
4,ISOMIDE 750MG TABLET
5,ISORIK 40MG TABLET SR
6,ISOTER 40MG TABLET
7,ISOTOL 800MG TABLET
8,ISOX 40MG TABLET
9,ISUN 10mg Tablet
10,ISUN 40mg Tablet SR
11,Isabel 20mg Capsule
12,Isabgoli Tablet
13,Isablac  Powder
14,Isac 10 Capsule
15,Isac 20mg Capsule
16,Isarin 40mg Tablet SR
17,Isart 40mg Tablet
18,Isart-A Tablet
19,Isart-H 40mg/12.5mg Tablet
20,Isazine 5mg Tablet
21,Isbid 10mg Tablet
22,Isbid 20mg Tablet
23,Iscept 2.5 mg/400 mg Tablet
24,Iscept 2.5mg/500mg Tablet
25,Iscept 5mg/500mg Tablet
26,Iscept Forte 5 mg/800 mg Tablet
27,Iscept L 1.25 mg/250 mg Tablet
28,Iscept P 5 mg/500 mg/15 mg Tablet
29,Isco 12mg Tablet
30,Isco Plus Suspension
31,Iscocef 1000mg Injection
32,Iscocip 500mg Tablet
33,Iscocip-TZ 500mg/600mg Tablet
34,Iscom 40mg Tablet SR
35,Iscozole 20mg Capsule
36,Iscozole-D 10mg/20mg Capsule
37,Isdil 30mg Tablet
38,Isdil 60mg Tablet
39,Isedaz Injection
40,Isentress 400mg Tablet
41,Isest 20mg Injection
42,Ishape 120mg Capsule
43,Ishape 60mg Capsule
44,Ishbact Injection
45,Ishderm Lite Cream
46,Ishderm-CN Cream
47,Ishderm-MN Cream
48,Ishflox Eye Drop
49,Ishgest 100mg Injection
50,Ishgest 200mg Soft Gelatin Capsule
51,Ishgest 300 SR Tablet
52,Ishglimet 1mg/500mg Tablet ER
53,Ishglimet 2mg/500mg Tablet ER
54,Ishglimet Forte 2mg/1000mg Tablet ER
55,Ishglimet MP 2mg/500mg/15mg Tablet ER
56,Ishtram Tablet
57,Ishzine 25mg Tablet
58,Ishzolid 600mg Tablet
59,Isiace-P 100mg/325mg Tablet
60,Isiace-PS 100mg/325mg/15mg Tablet
61,Isibrex 0.5% Eye Drop
62,Isibrex Plus 1% Eye Drop
63,Isibro 48mg/90mg/100mg Tablet
64,Isibro D Tablet
65,Isicef 200mg Tablet DT
66,Isicet 10mg Tablet
67,Isiflox 0.3% Eye Drop
68,Isiko 100mg Tablet
69,Isiko Plus 100 mg/500 mg Tablet
70,Isiko-Plus 100mg/500mg Tablet
71,Isimox 0.5% Eye Drop
72,Isimox 0.5% Eye Ointment
73,Isina 20mg Capsule
74,Isinac PS 100mg/325mg/15mg Tablet
75,Isinac T 100mg/4mg Tablet
76,Isinep Eye Drop
77,Isinin 20mg Tablet
78,Isiorb D 30mg/20mg Capsule SR
79,Isiprofen 0.03% Eye Drop
80,Isistul 15mg/20mg Tablet
81,Iskem GTN 2.6mg Tablet
82,Iski 120mg Tablet SR
83,Iski 30mg Tablet
84,Iski 60mg Tablet
85,Iski 90mg Tablet SR
86,Iskopep 4000mg/500mg Injection
87,Iskotaz 1000mg/125mg Injection
88,Iskotaz 2000mg/250mg Injection
89,Iskotaz 4000mg/500mg Injection
90,Islon 10mg Tablet
91,Ismet 500mg Tablet
92,Ismet SR 500 Tablet
93,Ismigen Tablet
94,Ismo 10 Tablet
95,Ismo 20 Tablet
96,Ismo Retard Tablet ER
97,Ismorin 30 mg/75 mg Capsule
98,Ismorin 60 mg/75 mg Capsule
99,Iso 20mg Tablet
100,Iso Aret 20mg Capsule
101,Iso Bill 10mg Soft Gelatin Capsule
102,Iso Bill 20mg Soft Gelatin Capsule
103,Iso Clin 10mg Capsule
104,Iso Koxi 300 mg/800 mg Tablet
105,Iso Sunibutol 300 mg/800 mg Tablet
106,Iso Sunibutol 300 mg/800 mg Tablet
107,Iso T 20mg Capsule
108,Isoace 10mg Capsule
109,Isoace 20mg Capsule
110,Isoact 20mg Tablet
111,Isoaid 10 Soft Gelatin Capsule
112,Isoaid 20 Soft Gelatin Capsule
