,items
0,IZ ITR 100mg Capsule
1,IZ ITR 200mg Capsule
2,IZ K Cream
3,IZ K Lotion
4,IZ K Soap
5,IZ Luli 1% Cream
6,IZ S 2% Cream
7,IZRA IV  40 MG INFUSION
8,Izabof 250mg Tablet
9,Izamed 500mg Tablet
10,Izcid DSR 30mg/20mg Capsule
11,Izcid Tablet
12,Izeb 1% Cream
13,Izeth 500 Tablet
14,Izi 5mg Tablet
15,Izi 5mg Tablet MD
16,Izi Plus 5 mg/10 mg Tablet
17,Izicin 100mg Tablet DT
18,Izicin 250mg Tablet
19,Izid 1000mg Injection
20,Izid 1000mg Injection
21,Izid 250mg Injection
22,Izika 500 Injection
23,Izimed 100mg Tablet DT
24,Izimed 100mg/5ml Suspension
25,Izimed 200mg/5ml Suspension
26,Izimed 250mg Tablet
27,Izimed 500mg Tablet
28,Izith 250mg Tablet
29,Izol 100mg Tablet
30,Izol 200mg Tablet
31,Izola Tablet
32,Izomox CL 500mg/125mg Tablet
33,Izone 1000mg Injection
34,Izone 250mg Injection
35,Izone 500mg Injection
36,Izone S 1000 mg/500 mg Injection
37,Izoty 200 Capsule
38,Izra 20 Tablet
39,Izra 20 Tablet
40,Izra 40 Tablet
41,Izra 40 Tablet
42,Izra- D40 Capsule SR
43,Izra-D 20 Capsule SR
44,Izra-L Capsule SR
45,Izzi 250mg Tablet
46,Izzi 500mg Tablet
