,items
0,JAB 150mg Injection
1,JAIZZY GM 750MG/50MG/250MG TABLET
2,Jac-UP Tablet
3,Jacanzole Shampoo
4,Jacef 1000mg Injection
5,Jacef 1000mg Injection
6,Jacef 250mg Injection
7,Jacef-SB 1gm/0.5gm Injection
8,Jacef-SB 250mg/125mg Injection
9,Jacef-SB 500mg/250mg Injection
10,Jacimox 250mg Capsule
11,Jacimox 500mg Capsule
12,Jacin 100 Injection
13,Jacin 250 LB Tablet
14,Jacin 500 Injection
15,Jacin 500 LB Tablet
16,Jackflox 50mg Syrup
17,Jackpod CV Syrup
18,Jackson Paracetamol 500 Tablet
19,Jaclo 200 SR Tablet
20,Jaclo P 100mg/500mg Tablet
21,Jaclo RS 200mg/20mg Capsule
22,Jaclo RS 200mg/20mg Capsule
23,Jaclo TH 100mg/4mg Tablet
24,Jaclo-CT Tablet
25,Jaclo-PS Tablet
26,Jacmod 100mg/37.5mg Tablet
27,Jacof Syrup
28,Jacold Tablet
29,Jacort 6mg Tablet
30,Jadioff Syrup
31,Jaducef 1000mg Injection
32,Jaducef 250mg Injection
33,Jaducef 500mg Injection
34,Jaducef S 1000mg/500mg Injection
35,Jaducef S 500mg/250mg Injection
36,Jaducef S Kid 125mg/62.5mg Injection
37,Jaducef TZ 1000mg/125mg Injection
38,Jaducef TZ 250mg/31.25mg Injection
39,Jaducef TZ 500mg/62.5mg Injection
40,Jadupox 100 DT Tablet
41,Jadupox 200 Tablet DT
42,Jadupox 50mg Tablet DT
43,Jadupox Dry Syrup
44,Jadupox-CV Tablet
45,Jadupox-DS Dry Syrup
46,Jadyl Expectorant
47,Jafix 100mg Tablet
48,Jafix 200mg Tablet
49,Jafixaz Tablet
50,Jaflox 500mg Tablet
51,Jafon SB 1000mg/500mg Injection
52,Jagcin 125mg/5ml Syrup
53,Jagmet 1000mg Tablet
54,Jagmet 500mg Tablet
55,Jagnor 100mg Tablet
56,Jagnor 200mg Tablet
57,Jagnor 50mg Dry Syrup
58,Jagnor OF 200mg/200mg Tablet
59,Jagnor OF Dry Syrup
60,Jagpod 200mg Tablet DT
61,Jagquin 40mg Injection
62,Jagquin 50mg Syrup
63,Jagquin 64.5mg Injection
64,Jaicit 250mg Injection
65,Jaicit 500mg Tablet
66,Jaicit-Plus Tablet
67,Jaidol 200mg Tablet SR
68,Jaidol T 100mg/4mg Tablet
69,Jaidol T 100mg/8mg Tablet
70,Jaidol-MR Tablet
71,Jaidol-P Oral Suspension
72,Jaidol-P Tablet
73,Jaidol-SP Tablet
74,Jaidol-TP Tablet
75,Jaiho 8 mg/500 mg Tablet
76,Jainace 200mg Tablet SR
