,items
0,JUNIMOL RDS 120MG/5ML SUSPENSION
1,JUNIZ RDS  SUPPOSITORY 5 MG
2,JUSTINEX 30MG TABLET
3,JUVCEF 100MG TABLET DT
4,Jualiv Forte 170mg/80mg Tablet
5,Juan 100 Tablet
6,Juan 25mg Tablet
7,Juan 50mg Tablet
8,Jubicad 10 Tablet
9,Jubicad 20mg Tablet
10,Jubicad 40mg Tablet
11,Jubicad 80mg Tablet
12,Jubicad CV 20 Capsule
13,Jubicad CV Capsule
14,Jubical Soft Gelatin Capsule
15,Jubicas 50mg Injection
16,Jubiflam Forte Tablet
17,Jubiflam Plus Tablet
18,Jubiflam Tablet
19,Jubiglim 1 Tablet
20,Jubiglim 2 Tablet
21,Jubiglim M 1 Forte Tablet PR
22,Jubiglim M 1 Tablet PR
23,Jubiglim M 2 Forte Tablet PR
24,Jubiglim M 2 Tablet PR
25,Jubiglim M 3 Tablet PR
26,Jubiglim M 3mg/500mg Tablet
27,Jubiglim M 4mg/500mg Tablet
28,Jubiglim M Forte 3mg/1000mg Tablet
29,Jubiglim M Forte 4mg/1000mg Tablet
30,Jubiglim M3 Forte Tablet PR
31,Jubiglim M4 Forte Tablet PR
32,Jubiglim MV 1 Plus Tablet SR
33,Jubiglim MV 1 Tablet SR
34,Jubiglim MV 2 Plus Tablet SR
35,Jubiglim MV 2 Tablet SR
36,Jubiglim Trio 1 Tablet PR
37,Jubiglim Trio 2 Tablet PR
38,Jubilnerv 1500mcg/75mg Capsule SR
39,Jubinora 400mg/10mg Tablet
40,Jubiprox 500mg Tablet ER
41,Jubira 10 Tablet
42,Jubira 20 Tablet
43,Jubira 40 Tablet
44,Jubira 5 Tablet
45,Jubira CV 10 Capsule
46,Jubira CV 20 Capsule
47,Jubira F 10 Tablet
48,Jubira F 5 Tablet
49,Jubira Gold 10 Capsule
50,Jubira Gold 20 Capsule
51,Jubira Plus Capsule
52,Jubiron 100mg Capsule
53,Jubiron 200 Capsule
54,Jubiron 400 Soft Gelatin Capsule
55,Jubitaz 4000mg/500mg Injection
56,Jublin 150mg Capsule
57,Jublin 75 Capsule
58,Jublin-M Capsule
59,Jucan 150mg Tablet
60,Jucef 1000mg Injection
61,Jucef 250mg Injection
62,Jucef SB 250mg/125mg Injection
63,Jucitron Syrup
64,Jucitron Syrup
65,Jucold DS Syrup
66,Jucold Syrup
67,Judaxin 250mg Capsule
68,Judaxin 500mg Capsule
69,Judiora Buccal Paste
70,Judo 100mg Injection
71,Judo P Tablet
72,Jufate O 1000 mg/20 mg Suspension
73,Jufate O 1000 mg/20 mg Suspension Sugar Free
74,Juflox 0.3% Eye Drop
75,Juflox 200mg Tablet
