,items
0,KUFLITE TABLET
1,KUFMA DX SYRUP
2,KUFRIL C 4MG/10MG SYRUP
3,KUTUB 60 MG TABLET
4,Kubik 40mg Tablet
5,Kubik DSR 30 mg/40 mg Tablet
6,Kucil 250mg Injection
7,Kucil 500mg Injection
8,Kudoxy 300mg Tablet
9,Kudzu Flex Tablet
10,Kudzu Plus 100 mg/500 mg/15 mg Tablet
11,Kudzu Tablet
12,Kudzuflam 100 mg/500 mg/15 mg Tablet
13,Kuf Relief Syrup
14,Kuf-Q Tablet
15,Kufact Syrup
16,Kufact Syrup
17,Kufbest D Syrup
18,Kufbest L Syrup
19,Kufbis A Syrup
20,Kufbis-B Syrup
21,Kufbro 50 mg/1.25 mg/4 mg Syrup
22,Kufburn AT Syrup
23,Kufburn DX Syrup
24,Kufburn LA Syrup
25,Kufcirup Suspension
26,Kufcirup Syrup
27,Kufdoz -DX Syrup
28,Kufdoz -DX Syrup
29,Kufdoz Baby Suspension
30,Kufdoz Syrup
31,Kufdoz Syrup
32,Kufdoz-BR Cough Syrup
33,Kufdoz-BR Cough Syrup
34,Kufdoz-Q Tablet
35,Kuff Q NF Tablet
36,Kuff Q Syrup
37,Kuff Q Syrup
38,Kuff Q Tablet
39,Kuff X AP Syrup
40,Kuff X Tablet
41,Kuff-D Syrup
42,Kuff-D Syrup
43,Kuffcare BR Syrup
44,Kuffcare-DX Syrup
45,Kuffdac Syrup
46,Kuffdac Syrup
47,Kuffdac-C Syrup
48,Kuffdryl 25mg Tablet
49,Kuffgon-PH Syrup
50,Kuffken BM Syrup
51,Kuffken-AM Syrup
52,Kuffken-DX Syrup
53,Kuffken-LS Syrup
54,Kuffrest Tablet
55,Kuffvoiz AX Syrup
56,Kuffvoiz DX Syrup
57,Kuffvoiz-L Syrup
58,Kuffzer A Syrup
59,Kuffzer B Syrup
60,Kuffzer D Syrup
61,Kufgen-X Syrup
62,Kufget AB Syrup
63,Kufget BR Syrup
64,Kufget D Syrup
65,Kufkair P Capsule
66,Kufkon AM Syrup
67,Kufkon LS Syrup
68,Kufkum Syrup
69,Kuflance-A Syrup
70,Kuflance-D Syrup
71,Kuflance-L Syrup
72,Kuflap AB Syrup
73,Kuflap BR Syrup
74,Kuflap D Syrup
75,Kufles-AM Syrup
76,Kuflex Plus Syrup
77,Kuflex Syrup
78,Kuflite P Syrup
79,Kuflite Syrup
80,Kufma CR Syrup
81,Kufma DR Syrup
82,Kufma Junior Cough Relief Syrup Bubblegum
83,Kufma Junior Cough Syrup
84,Kufma Plus Cough Relief Syrup Litchi
85,Kufma Syrup
86,Kufmaze L Syrup
87,Kufmip-B Syrup
88,Kufmon X Syrup
89,Kufmon-DX Syrup Raspberry Sugar Free
90,Kufnas-BM Syrup
91,Kufnas-D Syrup
92,Kufnas-L Syrup
93,Kufnas-S Syrup
94,Kufnil-A Syrup
95,Kufnil-A Syrup
96,Kufnil-D Syrup
97,Kufnil-D Syrup
98,Kufnil-DX Syrup
99,Kufnil-LS Syrup
100,Kufnork 30mg/2mg/500mg/5mg Tablet
101,Kufpel D Syrup
102,Kufpel LS Syrup
103,Kufphy DX Syrup
104,Kufphy-AM Syrup Sugar Free
105,Kufphy-LS Syrup
106,Kufquit LS Syrup
107,Kufquit M Syrup
108,Kufrest Syrup
109,Kufrest T Syrup
110,Kufrex Syrup
111,Kufrid Dmr Tablet
112,Kufrid Syrup
113,Kufril 15 mg/50 mg/1 mg Drop
114,Kufril A Drop
115,Kufril D Junior Syrup
116,Kufril D Syrup
117,Kufril LS Drop
118,Kufril LS Plus Expectorant
119,Kufril LS Syrup
120,Kufril Syrup
121,Kufril Syrup
122,Kufril-SF Syrup
123,Kufris AM Syrup
124,Kufris DX Syrup
125,Kufris LS Syrup
126,Kufsafe LS Oral Drops
127,Kufsafe-A Syrup
128,Kufsafe-D Syrup
129,Kufsafe-LS Syrup
130,Kufscreen AM Syrup
131,Kufscreen BR Syrup
132,Kufscreen D Syrup
133,Kufsib A Syrup
134,Kufsib B Syrup
135,Kufsib-D Syrup
