,items
0,lanzee 30mg Capsule
1,LA Clav 625 Tablet
2,LA Mika 250mg Injection
3,LA Mika 500mg Injection
4,LA-Bis Tablet
5,LA-Cuff Syrup
6,LABCHLOR 1GM INJECTION
7,LABETOLOL 100MG TABLET
8,LABIL 100 MG TABLET
9,LACASA 100 MG TABLET
10,LACASA 150 MG TABLET
11,LACASA 50 MG TABLET
12,LACOSURE 100 MG TABLET
13,LACOSURE 50 MG TABLET
14,LACRISAN EYE DROP
15,LAFTER 10 TABLET
16,LAFUDAC 5 MG TABLET
17,LAKZATIV GRANULES
18,LAMOSYN OD 100 MG TABLET
19,LAMOSYN OD 200 MG TABLET
20,LAMOSYN OD 50 MG TABLET
21,LAN 15 Capsule
22,LAN 30 Capsule
23,LANSEC 30 MG CAPSULE
24,LARPRIM DS TABLET
25,LASIRIDE 40MG/5MG TABLET
26,LAXICON TABLET
27,La Cal Suspension
28,La-Itra 100mg Capsule
29,La-Itra 200mg Capsule
30,La-Itra 200mg Capsule
31,Laa 100mg Capsule
32,Laa LB Capsule
33,Laax 10mg Tablet
34,Laax Syrup
35,Lab 100mg Tablet
36,Lab 5mg/1ml Injection
37,Labace 100mg Tablet
38,Labace-P 100mg/325mg Tablet
39,Labace-SP Tablet
40,Labaneb Respules (2ml Each)
41,Labanzo 400mg Tablet
42,Labanzo L 400mg/150mg Tablet
43,Labanzo-I Forte 12mg/400mg Tablet
44,Labchlor 250mg Capsule
45,Labchlor 500mg Capsule
46,Labcyp T Syrup
47,Labdic 50 mg/500 mg/4 mg Tablet
48,Labdic Relief Tablet
49,Labebet 100mg Injection
50,Labebet 100mg Tablet
51,Labebet 50mg Tablet
52,Labebet Injection
53,Labecor 100mg Tablet
54,Labekind 100mg Tablet
55,Labelix 100mg Tablet
56,Labepure 20mg Injection
57,Labeta 50mg Tablet
58,Labeta 5mg Injection
59,Labeta Injection
60,Labetab 100mg Tablet
61,Labetab 20mg Injection
62,Labetag 100mg Tablet
63,Labetal 20mg Injection
64,Labetamac Tablet
65,Labetide 0.05% Ointment
66,Labetol Injection
67,Labetol Tablet
68,Labetol Tablet
69,Labetroy 20mg Injection
70,Labfix 50mg Dry Syrup
71,Labfix LB 200mg Tablet
72,Labfix O 200mg/200mg Tablet
73,Labfix OZ 200mg/500mg Tablet
74,Labgest 100mg Capsule
75,Labgest 100mg Injection
76,Labgest 200mg Injection
77,Labgest 200mg Soft Gelatin Capsule
78,Labgest 200mg Soft Gelatin Capsule
79,Labhist 16mg Tablet
80,Labicillin 500mg Injection
81,Labikacin 100mg Injection
82,Labikacin 500mg Injection
83,Labil 20mg Injection
84,Labirex 40mg Tablet SR
85,Labizone Injection
86,Lablin 100mg Tablet
87,Lablol 100mg Injection
88,Lablol 100mg Tablet
89,Lablol 20mg Injection
90,Labmox 100mg Drop
91,Labmox 125mg Dry Syrup
92,Labmox 125mg Syrup
93,Labmox 125mg Tablet
94,Labmox 250mg Capsule
95,Labmox 500 Capsule
96,Labocef 100mg Tablet DT
97,Labocef 200mg Tablet DT
98,Labocef CV 200 mg/125 mg Tablet
99,Labocof 4mg/4mg/50mg/5mg/450mg Tablet
100,Labocof Syrup
101,Labocort 100mg Injection
102,Laboderm-OC Cream
103,Labosol gm Cream
104,Labpan 40 Injection
105,Labpan 40 Tablet
106,Labpan-D Tablet
107,Labrab 20 Tablet
108,Labrab 20mg Injection
109,Labrab IT 20mg/150mg Capsule
110,Labrab-DSR Capsule
111,Labtocin 5IU Injection
112,Labxone 1gm Injection
113,Labxone 250mg Injection
114,Labxone-SB 1gm/0.5gm Injection
115,Labze 1000mg Injection
116,Labze 250mg Injection
117,Labze 250mg Tablet
118,Labze S 1000mg/500mg Injection
119,Labzol 20mg Capsule
120,Labzol 20mg Capsule
121,Lac Soft C Gel
122,Lac Syrup
