,items
0,livlo 500mg Tablet
1,LI 300mg Tablet
2,LI SR Tablet
3,LIBERTA 0.5 MG TABLET
4,LIC 5mg Tablet
5,LIDO PATCH
6,LIFE 5000 IU INJECTION
7,LIFODEP PLUS TABLET
8,LINAXON 500 MG TABLET
9,LINAXON 500 MG TABLET
10,LINCOX 90MG TABLET
11,LIPICALM EZ TABLET
12,LIPIFAST 10 MG TABLET
13,LIPIKIND AM 5 MG/10 MG TABLET
14,LISALT 250MG TABLET
15,LIV-CET 5 Tablet
16,LIVIG B 100 IU INJECTION
17,LIZ 80 MG TABLET
18,LIZ 80 MG TABLET
19,LIZOKEF OD TABLET
20,Li-Dof 5mg Tablet
21,Liam 0.25mg Tablet
22,Liam 0.5mg Tablet
23,Liancet 10mg Tablet
24,Liancet MT 5mg/10mg Tablet
25,Liapro 40mg Tablet SR
26,Liator 10 Tablet
27,Liator-CV Capsule
28,Liaz 5mg Tablet
29,Liaz-M Tablet
30,Libacef 125mg Oral Suspension
31,Libadex 100mg Tablet
32,Libadex 50mg Suspension
33,Libadrox 250mg Capsule
34,Libadrox 250mg Capsule
35,Libadrox 250mg Dry Syrup
36,Libamox 250mg Capsule
37,Libamox 500mg Tablet
38,Liberache 100mg/325mg Tablet
39,Liberache MR 100mg/325mg/250mg Tablet
40,Liberta 0.25mg Tablet
41,Liberta 1mg Tablet
42,Libitus  Syrup
43,Libitus  Syrup
44,Libitus LS Syrup
45,Libitus LS Syrup
46,Libitus Plus Syrup
47,Libitus Plus Syrup
48,Libiz 5mg Tablet
49,Libiz M 5mg/500mg Tablet
50,Libnam 5 mg/2.5 mg Tablet
51,Libocalm 1 mg/10 mg Tablet
52,Libomin Tablet
53,Libopil 5 mg/2.5 mg Tablet
54,Libotryp 12.5 mg/5 mg Tablet
55,Libotryp DS 25 mg/10 mg Tablet
56,Libotryp XL 25 Tablet
57,Libra M 5mg/10mg Tablet
58,Libral 12.5 mg/5 mg Tablet
59,Libral Kid Tablet
60,Librate 10mg Tablet
61,Librate 25mg Tablet
62,Libratex Tablet
63,Librax 5 mg/2.5 mg Tablet
64,Librel 10mg Tablet
65,Librin-C 5mg/2.5mg Tablet
66,Librium 10 Tablet
67,Librium 10 Tablet
68,Librium 25 Tablet
69,Librocan 10mg/1mg Tablet
70,Librodep 12.5mg/5mg Tablet
71,Librolent Tablet
72,Libropar 10mg/1mg Tablet
73,Librosar 10mg/1mg Tablet
74,Libroscan Tablet
75,Librose D 2.5mg/5mg/10mg Tablet
76,Librospas 5mg/12.5mg Tablet
77,Librosym 10mg/1mg Tablet
78,Librotop 10mg/1mg Tablet
79,Libset Tablet
80,Libure 135mg Tablet
81,Libzide 5mg/2.5mg Tablet
82,Licab Tablet
83,Licab XL Tablet
84,Licar 400mg Tablet PR
85,Licard 5mg/5mg Capsule
86,Licaspar 200mg Tablet
87,Licaspar 200mg Tablet
88,Licatus Syrup
89,Licehept Syrup
90,Licekuf-AM Syrup Sugar Free
91,Licekuf-DX Syrup
92,Licekuf-LS Syrup
93,Licenil 5% Lotion
94,Licenil 5% Soap
95,Licerid 1% Soap
96,Licexim 250mg Tablet
97,Licexim 500mg Tablet
98,Licezid 600 Tablet
99,Licezid 600 Tablet
100,Licezon 1gm Injection
101,Licezon 1gm Injection
102,Licezon 250 Injection
103,Licezon 500 Injection
104,Licezon-S 375 Injection
105,Licezon-TZ 1.125 Injection
106,Licit 5mg Tablet
107,Licit D Tablet
108,Liclav 500mg/125mg Tablet
109,Licocef 750mg Injection
110,Licofer 100 Injection
111,Licolate 0.2mg Injection
112,Licolin 1% Cream
113,Licomine Syrup
114,Licomol Plus Tablet
115,Licomox 1000mg/200mg Injection
116,Licomox 500mg/125mg Tablet
117,Licomox Syrup
118,Liconpride Cream
119,Licopin 5mg Tablet
120,Licopin BP 5mg/50mg Tablet
121,Licopin LT 50mg/5mg Tablet
122,Licopin-CR Cream
123,Licort 6mg Tablet
124,Licosar 50mg Tablet
125,Licoscott cm Syrup
126,Licotar 100 Tablet
127,Licotar 50 Tablet
128,Licotop 40 Injection
129,Licotop 40 Tablet
130,Licotop DM 10mg/40mg Tablet
131,Licotop-DSR Capsule
132,Licox 500mg/125mg Tablet
133,Licox Dry Syrup
134,Licozac Cream
135,Licozac Cream
136,Licozac Lotion
137,Licozine 5mg Tablet
138,Licozine-M Syrup
139,Licozine-M Tablet
140,Lictum A Syrup
141,Liczet 5mg Tablet
142,Liczet M 5mg/10mg Tablet
143,Liczide 80mg Tablet
144,Liczide M 80mg/500mg Tablet SR
145,Lidamol 100mg/500mg Tablet
146,Lidayn Topical Mint
147,Lide 100mg Tablet
