,items
0,LP Capsule
1,LP-Mox Eye Drop
2,LPC Syrup
3,LPC Tablet
4,LPC Tablet
5,LPS 100 Injection
6,LPS 100 Soft Gelatin Capsule
7,LPS 400 Soft Gelatin Capsule
8,LPS SR 200 Tablet
9,LPS SR 300 Tablet
10,LPS SR 300 Tablet
11,Lp Fast 5mg Tablet MD
12,Lp Fast M 5mg/10mg Tablet
13,Lpanto 40mg Tablet
14,Lpcare 50mg Tablet
15,Lpcare H 50mg/12.5mg Tablet
16,Lpill M Tablet
17,Lpine Tablet
18,Lpose 0.25mg/20mg Tablet
19,Lpose 0.25mg/20mg Tablet
20,Lpp Plus Tablet
21,Lpril 10mg Tablet
22,Lpril 2.5mg Tablet
23,Lpril 5mg Tablet
24,Lprime 10mg Tablet
25,Lps 50mg Tablet
26,Lps Plus 50mg/12.5mg Tablet
27,Lpz Capsule
