,items
0,LYOBLE INJECTION
1,LYOPRED 500MG INJECTION
2,Lyca 200mg Tablet
3,Lyca 400mg Tablet
4,Lycalamine Lotion
5,Lycalm 0.5mg Tablet
6,Lycazid Tablet
7,Lycazid-M Tablet
8,Lycee Plus 100mg/500mg Tablet
9,Lycee-TH 100mg/8mg Tablet
10,Lycef 50mg Dry Syrup
11,Lycef 50mg Tablet DT
12,Lycefenac Tablet
13,Lyceft 1000mg Injection
14,Lyceft 250mg Injection
15,Lyceft 500mg Injection
16,Lyceft O 100mg Tablet
17,Lyceft O 200mg Tablet
18,Lyceft O 50mg Syrup
19,Lyceft Plus 1000 mg/500 mg Injection
20,Lyceft Plus 250mg/125mg Injection
21,Lycegab-NT Tablet
22,Lycet 10mg Tablet
23,Lycet 5mg Tablet
24,Lycin 125mg Syrup
25,Lycin 250mg Capsule
26,Lycin 500mg Capsule
27,Lycin Injection
28,Lycipep Syrup
29,Lycit 5mg Tablet
30,Lycit A 5mg/50mg Tablet
31,Lycit A Syrup
32,Lycit-AM Tablet SR
33,Lycit-M Kid Tablet
34,Lycit-M Kid Tablet
35,Lycit-M Syrup
36,Lycit-M Syrup
37,Lycit-M Syrup
38,Lycit-M Tablet
39,Lycitra MK Syrup
40,Lycitra Tablet
41,Lycitra-AX Tablet SR
42,Lycitra-MK Tablet
43,Lyclav 500mg/125mg Tablet
44,Lyclor 250mg Tablet
45,Lycobal 1500mcg Injection
46,Lycobal Injection
47,Lycobold Capsule
48,Lycocin 100mg Injection
49,Lycocin 500mg Injection
50,Lycodec 5000mcg Capsule
51,Lycolate 0.2mg Injection
52,Lycomerve Capsule
53,Lycomerve P 750mcg/75mg Capsule
54,Lycomet PG 2mg/500mg/15mg Tablet
55,Lycoplan 200mg Injection
56,Lycor 1% Cream
57,Lycortin S Injection
58,Lycxim 100mg Tablet DT
59,Lycxim 200mg Tablet
60,Lycyp Syrup
61,Lydeex 10 Tablet
62,Lydem 100mg Tablet DT
63,Lydem 200mg Tablet
64,Lydia Tablet
65,Lydic 75mg Injection
66,Lydic 75mg Injection
67,Lydin 150mg Tablet
68,Lyfenac-P 100mg/325mg Tablet
69,Lyfenac-SP Tablet
70,Lyfer Tablet
71,Lyfipime SB Injection
72,Lyflox 200mg Tablet
73,Lyflox A 60mg/400mg Tablet
74,Lyflox O Tablet
75,Lyfn T 100mg/4mg Tablet
76,Lyfokast 10mg/120mg Tablet
77,Lyfon TZ 1000mg/125mg Injection
78,Lyfon-SB 1gm Injection
79,Lyfon-SB+ Injection
80,Lyforan Plus 1000 mg/500 mg Injection
81,Lyfur 250 Tablet DT
82,Lyfur 500 Tablet DT
83,Lyfur Dry Syrup
84,Lyfur-CV 625 Tablet
85,Lygel-O Suspension
86,Lyglim-MF 1mg/500mg Tablet
87,Lyglim-MF 2mg/500mg Tablet
88,Lyglim-VM 2mg/500mg/0.2mg Tablet
89,Lyglim-VM 2mg/500mg/0.2mg Tablet
90,Lyglim-VM Tablet
91,Lykuf-D Syrup
92,Lyma 35mg Suspension
93,Lyma 70mg Tablet
94,Lymcin 600mg Injection
95,Lymed Tablet
96,Lymed-D Tablet
97,Lymen 408mg Capsule
98,Lymesure 408mg Capsule
99,Lymfuda 10mg Tablet
100,Lymol Suspension
101,Lymonk CV 375mg Tablet
102,Lymonk CV 500mg/125mg Tablet
103,Lymonk CV Dry Syrup
104,Lymoribe Capsule
105,Lymoz 25mg Tablet DT
106,Lymoz 50mg Tablet DT
107,Lymoz OD 100mg Tablet
108,Lymphoglobulin 100mg Injection
109,Lymphtor 100mg Injection
110,Lymzit 408mg Capsule
111,Lyna Tablet
112,Lynabutol 1000mg Tablet
113,Lynabutol 800mg Tablet
114,Lynabutol Plus Tablet
115,Lynace MR 100mg/325mg/250mg Tablet
116,Lynace P 100mg/325mg Tablet
117,Lynace P Syrup
118,Lynace P Syrup
119,Lynacox 450 mg/300 mg Tablet
120,Lynacox 4H 450mg/300mg Tablet
121,Lynacox Kid   100 mg/50 mg Tablet
122,Lynacox Tablet DT
123,Lynacox ZH 225 mg/150 mg/750 mg Tablet
124,Lyncet 5mg Syrup
125,Lyncet 5mg Tablet
126,Lyncet 5mg Tablet
127,Lyncet Cold 5mg/5mg/325mg Tablet
128,Lyncet Syrup
129,Lynem-P Tablet
130,Lynem-P Tablet
131,Lynerve PG 750mcg/75mg Capsule
132,Lynic-D 50mg/10mg Tablet
133,Lynim P 100mg/325mg Tablet
134,Lynocold DS Oral Suspension
135,Lynocold Oral Suspension
136,Lynocold Tablet
137,Lynomarc CX Tablet
138,Lynomarc Tablet
139,Lynor 600 Tablet
140,Lynor C 200mg/600mg Tablet
141,Lynoral 0.01 Tablet
142,Lynoral 0.05mg Tablet
143,Lynoral 1mg Tablet
144,Lynorest-BR Syrup
145,Lynorest-DC Syrup
146,Lynosis DS 1000mg Tablet
147,Lynx 250 Capsule
148,Lynx 500 Capsule
149,Lynx Active Gel
150,Lynx Injection
151,Lynx Injection
152,Lynx Suspension
153,Lynzax 600mg Tablet
154,Lynzen D Tablet
155,Lynzie 100mg Syrup
156,Lynzie 600mg Tablet
157,Lynzoflam P 100mg/325mg Tablet
158,Lynzoflam Tablet
159,Lynzole 150mg Tablet
160,Lyo 20mg Tablet
161,Lyoff-OZ 200mg/500mg Tablet
162,Lyom 40mg Injection
163,Lyomit 10mg Injection
164,Lyopred 1000mg Injection
165,Lyortam 1gm Injection
166,Lyotaz 2000 mg/250 mg Injection
167,Lyotaz 4000 mg/500 mg Injection
168,Lyotec-LC 5mg/10mg Tablet
169,Lyotec-LC Suspension
170,Lypan 40mg Injection
171,Lypep-DSR Capsule
172,Lypestar 500mg Tablet
173,Lypex SB 500 mg/500 mg Injection
174,Lypex SB Injection
175,Lypex TZ Injection
176,Lypgen 20 Tablet
177,Lyphe 1gm Injection
178,Lyphidox 10 Injection
179,Lyphidox 50mg Injection
180,Lypin 10mg Tablet
181,Lypin 5mg Tablet
182,Lypitaz 2000 mg/250 mg Injection
183,Lypitaz 4000 mg/500 mg Injection
184,Lypod 200mg Tablet
185,Lypod 50mg Syrup
186,Lypod CV Syrup
187,Lypol 650mg Tablet
188,Lypoper 2mg Capsule
189,Lyrab 20mg Injection
190,Lyrab 20mg Tablet
191,Lyrab D Tablet
192,Lyramycin 0.3% Eye Drop
193,Lyramycin 40mg Injection
194,Lyramycin Cream
195,Lyrenol 5mg Tablet
196,Lyrex-AM Syrup
197,Lyrex-D Syrup
198,Lyrica 150mg Capsule
199,Lyrica 75mg Capsule
200,Lyricare-GM Tablet
201,Lyriful 1% Cream
202,Lyrin B Syrup
203,Lyritril 75mg/10mg Tablet
204,Lyrolin Tablet
205,Lyrom 400mg Tablet SR
206,Lyrom 450mg Tablet SR
207,Lyrovir 200mg Tablet
208,Lysatone Plus Syrup Sugar Free
209,Lysenze-D Tablet
210,Lyser 20mg Tablet
211,Lyser 5mg Tablet
212,Lyser D AQ Injection
213,Lyser D Nanotech Gel
214,Lyser D Tablet
215,Lyser D Tablet
216,Lyser DP Tablet
217,Lyser Forte Tablet
218,Lyser-AP Tablet
219,Lysera-AP Tablet
220,Lysibay 50mg Tablet
221,Lysiprin 500 Tablet
222,Lyso Spas Tablet
223,Lysoflam 25mg Injection
224,Lysoflam AQ 75mg Injection
225,Lysoflam Dig 25mg Injection
226,Lysoflam Forte 100000AU Tablet
227,Lysoflam Gel
228,Lysoflam Tablet
229,Lysoflam-MR Tablet
230,Lysonac Asp 100mg/325mg/15mg Tablet
231,Lystar 2500 mcg Injection
232,Lysunate 50mg Tablet
233,Lysunate 60mg Injection
234,Lytazole 2% Cream
235,Lytedox LB Tablet
236,Lytedox Tablet
237,Lytel 40mg Tablet
238,Lytel-H 40mg/12.5mg Tablet
239,Lytic 10mg Tablet
240,Lytic 20mg Tablet
241,Lytic 5mg Tablet
242,Lytic A Tablet
243,Lytic K Plus Tablet
244,Lytic K Tablet
245,Lytic N Tablet
246,Lytic PD Tablet
247,Lytix 10mg Tablet
248,Lytix 2.5mg Tablet
249,Lytix 20mg Tablet
250,Lytix 5mg Tablet
251,Lytix D 50 mg/10 mg Tablet
252,Lytix D Gel
253,Lytix DP 10 mg/15 mg Tablet
254,Lytix RX Tablet
255,Lytob 0.3% Eye Drop
256,Lytob F Eye Drop
257,Lytocet 5mg Tablet
258,Lytocet M 5mg/10mg Tablet
259,Lytonol Eye Drop
260,Lytophen 200mg Tablet SR
261,Lytophen P 100mg/325mg Tablet
262,Lytophen Plus 200mg/325mg/15mg Tablet
263,Lytophen TH 60mg/4mg Tablet
264,Lytra P 37.5mg/325mg Tablet
265,Lytrol 2.5mg Tablet
266,Lytron 250mg Injection
