,items
0,MC Cold Plus Syrup
1,MC Cold Plus Tablet
2,MC Gel Eye Ointment
3,MC Plus 100mg/325mg Tablet
4,MC Plus Syrup
5,MC Tron 4mg Injection
6,MCB Forte Injection
7,MCBM Injection
8,MCM Eye Drop
9,MCM Gel Eye Drop
10,MCM-LV Eye Drop
11,MCZ DM 15mg/20mg Tablet
12,MCaxe 250mg Tablet
13,Mc Pam 0.5mg Tablet
14,Mcalm 0.25mg Tablet
15,Mcalm 0.5mg/25mg Tablet
16,Mcalm Forte 0.5mg/50mg Tablet
17,Mcb-GM Capsule
18,Mcbro 100mg Capsule
19,Mcbro 200mg Tablet SR
20,Mcef 100mg Dry Syrup
21,Mcef 100mg Tablet
22,Mcef 100mg Tablet
23,Mcef 200 Tablet
24,Mcef 200mg Tablet DT
25,Mcef 50 Dry Syrup
26,Mcef CV 200mg/125mg Tablet
27,Mcef LB 200mg Tablet
28,Mcef-O Tablet
29,Mcenate 60mg Injection
30,Mcet 10mg Tablet
31,Mcet 10mg Tablet
32,Mcet Plus 10mg/60mg Tablet
33,Mcet Syrup
34,Mcflox OZ 200mg/500mg Tablet
35,Mci 100mg Injection
36,Mci 100mg Injection
37,Mci 250mg Injection
38,Mci 500mg Injection
39,Mcian Ointment
40,Mcid-D Capsule
41,Mcin 150mg Tablet
42,Mcin 300mg Tablet
43,Mcinex 450 mg/300 mg Capsule
44,Mcip 250mg Tablet
45,Mcip 250mg Tablet
46,Mcitron Syrup
47,Mcix 100mg Tablet
48,Mcix 100mg Tablet
49,Mcix 200mg Tablet
50,Mcix 50mg Syrup
51,Mcix AZ 200mg/250mg Tablet
52,Mcix LB 200mg Tablet DT
53,Mcix LB 200mg Tablet DT
54,Mcix O 200mg/200mg Tablet
55,Mcix O 200mg/200mg Tablet
56,Mcix O Syrup
57,Mck 500mg Injection
58,Mck E 125mg Injection
59,Mck E 250mg Tablet
60,Mck E 500mg Tablet
61,Mck M Plus 500 mg/250 mg Tablet
62,Mclan 30mg Capsule
63,Mclazide 30mg Tablet MR
64,Mclazide 80 Tablet
65,Mclazide 80 Tablet
66,Mclazide-M 60 XR Tablet
67,Mclazide-M Tablet
68,Mclazide-MR 60 Tablet
69,Mclin 100mg Tablet
70,Mclin 50mg Tablet
71,Mclo Penem 500mg/500mg Injection
72,Mclo Pred 1000mg Injection
73,Mclop 1500mcg/75mg Tablet
74,Mclop 1500mcg/75mg Tablet
75,Mclox 125mg/125mg Injection
76,Mclox-Plus LB Capsule
77,Mcob 750mcg/75mg Capsule
78,Mcobafisch Plus Injection
79,Mcof Plus Syrup
80,Mcof-LS Syrup
81,Mcof-TR Syrup
82,Mcof-TR Syrup
83,Mcold Plus Tablet
84,Mcolvin NT 75mg/10mg Tablet
85,Mcolvin-PG Capsule
86,Mcort 30mg Tablet
87,Mcort 6mg Oral Suspension
88,Mcort 6mg Tablet
89,Mcosvir 75mg Capsule
90,Mcosvir Syrup
91,Mcot 125mg Injection
92,Mcot 4mg Tablet
93,Mcot 8mg Tablet
94,Mcot N Cream
95,Mcovit P 750mcg/75mg Capsule
96,Mcpcold Syrup
97,Mcpenem-C Injection
98,Mcqs 200mg Tablet
99,Mcreb-D Capsule SR
100,Mcreb-D Capsule SR
101,Mcrofy 1% Gel
102,Mcrofy 12.5mg Tablet
103,Mcrofy 25mg Suspension
104,Mcrofy 50mg Tablet
105,Mcrofy 50mg Tablet
106,Mcrotel 20mg Tablet
107,Mcrotel 40mg Tablet
108,Mcrotel 80mg Tablet
109,Mcrotel 80mg Tablet
110,Mcrotel AM 80mg/5mg Tablet
111,Mcrotel CT 80mg/12.5mg Tablet
112,Mcrotel M 40mg/25mg Tablet
113,Mcstat 150mg Tablet
114,Mct Rof Injection
115,Mctiz 5mg Tablet MD
116,Mctrol 1000mg Tablet SR
117,Mctrol 500mg Tablet SR
118,Mcv DS Suspension
119,Mcv Tablet
120,Mcyl Tablet
121,Mcyl Tablet
122,Mcz 25 mg Tablet
