,items
0,MF 1000mg Tablet SR
1,MF 250mg Capsule
2,MF 500 Tablet
3,MF 850 Tablet
4,MF Amwisal Ointment
5,MF Con 200mg Tablet
6,MF Cure 0.1% Cream
7,MF Eye Drop
8,MF Gesic 100mg Suspension
9,MF-Con 150 Tablet
10,MF-Phin Lotion
11,MFC Eye Drop
12,MFC Eye Ointment
13,MFC-LT Eye Drop
14,MFORTAN D TABLET
15,MFORTAN D TABLET
16,Mfal AB 150mg Injection
17,Mfal AT 60mg Injection
18,Mfc D Eye Drop
19,Mfc K Eye Drop
20,Mfed 0.5% Eye Drop
21,Mfenexa-P Oral Suspension
22,Mfenl Spas 10mg/250mg Tablet
23,Mfix 100mg Tablet DT
24,Mfix 50mg Oral Suspension
25,Mfkare 200mg Tablet
26,Mfl DX Eye Drop
27,Mflocid 250mg Tablet
28,Mflocid Forte 500mg/325mg Tablet
29,Mflocid P Oral Suspension
30,Mflotas D Eye Drop
31,Mflotas DX Eye Drop
32,Mflotas Eye Drop
33,Mflotas KT Eye Drop
34,Mflotas LP Eye Drop
35,Mflox 200mg Tablet
36,Mflox 400mg Tablet
37,Mflox O 200mg/500mg Tablet
38,Mflox OZ H 100mg/250mg Tablet
39,Mflox Suspension
40,Mflox-OZ Tablet
41,Mfni-Spas Tablet
42,Mfor 500mg Tablet SR
43,Mfphin 1% Cream
44,Mfresh Tablet
45,Mfsone Cream
46,Mfsudif Cream
47,Mft 200mg/200mcg Kit
48,Mft Spas 10mg/250mg Tablet
49,Mfti Spas 20mg/125mg Tablet
50,Mfurate  Cream
51,Mfurate HQ Cream
52,Mfx 0.5% Eye Drop
