,items
0,MI 50mg Tablet
1,MI Tax 250mg Injection
2,MI Tax 500mg Injection
3,MI Tax 500mg Injection
4,MI Tranex 500mg Tablet
5,MI Zole 200mg Capsule
6,MIBOR 2MG INJECTION
7,MICROGEST 100 MG INJECTION
8,MICROGEST 100 MG INJECTION
9,MIF Ointment
10,MIFEGEST 200 MG TABLET
11,MIFEGEST KIT TABLET
12,MILBORN 50MG CAPSULE
13,MINOFALL 2% SOLUTION
14,MINOFALL 2% SOLUTION
15,MINOFALL 5% SOLUTION
16,MINOFALL FORTE 5% SOLUTION
17,MINTOP 2% FOAM
18,MIPROGEN 100 MG INJECTION
19,MIPROGEN 100 MG INJECTION
20,MIZHRA 15 MG TABLET
21,MIkazen 500mg Injection
22,MIkcin 100mg Injection
23,MIkcin 500mg Injection
24,Miacalcic Nasal 200
25,Miagra 50mg Tablet
26,Miamin-X Injection
27,Miap 100mg/325mg Tablet
28,Mibcal Soft Gelatin Capsule
29,Mibe 10mg Tablet
30,Mibelium 10mg Tablet
31,Mibelium-Plus Tablet SR
32,Miben 1mg Injection
33,Mibeta 10 Tablet
34,Mibeta 20mg Tablet
35,Mibeta SR 40 Tablet
36,Mibeta SR 40 Tablet
37,Mibeta SR 80 Tablet
38,Mibeta SR 80 Tablet
39,Mibeta-Plus 10 Tablet SR
40,Mibeta-Plus 5 Tablet SR
41,Mibs 5mg/2.5mg Tablet
42,Mic 2.5mg Tablet
43,Mic 2.5mg Tablet
44,Mic 5mg Tablet
45,Mic 5mg Tablet
46,Mic Sef 500mg Tablet
47,Mica 250mg Injection
48,Mica 500mg Injection
49,Mica-AL Softgel Capsule
50,Micabac 500mg Injection
51,Micabal Injection
52,Micabal Plus Injection
53,Micacit 500 Injection
54,Micafung Plus 100mg Injection
55,Micafung Plus Injection
56,Micanfa 50mg Injection
57,Micardis 40mg Tablet
58,Micardis Plus 40mg/12.5mg Tablet
59,Micardis Plus 80mg/12.5mg Tablet
60,Micartel 40mg Tablet
61,Micartel 40mg Tablet
62,Micasan 500mg Injection
63,Micascin Cream
64,Micast-F Tablet
65,Micasulf 2% Cream
66,Micavin 100mg Injection
67,Micawell 500mg Injection
68,Micazar 50mg Injection
69,Micdic 10mg/250mg Tablet
70,Micdic 10mg/250mg Tablet
71,Micedge 50mg Injection
72,Micef O 50mg Syrup
73,Micef O CV 200mg/125mg Tablet
74,Micef O Plus 200 mg/200 mg Capsule
75,Micef O Plus Dry Syrup
76,Micef TZ 1000mg/125mg Injection
77,Micef TZ 200mg/81.5mg Injection
78,Micef TZ 500mg/62.5mg Injection
79,Micef-O 200 Tablet
80,Micef-O Kid 50mg Tablet
81,Micelum Ndd Injection
82,Micfen P Syrup
83,Micfen P Syrup
84,Micfox 100mg Dry Syrup
85,Micfox 100mg Tablet
86,Micfox 125mg Dry Syrup
87,Micfox 200mg Tablet
88,Micfox 50mg Dry Syrup
89,Micfox 50mg Dry Syrup
90,Micfox O 200mg/200mg Tablet
91,Michelle -SR 200 Tablet
92,Michelle -SR Tablet
93,Michelle 200mg Tablet
94,Michelle Vaginal gel
95,Michelle-AQ Injection 1ml
96,Michelle-SR 400 Tablet
97,Micid DSR Capsule
98,Micin 100mg Injection
99,Micin 250mg Injection
100,Micin 500mg Injection
101,Micin 500mg Injection
102,Micin Injection
103,Mickcef 200mg Tablet
104,Mickcef 50mg Syrup
105,Mickcef DT 100mg Tablet
106,Mickcet Air 5mg/10mg Tablet
107,Micknem 1000mg Injection
108,Micknem 500mg Injection
109,Micknerve PG 300mg/500mcg Tablet
110,Mickpred S 125mg Injection
111,Mickpred S 40mg Injection
112,Mickpred S 500mg Injection
113,Micky 4 mg Capsule
114,Micky 4 mg Capsule
115,Micky 8mg Capsule
116,Miclav 500mg/125mg Tablet
117,Miclofen Plus Tablet
118,Miclofen SP 100mg/500mg/15mg Tablet
119,Miclogenta Cream
120,Miclogenta Cream
121,Miclogenta N Cream
122,Micnum 200mg Injection
123,Micnum 500mg Injection
124,Mico-B 2.5mg Injection
125,Mico-G Tablet
126,Micoap 2% Ointment
127,Micobate-CN Cream
128,Micobrex 2% Gel
129,Micobrex F Cream
130,Micofee 400mg Tablet
131,Micofee 400mg Tablet
132,Micofit 250 Tablet
133,Micogel Cream
134,Micogel F Cream
135,Micogel F Ointment
136,Micogen Injection
137,Micogen-F Cream
138,Micogent Cream
139,Micogent Lotion
140,Micogest 200mg Soft Gelatin Capsule
141,Micogram Cream
142,Micolex-NT Tablet
143,Micolex-P Capsule
144,Micolin 0.05% Cream
145,Micolin NM 75mg/10mg/1500mcg Tablet
146,Micolin Plus Injection
147,Micolin Plus Injection
148,Micolin Plus Ointment
149,Micolix 1000mcg Injection
150,Micolix P 750mcg/75mg Capsule
151,Micolon CR Cream
152,Micon Ointment
153,Micona 50mg Infusion
154,Micona Cream
155,Micona F Cream
156,Miconaz 2% Gel
157,Miconel Gel
158,Miconit 2% Gel
159,Miconit C Cream
160,Miconya NT 75mg/10mg Tablet
161,Miconya PG 750mcg/75mg Capsule
162,Micorab R 200mg/20mg Capsule SR
163,Micoside 250mg Tablet
164,Micoside 500mg Tablet
165,Micoside Cream
166,Micoside TM Cream
167,Micosil-FC Cream
168,Micosoft 100mg Soft Gelatin Capsule
169,Micosoft 200mg Soft Gelatin Capsule
170,Micotin 1500mcg Injection
171,Micotin 1500mcg Injection
172,Micotis Cream
173,Micotune Cream
174,Micotune Cream
175,Micovib 2% Cream
176,Micovit PG 750mcg/75mg Capsule
177,Micowel 200 Softgel Capsule
178,Micowel 300-SR Softgel Capsule
179,Micowel 300-SR Softgel Capsule
180,Micowok FC Cream
181,Micozone-S 500mg/500mg Injection
182,Micozone-S 500mg/500mg Injection
183,Micpro 100mg Capsule
184,Micpro 100mg Injection
185,Micpro 200mg Capsule
186,Micpro 200mg Injection
187,Micrhogam UF 50mcg Injection
188,Microbact 250 Tablet
189,Microbact 250mg Tablet
190,Microbact 500 Tablet
191,Microbact 500 Tablet
192,Microbact Tablet
193,Microban Ointment
194,Microbid OZ Tablet
195,Microcap 500 Capsule
196,Microcef 100 Oral Suspension
197,Microcef 100mg Tablet DT
198,Microcef 200mg Tablet DT
199,Microcef 50 Dry Syrup
200,Microcef 50mg Tablet
201,Microcef CV 100mg/62.5mg Tablet DT
202,Microcef-CV 200 Tablet
203,Microcef-CV 50 Dry Syrup
204,Microcef-O Tablet
205,Microcef-O Tablet DT
206,Microcerin-GM Tablet
207,Microcetin 250mg Capsule
208,Microchem 100 Capsule
209,Microchem 200 Capsule
210,Microcid 75mg Capsule
211,Microcid Capsule
212,Microcid-SR Capsule
213,Microcip 250mg Tablet
214,Microcip 500mg Tablet
215,Microcip-TZ 500mg/600mg Tablet
216,Microcort  Tablet
217,Microdase 10mg Tablet
218,Microdase 20mg Tablet
219,Microdase D Tablet
220,Microdase DP Tablet
221,Microdep 2mg Tablet
222,Microdep 5mg Tablet
