,items
0,MT 4 Syrup
1,MT 4 Syrup
2,MT 50mg Tablet XL
3,MT Cort 6mg Tablet
4,MT Cort 6mg Tablet
5,MT Gest 250mg Injection
6,MT Gest 250mg Injection
7,MT Pill Tablet
8,MT-Coline 500 Injection
9,MT-Coline 500 Injection
10,MT-Pan DSR Capsule
11,MTHL 500mg Tablet
12,MTHL-DS 1000mg Tablet
13,MTnL Kid Syrup
14,MTnL Kid Tablet
15,MTnL Tablet
16,Mtaz Cream
17,Mtech Plus Tablet
18,Mtfx Tablet
19,Mth 16mg Tablet
20,Mth 4mg Tablet
21,Mth 8mg Tablet
22,Mtlev 5mg/10mg Tablet
23,Mtlev F 10mg/180mg Tablet
24,Mtonin 3mg Tablet
25,Mtp 15mg Tablet
26,Mtp 30mg Tablet
27,Mtp Kit
28,Mtprost Kit
29,Mtra F Cream
30,Mtrex 7.5mg Tablet
31,Mtrich T Syrup
32,Mtx 2.5mg Tablet
33,Mtx 5mg Tablet
34,Mtx 7.5mg Tablet
35,Mtz 15mg Tablet
36,Mtz 30mg Tablet
37,Mtz 7.5mg Tablet
