,items
0,NB Cloz Cream
1,NBP 2.5mg Tablet
2,Nbace-P 100mg/500mg Tablet
3,Nbal-AT 5mg/50mg Tablet
4,Nbcef Dry Syrup
5,Nbcid Oral Liquid
6,Nbcin 100mg Injection
7,Nbcin 100mg Injection
8,Nbcin 500mg Injection
9,Nbet 4mg Injection
10,Nbflam-P Tablet
11,Nbflam-SP Tablet
12,Nbgel MS Oral Suspension
13,Nbgesic 25mg Injection
14,Nbgesic K 50mg/500mg Tablet
15,Nbgesic K 50mg/500mg Tablet
16,Nbl 250mg/250mg Tablet
17,Nblcet 5mg Tablet
18,Nblcet Plus Tablet
19,Nblox 250mg Tablet
20,Nblox 500mg Tablet
21,Nbmox-DC 250mg/250mg Capsule
22,Nbmox-DC 250mg/250mg Capsule
23,Nbox-OZ 200mg/500mg Tablet
24,Nbox-OZ 200mg/500mg Tablet
25,Nbox-OZ Oral Suspension
26,Nbros 10mg Tablet
27,Nbros 20mg Tablet
28,Nbtel 40mg Tablet
29,Nbtel 40mg Tablet
30,Nbtel AM 40mg/5mg Tablet
31,Nbtel H 40mg/12.5mg Tablet
32,Nbtone Syrup
33,Nbworm 400mg Tablet
34,Nbworm Oral Suspension
35,Nbxone 1000mg Injection
