,items
0,nu Vypon T Syrup
1,nu-Vycin Dry Syrup
2,NU 650mg Tablet
3,NU Axiom 1000mg Injection
4,NU Axiom 250mg Injection
5,NU B12 500mcg Injection
6,NU D3 300000IU Injection
7,NU D3 6Lacunits Injection
8,NU ITZ 100mg Capsule
9,NU ITZ 200mg Capsule
10,NU-Itz 100 Capsule
11,NUFORCE V6 100 MG TABLET
12,NUHEPA TABLET
13,NUMLO R  TABLET 2.5 MG/2.5 MG
14,NUMLOPAR 5 MG TABLET
15,NUSAR AMH 50 MG/5 MG/12.5 MG TABLET
16,NUTAM FORTE 500 MG/1200 MG TABLET
17,Nu I Zol 10mg Tablet
18,Nu Ritz M 5mg/10mg Tablet
19,Nu Vermiq Tablet
20,Nu Vermiq Tablet
21,Nu-Roxim 500mg Tablet
22,Nuaid 100mg Tablet
23,Nualin 100mg/325mg Tablet
24,Nuanixt 0.5 mg/10 mg Tablet
25,Nuaps Dry Syrup
26,Nuart-L 80mg/480mg Tablet
27,Nuavomin 2mg Injection
28,Nuavomin 8mg Tablet MD
29,Nuazy 100mg Tablet DT
30,Nuazy 100mg Tablet DT
31,Nuazy 200mg/5ml Syrup
32,Nuazy 500mg Syrup
33,Nuazy 500mg Tablet
34,Nubact 1000mg/500mg Injection
35,Nubact 2gm/1gm Injection
36,Nubafex 200mg Tablet
37,Nubary-SR Tablet
38,Nubase Oral Gel
39,Nubase Suspension
40,Nubelium 10mg Tablet
41,Nubend 400mg Tablet
42,Nubend Oral Suspension
43,Nubeta 2.5 Tablet
44,Nubeta 5 Tablet
45,Nubeta AM 5mg/5mg Tablet
46,Nubeta SM Tablet
47,Nubeta-H Tablet
48,Nubimax 250mg Injection
49,Nublast 100mg Capsule
50,Nublast 20mg Capsule
51,Nublast 250mg Capsule
52,Nublexa Tablet
53,Nubolin 25mg Injection
54,Nubrain 1200mg Tablet
55,Nubrain 800mg Tablet
56,Nubrom Eye Drop
57,Nucalm 0.25mg Tablet
58,Nucalm 0.5mg Tablet
59,Nucalm Plus 5 mg/2 mg Tablet
60,Nucan 150mg Tablet
61,Nucan 200mg Tablet
62,Nucare 100mg Injection
63,Nucare 100mg Injection
64,Nucarnit 500 Tablet
65,Nucarnit Injection
66,Nucarnit Tablet
67,Nucarnit-F Tablet
68,Nucat 5mg Tablet
69,Nucef O 200mg/200mg Tablet
70,Nucell 75mg Tablet
71,Nucell-TX Cream
72,Nucell-TX Tablet
73,Nucerin 50mg Capsule
74,Nucet 5mg Tablet
75,Nucetam 400mg Tablet
76,Nucetex 1gm Injection
77,Nucetex O 200mg Tablet
78,Nucetex S 1000mg/500mg Injection
79,Nucetron 2mg/ml Injection
80,Nucetron 4mg Tablet MD
81,Nucez 5mg Tablet
82,Nucez MC 5mg/10mg Tablet
83,Nucez MC Kid 2.5mg/4mg Tablet
84,Nucez MC Syrup
85,Nucez Plus Tablet
86,Nuchek-M2 Tablet SR
87,Nucical D3 Soft Gelatin Capsule
88,Nucid  Tablet
89,Nucid 20mg Capsule
90,Nucid 20mg Tablet
91,Nucid 20mg Tablet
92,Nucid D 10mg/20mg Tablet
93,Nucid Mps Syrup Mint
94,Nucid O Syrup
95,Nucid Plus 100mg/350mg Tablet
96,Nucid-Gel Suspension
97,Nucigest 100mg Soft Gelatin Capsule
98,Nucigest 200mg Soft Gelatin Capsule
99,Nucip 250mg Tablet
100,Nucip 500mg Tablet
101,Nucipro 250mg Tablet
102,Nucipro Eye Drop
103,Nucipro Eye Drop
104,Nuclar 125mg Dry Syrup
105,Nuclar 125mg Tablet DT
106,Nuclar 250mg Tablet
107,Nuclear 100mg Tablet
108,Nuclear 200mg Tablet
109,Nuclear 50mg Tablet DT
110,Nuclear Dry Syrup
111,Nucloba 10 Tablet DT
112,Nucloba 5 Tablet DT
113,Nuclona 0.25mg Tablet
114,Nuclona 0.5mg Tablet
115,Nuclona-Plus Tablet
116,Nucloryl 500mg/5ml Syrup
117,Nuclovate B Cream
118,Nuclovir 400mg Tablet
119,Nuclovir 800mg Tablet
120,Nuclox 250mg/250mg Capsule
121,Nucob P 750mcg/75mg Capsule
122,Nucob P 750mcg/75mg Capsule
123,Nucobod 1500mcg Injection
124,Nucolate-Plus Tablet
125,Nucold Syrup
126,Nucomin 1500mcg Injection
127,Nucomin 1500mcg Injection
128,Nucomin 2500mcg Injection
129,Nucomin Forte Injection
130,Nucomin P 750mcg/75mg Capsule
131,Nucon 150mg Tablet
132,Nucon 150mg Tablet
133,Nuconazole 150mg Tablet
134,Nuconazole 150mg Tablet
135,Nucool Oral Gel
136,Nucool S 1000mg Suspension
137,Nucope 5mg Tablet
138,Nucope AD Tablet
139,Nucoril 10mg Tablet
140,Nucoril 5 Tablet
141,Nucoril OD 5mg Tablet
142,Nucort 0.5mg Drop
143,Nucort 20mg Tablet
144,Nucort 40mg Tablet
145,Nucort 5mg Tablet
146,Nucort Forte 10mg Tablet
147,Nucort-M16 Tablet DT
148,Nucort-M4 Tablet DT
149,Nucort-M8 Tablet DT
150,Nucoshine 120mg Tablet
151,Nucoshine 90mg Tablet
152,Nucoxia 120 Tablet
153,Nucoxia 60 Tablet
154,Nucoxia 60 Tablet
155,Nucoxia 90 Tablet
156,Nucoxia 90 Tablet
157,Nucoxia D3 Capsule
158,Nucoxia Emul Gel
159,Nucoxia MR 8 Tablet
160,Nucoxia MR Tablet
161,Nucoxia Ointment
162,Nucoxia P Tablet
163,Nucoxia P Tablet
164,Nucoxia PG 75mg/60mg Tablet
165,Nucoxia Relax Tablet
166,Nucoxia SP Tablet
167,Nucsa 50mg Tablet
168,Nucyclo 20mg/500mg Tablet
169,Nucyclo 20mg/500mg Tablet
170,Nucyreta 100mg Tablet ER
171,Nucyreta 150mg Tablet ER
172,Nucyreta 50mg Tablet ER
173,Nucytin Ndd 1000mg Injection
174,Nudac 50mg Injection
175,Nudec 25mg Injection
176,Nudec 50mg Injection
177,Nudefla 6mg Tablet
178,Nudefza 6mg Tablet
179,Nudep 20mg Tablet
180,Nudep 30mg Tablet
181,Nudic 10mg Injection
182,Nudiclo 100mg Tablet
183,Nudiclo 75mg Injection
184,Nudiclo Plus 100mg/325mg Tablet
185,Nudiglue Forte Tablet
186,Nudiglue-C Powder
187,Nudilol 3.125mg Tablet
188,Nudival 1000mg Tablet XR
189,Nudival 250mg Tablet XR
190,Nudival 500 XR Tablet
191,Nudival 500 XR Tablet
192,Nudol 100mg/500mg Tablet
193,Nudol 100mg/500mg Tablet
194,Nudol 10mg Tablet
195,Nudol 50mg Tablet
196,Nudol 5mg Tablet
197,Nudol DS Oral Suspension
198,Nudol P 37.5mg/325mg Tablet
199,Nudol P 37.5mg/325mg Tablet
200,Nudom 10mg Tablet
201,Nudoth 25mg Tablet
202,Nudoxa 20mg Injection
203,Nudoxa 2mg Injection
204,Nudoxa 2mg Injection
205,Nudoxa 50mg Injection
206,Nudoxim 100mg Tablet
207,Nudoxim 200mg Tablet
208,Nudoxim 50mg Tablet DT
209,Nudoxim Dry Syrup
210,Nudoxy Capsule
211,Nuerosha 500mcg Injection
212,Nufate 1000mg Suspension
213,Nufate O 500mg/10mg Suspension
214,Nufeb 40mg Tablet
215,Nufegest 500mg Injection
216,Nufegest Soft Gelatin Capsule
217,Nufegest Soft Gelatin Capsule
218,Nufein 100mg/500mg Tablet
219,Nufelt P 100mg/325mg Tablet
220,Nufenac 25mg Injection
221,Nufenac 50mg Tablet
222,Nufenac A 100mg Tablet
223,Nufenac A 100mg Tablet
224,Nufenac A 200mg Tablet
225,Nufex 250mg Tablet
226,Nufex 375mg Tablet SR
227,Nufex 500mg Tablet
228,Nufex 750mg Tablet SR
229,Nufex Beta 100mg/62.5mg Tablet DT
230,Nufex Beta Dry Syrup
231,Nufex Kid 125mg Tablet DT
232,Nufil 300mcg Injection
233,Nufil SF 300mcg Injection
234,Nufix 100mg Tablet
235,Nufix 200mg Tablet
236,Nufix 200mg Tablet
237,Nufix CL 325 Tablet
238,Nufix O 200mg/200mg Tablet
239,Nufix O Dry Syrup
240,Nufix O Dry Syrup
241,Nufix O Kid 100mg/100mg Tablet DT
242,Nufix OZ 200mg/500mg Tablet
243,Nufix OZ 200mg/500mg Tablet
244,Nufix-DS Dry Syrup
245,Nufixim AZ 200mg/250mg Tablet
246,Nuflam 100 mg/500 mg Tablet
247,Nuflam 100 mg/500 mg Tablet
248,Nuflam TH 200mg/16mg Tablet
249,Nuflam-RB Capsule SR
250,Nuflam-TH 8mg Capsule SR
251,Nuflam-TH Gel
252,Nuflam-TH Semi 100mg/4mg Tablet
253,Nuflav Tablet
254,Nuflexilor Tablet
255,Nuflexin 200mg Tablet
256,Nuflox 200 Tablet
257,Nuflox OZ Tablet
258,Nuflucon Ear Drop
259,Nuflux 40mg Tablet
260,Nufocal Soft Gel Capsule
261,Nufon 100mg/100mg Vaginal Capsule
262,Nuforce 150 Tablet
263,Nuforce 150 Tablet
264,Nuforce 150 mg/1000 mg Tablet
265,Nuforce 200 Tablet
266,Nuforce 200 Tablet
267,Nuforce 3 Kit
268,Nuforce 400mg Tablet
269,Nuforce 50mg Tablet
270,Nuforce Anti Dandruff Lotion
271,Nuforce Dusting Powder
272,Nuforce Mouth Paint
273,Nuforce Plus 150 mg/6 mg Tablet
274,Nuforce SZ Kit
275,Nuforce Shampoo
276,Nuforce Soap
277,Nuforce Solution
278,Nuforce-CD 3 Vaginal Suppository
279,Nuforce-Gm Cream
280,Nuformin 500mg Tablet SR
281,Nuformin 500mg Tablet SR
282,Nuformin G 500mg Tablet
283,Nuformin G 500mg Tablet
284,Nufresh Eye Drop
285,Nufulvin 125mg Tablet
286,Nufulvin 250mg Tablet
287,Nugab 750mcg/75mg Capsule
288,Nugab NT 75mg/10mg Tablet
289,Nugel Mps Syrup
290,Nugen Eye Drops
291,Nugesia 100mg/500mg Tablet
292,Nugesia AC 100mg/325mg Tablet
293,Nugesia AC Suspension
294,Nugesia-SP 50mg/10mg Tablet
295,Nugesic 100mg Tablet
296,Nugesic 100mg Tablet MD
297,Nugesic 100mg Tablet MD
298,Nugesic A Suspension
299,Nugesic Kid 50mg Tablet
300,Nugest 100mg Capsule
301,Nugest 200 Soft Gelatin Capsule
302,Nugest 200mg Capsule
303,Nugest 200mg Tablet
304,Nugestron 200mg Capsule
305,Nugine 0.125mg Tablet
306,Nuglim 1mg Tablet
307,Nuglim 2mg Tablet
308,Nuglim 4mg Tablet
309,Nuglim M 1 Forte Tablet PR
310,Nuglim M 2mg/500mg Tablet
311,Nuglim M Forte 4mg/1000mg Tablet
312,Nuglim M Tablet
313,Nuglim M2 Forte Tablet PR
314,Nuglim M2 Forte Tablet PR
315,Nuglim M4 Forte Tablet PR
316,Nuglim-PM 1mg Tablet
317,Nuglim-PM2 Tablet Tablet SR
318,Nuglip M 500mg/20mg Tablet
319,Nugliptin 50 Tablet
320,Nugliptin M 1000mg/50mg Tablet
321,Nugliptin M 500 Tablet
322,Nugon 150IU Injection
323,Nugon 75IU Injection
324,Nugrel Plus 75 mg/75 mg Tablet
325,Nuheal Tablet
326,Nuhenz Capsule
327,Nuhexy 2mg Tablet
328,Nuhigh 500mg/125mg Tablet
329,Nuhist Caplet
330,Nuhist Expectorant
331,Nuhist Syrup
332,Nujest 100mg Soft Gelatin Capsule
333,Nujest 100mg Soft Gelatin Capsule
334,Nujest 200mg Soft Gelatin Capsule
335,Nukast 10 Tablet
336,Nukast 2.5mg/4mg Tablet
337,Nukast 4 Syrup
338,Nuke 100mg Tablet
339,Nuke 200mg Tablet
340,Nuke SP 100mg/15mg Tablet
341,Nuke Spas 20mg/100mg Tablet
342,Nuke TZ 100mg/2mg Tablet
343,Nuke TZ 100mg/2mg Tablet
344,Nuke Tablet
345,Nukenz Lotion
346,Nuket Shampoo
347,Nuket Solution
348,Nukind M Syrup
349,Nuking 1500mcg Injection
350,Nuking P 750mcg/75mg Capsule
351,Nukof Syrup
352,Nuks Cold Tablet
353,Nulacid 40mg Tablet
354,Nulam 1.5mg Tablet SR
355,Nulam Plus 0.25 mg/20 mg Tablet
356,Nular LA 20mg Tablet
357,Nular LA 40mg Tablet
358,Nulasta Oral Suspension Sugar Free
359,Nulax Oral Solution
360,Nulax Oral Solution
361,Nulax Oral Solution
362,Nulcef 1000mg Injection
363,Nulcef SB 1000mg/500mg Injection
364,Nulcer 40 Tablet
365,Nulcer 40mg Injection
366,Nulcer D Capsule
367,Nulcer Mps Syrup
368,Nuleb 100mg Suspension
369,Nuleb 100mg Suspension
370,Nuleb 100mg Tablet
371,Nuleb 50mg Suspension
372,Nulet 1.25 Tablet MD
373,Nulet 1.25 Tablet MD
374,Nulet 10 Tablet
375,Nulet 15 Tablet
376,Nulet 15 Tablet
377,Nulet 2.5 Tablet
378,Nulet 2.5 Tablet MD
379,Nulet 20mg Tablet
380,Nulet 30mg Tablet
381,Nulet 5 Tablet
382,Nulet 5 Tablet MD
383,Nulet 7.5 Tablet
384,Nulex 300mg Capsule
385,Nulex Forte 300mg/500mcg Capsule
386,Nulibra 5mg/2.5mg Tablet
387,Nulid MR 100mg/2mg Tablet
388,Nulid Plus 100mg/500mg Tablet
389,Nulid Plus 100mg/500mg Tablet
390,Nulide 100mg Tablet
391,Nulide MR 100mg/500mg/250mg Tablet
392,Nulide Plus 100mg/500mg Tablet
393,Nulide Plus 100mg/500mg Tablet
394,Nulife 4mg Disintegrating Strip
395,Nulife Ecomint 4mg Chewing Gums
396,Nulify Tablet
397,Nulify Tablet DT
398,Nulin Eye Drop
399,Nulis A 5mg/5mg Tablet
400,Nuloc 20mg Tablet
401,Nuloc 40mg Tablet
402,Nuloc-D Capsule SR
403,Nuloflam P 100mg/325mg Tablet
404,Nulong 10 Tablet
405,Nulong 20 Tablet
406,Nulong 5 Tablet
407,Nulong-MT 25 Tablet ER
408,Nulong-MT 50 Tablet ER
409,Nulong-OL 20 Tablet
410,Nulong-OL 40 Tablet
411,Nulong-Trio 40 Tablet
412,Nulong-Trio Tablet
413,Nulor 10mg Tablet MD
414,Nulox 250mg/250mg Capsule
415,Nulox B Capsule
416,Numacle P 100mg/325mg Tablet
417,Numal Forte Oral Suspension
418,Numal Forte Oral Suspension
419,Numbcaine 0.5% Injection
420,Numbcaine Heavy 20mg Injection
421,Numbex Cream
422,Numbex Cream
423,Numbex Cream
424,Numbis P 100mg/325mg Tablet
425,Numbis Tablet MD
426,Numcef 200mg Tablet
427,Numclav 1000mg/200mg Injection
428,Numclav 1000mg/200mg Injection
429,Numclav 625 Tablet
430,Numclav Duo Dry Syrup
431,Numclav Duo Dry Syrup
432,Numcort 6mg Tablet
433,Numcort Oral Suspension
434,Numed 100mg Tablet
435,Numega 300mg/750mcg Tablet
436,Numel 100mg Tablet
437,Numel 100mg Tablet
438,Numel 100mg Tablet
439,Numelin 750mcg/75mg Capsule
440,Numento Plus 0.5mg/10mg Tablet
441,Numer P 100mg/325mg Tablet
442,Numer P 100mg/325mg Tablet
443,Numerab-LS Capsule SR
444,Numero 1000mg Injection
445,Numero 500mg Injection
446,Numet 1% Soap
447,Numet 50 XR Tablet
448,Numet O 20mg/50mg Tablet ER
449,Numeth P 750mcg/75mg Capsule
450,Numexim 100 Tablet DT
451,Numexim 200 Tablet
452,Numexim 50mg Dry Syrup
453,Numexim-CV Tablet
454,Numexim-O Tablet
455,Numful Cream
456,Numglim MF 1mg/500mg Tablet ER
457,Numglim MF 2mg/500mg Tablet ER
458,Numglim PG 1mg/500mg/15mg Tablet SR
459,Numglim PG 2mg/500mg/15mg Tablet SR
460,Numibact Ointment
461,Numic Plus Tablet
462,Numicin 500mg Injection
463,Numicin 500mg Injection
464,Numiclid Injection
465,Numicob Injection
466,Numicold 5mg/325mg/5mg Tablet
467,Numicold Syrup
468,Numicort 6 Tablet
469,Numicoxib 90 Tablet
470,Numicoxib-MR Tablet
471,Numicoxib-P Tablet
472,Numidrot 40mg Injection
473,Numifate-O Oral Suspension
474,Numifer 20mg Injection
475,Numiflo 200 Tablet
476,Numig P 100mg/325mg Tablet
477,Numig P 100mg/325mg Tablet
478,Numiglide 1mg/500mg Tablet PR
479,Numiglide-M 1 Tablet PR
480,Numiglide-M 2 Tablet PR
481,Numiglide-PM 1 Tablet SR
482,Numiglide-PM 2 Tablet SR
483,Numigliptin 20 Tablet
484,Numijoint 750mg/50mg/250mg Tablet
485,Numiliv Syrup
486,Numilol-AM 50 Tablet
487,Numilol-XL 25 Tablet ER
488,Numimol 250mg Syrup
489,Numimol 650mg Tablet
490,Numin 1mg/500mg Tablet
491,Numin 2mg/500mg Tablet
492,Numin Trio 2mg/500mg/0.2mg Tablet
493,Numinac 200mg Tablet SR
494,Numinac 200mg Tablet SR
495,Numinac P 100mg/325mg Tablet
496,Numinac TH 100mg/4mg Tablet
497,Numinac TH 8 Tablet
498,Numinac-MR Tablet
499,Numinac-MR Tablet
500,Numinac-PT Tablet
501,Numinac-SP Tablet
502,Numinate 120 Injection
503,Numinate 60 Injection
504,Numinate Tablet
505,Numine-NT Tablet
506,Numine-OD Injection
507,Numine-P Capsule
508,Numine-P Capsule
509,Numinic Syrup
510,Numinic Tablet
511,Numipan 40mg Tablet
512,Numipan D 10mg/40mg Tablet
513,Numipan D 30mg/40mg Capsule SR
514,Numipan IV 40mg Injection
515,Numipred 4 Tablet
516,Numipred 8mg Tablet
517,Numipril 5 Tablet
518,Numipril-H Tablet
519,Numis O 200mg Tablet
520,Numis TZ 200mg/600mg Tablet
521,Numistel 40 Tablet
522,Numistel-AM Tablet
523,Numistel-C Tablet
524,Numistel-C Tablet
525,Numistel-H Tablet
526,Numitra 100 Capsule
527,Numitra 200 Capsule
528,Numlo 5mg Tablet
529,Numlo L 2.5 mg/5 mg Tablet
530,Numlo-AT 5mg/25mg Tablet
531,Numlo-AT 5mg/50mg Tablet
532,Numlo-AT Tablet
533,Numlo-AT Tablet
534,Numlo-D 5 Tablet
535,Numlo-D Tablet
536,Numlo-D Tablet
537,Numlo-M 5 Tablet PR
538,Numlo-M Tablet PR
539,Numlo-TM 5 Tablet
540,Numlo-TM 5 Tablet
541,Numlo-TM Tablet
542,Numlo-TM Tablet
543,Numlotor 5 mg/10 mg Tablet
544,Nummit Spray Fresh Mint
545,Numol 100mg Infusion
546,Numol A Tablet
547,Numol MR 4 Tablet
548,Numol MR 8 Tablet
549,Numol Plus Syrup
550,Numol Plus Tablet
551,Numol SP Tablet
552,Numol Tablet
553,Numolog Capsule
554,Numon FX 10mg/120mg Tablet
