,items
0,NXT-Plus Tablet
1,Nxclav 1000mg/200mg Injection
2,Nxclav 250mg/125mg Tablet
3,Nxclav 400mg/57mg Dry Syrup
4,Nxclav 400mg/57mg Dry Syrup
5,Nxclav 500mg/125mg Tablet
6,Nxclav AX Capsule
7,Nxclav AX Capsule
8,Nxclav Dry Syrup
9,Nxclav Kid 200mg/28.5mg Tablet DT
10,Nxclav LB 500mg/125mg Tablet
11,Nxclav Oral Drops
12,Nxfyllin D 400mg Tablet
13,Nxfyllin LM 10mg/5mg/200mg Tablet
14,Nxpram 0.5mg/10mg Tablet
15,Nxt Clav Tablet
16,Nxtdol P 100mg/325mg Tablet
17,Nxtflo-DSR Capsule
18,Nxtpride M 1mg/500mg Tablet
19,Nxzolid 100mg Dry Syrup
20,Nxzolid 600mg Tablet
