,items
0,OD 10 mg/20 mg Capsule
1,OD Capsule
2,OD Gesic 50mg/500mg Tablet
3,OD Ner Injection
4,OD PHYLLIN 600 MG TABLET
5,OD Phyllin 400mg Tablet
6,OD Spas 10 mg/20 mg Tablet
7,ODEL 50MG TABLET
8,ODINOL 100 MG TABLET
9,ODINOL AM 5 MG/50 MG TABLET
10,ODN 2mg/5ml Syrup
11,ODN 4mg Tablet
12,ODS 200mg Tablet
13,Od LM 5mg/10mg Tablet
14,Odace 10mg Tablet
15,Odace 10mg Tablet
16,Odace 2.5mg Tablet
17,Odace 5mg Tablet
18,Odacet 10mg Tablet
19,Odacet 5mg/5ml Syrup
20,Odacin 200mg/500mg Tablet
21,Odahist 16mg Tablet
22,Odahist 16mg Tablet
23,Odal 200mg Suspension
24,Odal Plus 6mg/400mg Tablet
25,Odal Plus Oral Suspension
26,Odan 4mg Tablet DT
27,Odan Injection
28,Odan Syrup Sweet Orange
29,Odanse 2mg Injection
30,Odanse 2mg Injection
31,Odanse 2mg/5ml Syrup
32,Odanse 4mg Tablet
33,Odanse 4mg Tablet MD
34,Odanson 4mg Tablet
35,Odaril Syrup
36,Odastin M 20mg/10mg Tablet
37,Oday OZ Syrup
38,Oday OZ Tablet
39,Odbion GB 300mg/500mcg Tablet
40,Odcan 150mg Tablet
41,Odcan 200mg Tablet
42,Odcan 50mg Tablet
43,Odcef 200mg Capsule
44,Odclin 100mg Capsule
45,Odcol Capsule
46,Odcort 6 Tablet
47,Odd 20mg Tablet
48,Oddox LB 100mg Capsule
49,Odds UP 4mg Tablet
50,Odean 2mg/5ml Syrup
51,Odean 4mg Injection
52,Odean 4mg Injection
53,Odean 4mg Tablet
54,Odean RD 30mg/20mg Capsule SR
55,Odec 300mg Tablet
56,Odec MR 400mg/4mg Tablet
57,Odec Plus 400mg/325mg Tablet
58,Odedom 10mg/20mg Capsule
59,Odee 20mg Capsule
60,Odee Dom Capsule
61,Odeflox 100mg Tablet
62,Odeflox 200mg Tablet
63,Odeflox OZ 200mg/500mg Tablet
64,Odeflox T 200mg/600mg Tablet
65,Odema 100mg/15mg Tablet
66,Odema Plus 100mg/500mg/15mg Tablet
67,Odemed 5mg/2.5mg Tablet
68,Oden O Tablet
69,Odens 2mg Injection
70,Odens-MD Tablet
71,Odeof 200mg/500mg Tablet
72,Odep 10mg Tablet
73,Odep 2.5mg Tablet
74,Odep 25mg Tablet
75,Odep 4mg Injection
76,Odep 4mg Tablet
77,Odep 50mg Tablet
78,Odepraz 40mg Tablet
79,Odepraz D 30mg/40mg Tablet
80,Oderma Cream
81,Odeworm 200mg Oral Suspension
82,Odeworm 400mg Tablet
83,Odeworm 400mg Tablet
84,Odeworm Plus Oral Suspension
85,Odex Syrup
86,Odex-P Syrup
87,Odex-SF Syrup
88,Odgat 400mg Tablet
89,Odi Care 2mg Injection
90,Odi Care 2mg Oral Drops
91,Odicef 1000mg Injection
92,Odicef 125mg Injection
93,Odicef 250mg Injection
94,Odicef 500mg Injection
95,Odicef 750mg Injection
96,Odicef CV 200 mg/125 mg Tablet
97,Odicef Neonate 125mg Injection
98,Odicef O 100mg Tablet DT
99,Odicef O 200mg Tablet
100,Odicef O 400mg Tablet
101,Odicef O 50mg Oral Drops
102,Odicef O 50mg Suspension
103,Odicef O 50mg Tablet DT
104,Odicef O Forte 100mg Dry Syrup
105,Odicef S 1000mg/500mg Injection
106,Odicef S 125mg/62.5mg Injection
107,Odicef S 250mg/125mg Injection
108,Odicef S 500 mg/250 mg Injection
109,Odicef S Kid Injection
110,Odicef T 1000 mg/125 mg Injection
111,Odicef T 250 mg/31.25 mg Injection
112,Odicef T 500 mg/62.5 mg Injection
113,Odicef T 500 mg/62.5 mg Injection
114,Odicip-OZ 500mg/500mg Tablet
115,Odiclav LB 500mg/125mg Tablet
116,Odicoff Syrup
117,Odicon 150 Tablet
118,Odicon- K Lotion
119,Odifex 120 Tablet
120,Odifex 180mg Tablet
121,Odiff 200mg Tablet
122,Odiff 200mg Tablet
123,Odiff OZ 200mg/500mg Tablet
124,Odifit-AT Tablet
125,Odiflox 200mg Tablet
126,Odigaba M 1500mcg/75mg Tablet
127,Odigaurd 250mg/250mg Tablet
128,Odigest 200mg Soft Gelatin Capsule
129,Odiglim 1mg Tablet
130,Odiglim 2mg Tablet
131,Odiglim-M 2mg/500mg Tablet
132,Odik 10mg/20mg Capsule
133,Odilaz 30mg Tablet
134,Odilaz 6mg Tablet
135,Odilaz 6mg Tablet
136,Odilev 250mg Tablet
137,Odilev 500mg Tablet
138,Odime 125mg Injection
139,Odimef 80mg/250mg Tablet
140,Odimik 100mg Injection
141,Odimik 250mg Injection
142,Odimik 500mg Injection
143,Odimont 10 Tablet
144,Odimont 4mg Tablet
145,Odimont 5mg Tablet
146,Odimont-AL Tablet
147,Odimont-FX Tablet
148,Odimont-FX Tablet
149,Odimont-LC Kid Tablet
150,Odimont-LC Syrup
151,Odimont-LC Tablet
152,Odimont-Plus Tablet
153,Odimox 250mg Tablet
154,Odimox 500mg Tablet
155,Odimox CV 200mg/28.5mg Syrup
156,Odimox-DL Capsule
157,Odimz 200 Tablet
158,Odimz-OZ Tablet
159,Odin Eye Drop
160,Odinac P Tablet
161,Odinac-MR Tablet
162,Odinac-SP Tablet
163,Odinac-SP Tablet
164,Odinate 60mg Injection
165,Odinova 4mg Injection
166,Odip AT 5mg/10mg Tablet
167,Odipan 40mg Injection
168,Odipan-DSR Tablet
169,Odipin 10mg Tablet
