,items
0,PB Chlor Ear Drop
1,PB Trust 75mg Capsule
2,PB Trust-M Capsule
3,PB-Cef 500mg Tablet
4,PBMont-LC 5mg/10mg Tablet
5,PBMont-LC 5mg/10mg Tablet
6,Pbceff 1500mg Injection
7,Pbf Gel
8,Pbmont D 400mg/10mg Tablet
9,Pbn-NT Tablet
10,Pbomb 650mg Tablet
11,Pbomb DS 250mg Syrup
12,Pbomb DS 250mg Syrup
13,Pbona 40mg Tablet
14,Pbquin 100mg Tablet
15,Pbquin 300mg Tablet
16,Pbquin 600mg Injection
17,Pbren 100 Tablet
18,Pbren 150 Tablet
19,Pbren 50 Capsule
20,Pbren 75 Capsule
21,Pbren M 750mcg/150mg Capsule
22,Pbren M 750mcg/150mg Capsule
23,Pbren NT 75mg/10mg Tablet
24,Pbren-M 75 Capsule
