,items
0,PC 8 Tablet
1,PC Cot 6mg Tablet
2,PC Dex Eye/Ear Drops
3,PC-Cold Tablet
4,PC-Win 650 Tablet
5,PC-Win 650 Tablet
6,PCA 10mg Tablet
7,PCA 5mg Tablet
8,PCM 100 MG DROP
9,PCM 150mg Injection
10,PCM 650mg Tablet
11,PCM Suspension
12,PCM Tablet
13,PCP B Syrup
14,PCP Oral Suspension
15,PCT 200mg Injection
16,Pcain O Oral Suspension
17,Pcan Forte Syrup
18,Pcan-P Syrup
19,Pcare 40mg Tablet
20,Pcare D 10mg/40mg Tablet
21,Pcdem 200 Tablet
22,Pceft S 1000mg/500mg Injection
23,Pceft T 1000mg/125mg Injection
24,Pceft T 1000mg/125mg Injection
25,Pcl Syrup
26,Pcl-Plus Syrup Mixed fruit flavour
27,Pcom 20mg Tablet DT
28,Pcort 10mg Tablet
29,Pcort DZ 30 Tablet
30,Pcort DZ 6 Tablet
31,Pcort Eye Drop
32,Pcoset 500mg/600mg Tablet
33,Pcp Forte 5mg/325mg/5mg Tablet
34,Pcp Forte 5mg/325mg/5mg Tablet
35,Pcraft 40mg Tablet
36,Pcraft D 30mg/40mg Tablet
37,Pcrdi 20mg Tablet
38,Pcrdi 40mg Tablet
39,Pcrdi 80mg Tablet
40,Pctol 650mg Tablet
41,Pcut D 30mg/40mg Tablet SR
42,Pcut Tablet
