,items
0,PD 10mg/40mg Tablet
1,PD 20mg/40mg Capsule SR
2,PD 30 mg/40 mg Tablet
3,PD Com Tablet
4,PD Com Tablet
5,PD Flam Tablet
6,PD Forte 75mg Injection
7,PD Kent Syrup
8,PD Lyte M Infusion
9,PD Lyte P Infusion
10,PD Lyte P Infusion
11,PD Mox C 250mg/50mg Injection
12,PD Mox C 500mg/100mg Injection
13,PD Mox C Syrup
14,PD Mox C Tablet
15,PD Mox C Tablet
16,PD Mox C Tablet
17,PD Mox C Tablet
18,PD Mox Kid 125mg Tablet
19,PD Mox Kid 125mg Tablet
20,PD Mox LB 500mg/60Million spores Tablet
21,PD Mox LB Tablet
22,PD Nor TZ 400 mg/600 mg Tablet
23,PD Pan 40mg Injection
24,PD Pan 40mg Tablet
25,PD Rox 150mg Tablet
26,PD Roxil 500mg Capsule
27,PD Roxil LB 125mg/30mg Tablet
28,PD Roxil LB 250mg/60mg Tablet
29,PD SR 30mg/40mg Tablet
30,PD Spas 10mg/500mg Tablet
31,PD Zole D Infusion
32,PD-Zole 10mg/40mg Tablet
33,PDC Tablet
34,PDC Tablet
35,PDPINE 5MG TABLET
36,PDPRIL-AM 5MG/5MG TABLET
37,Pd Gesic 50mg/325mg Tablet
38,Pdase-DP Tablet
39,Pdavis 40mg Tablet
40,Pdax 1000mg Injection
41,Pdax 500mg Injection
42,Pdax S 1000mg/500mg Injection
43,Pdax S 500mg/250mg Injection
44,Pdax T 1000mg/125mg Injection
45,Pdcart Tablet
46,Pdcef 250 Tablet
47,Pdcef 500 Tablet
48,Pdcef S 1000mg/500mg Injection
49,Pdcef S 500mg/500mg Injection
50,Pdcef Z 1000mg Injection
51,Pdcef Z 1000mg Injection
52,Pdf Tablet
53,Pdgel-MS Syrup
54,Pdgro Syrup
55,Pdk Plus 50mg/500mg/10mg Tablet
56,Pdk Plus 50mg/500mg/10mg Tablet
57,Pdlac AZ 200mg/250mg Tablet
58,Pdlac CV 200mg/125mg Tablet
59,Pdlac O 200mg/200mg Tablet
60,Pdlac O Dry Syrup
61,Pdlac OZ 200mg/500mg Tablet
62,Pdlac Plus 100mg Dry Syrup
63,Pdlast Tablet
64,Pdlin 1000mg/200mg Injection
65,Pdlin 1000mg/200mg Injection
66,Pdlin 500mg/125mg Tablet
67,Pdlin D Plus 250mg/250mg Capsule
68,Pdlin Dry Syrup
69,Pdlin Plus 500mg/125mg Tablet
70,Pdlin Plus 500mg/125mg Tablet
71,Pdloc Capsule
72,Pdlone 5mg Tablet
73,Pdnan 50mg Injection
74,Pdneuro Syrup
75,Pdnol 25mg Tablet
76,Pdnol 25mg Tablet
77,Pdnol 50mg Tablet
78,Pdnol 50mg Tablet
79,Pdnol-AM 5mg/50mg Tablet
80,Pdon 50mg Syrup
81,Pdon Forte 100mg Syrup
82,Pdon OZ 200mg/500mg Tablet
83,Pdon OZ 200mg/500mg Tablet
84,Pdox 120mg Oral Suspension
85,Pdox 200 Tablet DT
86,Pdox AZ 200mg/250mg Tablet
87,Pdox CV 200mg/125mg Tablet
88,Pdoxy F 10mg/10mg/5mg Tablet
89,Pdrin 50mg Tablet
90,Pds 40mg Tablet
91,Pdsol 1.4gm Syrup
92,Pdson 10% Ointment
93,Pdstar 30mg/40mg Capsule
94,Pdvas 10mg Tablet
95,Pdvas 10mg Tablet
96,Pdx Tablet
97,Pdx Tablet
98,Pdx Tablet
99,Pdx Tablet
100,Pdzole 40mg Injection
101,Pdzole D 10mg/40mg Tablet
102,Pdzole D 10mg/40mg Tablet
103,Pdzole D 30mg/40mg Capsule SR
