,items
0,PF 650mg Tablet
1,PFD 40mg Injection
2,PFD 40mg Tablet
3,Pfanto 40mg Capsule
4,Pfanto 40mg Injection
5,Pfanto D 30mg/40mg Capsule SR
6,Pfc 125mg Drops
7,Pfc 125mg/5ml Syrup
8,Pfc MF 50mg/125mg Syrup
9,Pfc MF 50mg/125mg Syrup
10,Pfend 200mg Tablet
11,Pfidex 8mg Injection
12,Pfit DSR 30mg/40mg Capsule
13,Pfit DSR 30mg/40mg Capsule
14,Pflox 200 Tablet
15,Pflox OZ Tablet
16,Pford 40mg Tablet
17,Pford D 30mg/40mg Capsule
18,Pfos 40mg Injection
19,Pfos 40mg Tablet
20,Pfos 40mg Tablet
21,Pfos D 30mg/40mg Capsule SR
22,Pfos DM 10mg/40mg Tablet
23,Pfos O 40mg/10mg Tablet
