,items
0,PH Guard Syrup
1,PH MPA TABLET
2,PH Norm Oral Suspension
3,PH Perfect DSR Capsule
4,PH Rite 20mg Tablet
5,PH Rite DSR 30mg/20mg Capsule
6,PH Rite L 75mg/20mg Capsule
7,PH Rite L 75mg/20mg Capsule
8,PH Up 40mg Injection
9,PH Up 40mg Tablet
10,PH Up D 10mg/20mg Tablet
11,PH Up D 10mg/20mg Tablet
12,PH-Bar
13,PH-Perfect 20mg Tablet
14,PH-Perfect Capsule
15,PHALEXIN DRY SYRUP
16,PHENLINCTUS SYRUP
17,PHENY 250MG SUSPENSION
18,PHENY 250MG SUSPENSION
19,PHEXIPEN 250 MG TABLET DT
20,PHEXIPEN 250 MG TABLET DT
21,PHOSOME 25 MG INJECTION
22,PHYLLOCONTIN 225MG TABLET
23,Ph Plus 40mg Tablet
24,Ph Plus D 30mg/40mg Capsule
25,Pha 10mg/75mg Tablet
26,Pha Gold 75mg/10mg/75mg Tablet
27,Phagocef 100mg Tablet DT
28,Phagocef 200mg Tablet DT
29,Phagocef 50mg Dry Syrup
30,Phagocef AZ 200mg/250mg Tablet
31,Phagocef CV 200mg/125mg Tablet
32,Phagocef Dry Syrup
33,Phagocef LB 200mg Tablet
34,Phagocef O 200mg/200mg Tablet
35,Phagocef O 200mg/200mg Tablet
36,Phagocef OZ 200mg/500mg Tablet
37,Phagopan D 30mg/40mg Capsule SR
38,Phagotrip Tablet
39,Phakast Tablet
40,Phalax Laxative
41,Phalax Tablet
42,Phalin 100mg Tablet
43,Phalin 300mg Tablet
44,Phalin 50mg Tablet
45,Phalin 50mg/2ml Injection
46,Phamclav Syrup
47,Phamox 250mg Tablet DT
48,Phamox 500mg Capsule
49,Phanac Oral Suspension
50,Phanac-MR Tablet
51,Pharcef 1000mg Injection
52,Pharcef 1000mg Injection
53,Pharcef 1000mg Injection
54,Pharcef 250mg Injection
55,Pharcef 500mg Injection
56,Pharcef 50mg Dry Syrup
57,Pharcef S 1000mg/500mg Injection
58,Pharcef S 250mg/125mg Injection
59,Pharcef S 500mg/250mg Injection
60,Pharcef S 500mg/250mg Injection
61,Pharcef SB 1000mg/500mg Injection
62,Pharcef SB 1000mg/500mg Injection
63,Pharcef T 1000mg/125mg Injection
64,Pharcef-O 100 Tablet
65,Pharcef-O 200 Tablet DT
66,Pharcef-O Drops
67,Pharcef-T Injection
68,Pharcet-M Tablet
69,Pharcid D 30mg/20mg Capsule SR
70,Pharcid LS 75mg/20mg Capsule
71,Pharcid LS 75mg/20mg Capsule
72,Phardep 75 Tablet
73,Phargest 100 Soft Gelatin Capsule
74,Phargest 200 Soft Gelatin Capsule
75,Pharlax 10gm Syrup
76,Pharlax 10gm Syrup
77,Pharmadol 250mg Oral Suspension
78,Pharmadol 500mg Tablet
79,Pharmajet DSR 30mg/40mg Capsule
80,Pharmajet DSR 30mg/40mg Capsule
81,Pharmalgin 25mg/500mg Tablet
82,Pharmazin 5mg Tablet
83,Pharxime 100 Tablet DT
84,Pharxime 200 LB Tablet
85,Pharxime 200 Tablet DT
86,Pharxime 200 Tablet DT
87,Pharxime 25mg Oral Drops
88,Pharxime Dry Syrup
89,Pharxime-O Tablet
90,Pharxime-OZ Tablet
91,Pharzid Oral Suspension
92,Pharzol Tablet
93,Pharzone S 1000mg/500mg Injection
94,Pharzone S 500mg/500mg Injection
95,Pharzone T 1000mg/125mg Injection
96,Phasilex 125mg Syrup
97,Phasilex 125mg Syrup
98,Phasilex 250mg Capsule
99,Phasilex 500mg Capsule
100,Phaspa Tablet
101,Phaster CH 100mg/325mg Tablet
102,Phaster SP 100mg/325mg/15mg Tablet
103,Phather Injection
104,Phather Injection
105,Phatuss Syrup
106,Phatuss-P Syrup
107,Phaxit Syrup Sugar Free
108,Phaxit-Plus Oral Emulsion Sugar Free
109,Phazi 250 Tablet
110,Phazi 250 Tablet
111,Phazi 500 Tablet
112,Phazi 500 Tablet
113,Phdale Suspension Sugar Free
114,Pheate Ear Drop
115,Pheclav 1000mg/200mg Injection
116,Pheclav Oral Suspension
117,Pheclox-LB Capsule
118,Phecnil 150mg Injection
119,Phecobal 1500mcg Injection
120,Phecobal Plus Injection
121,Phecop 1000mg Injection
122,Phecop 250mg Injection
123,Phecop 500mg Injection
124,Phecop S 1000mg/500mg Injection
125,Phedex 100mg Tablet
126,Phedex 200mg Tablet
127,Phek 100mg/500mg Tablet
128,Phelcid O Oral Suspension
129,Phelevo M Syrup
130,Phellan 90mg/48mg/100mg Tablet
131,Phemef DS Oral Suspension
