,items
0,PL NZ Syrup
1,PL NZ Syrup
2,PLAN 40MG TABLET SR
3,PLATIN 10 MG CAPSULE
4,PLATIN 20MG CAPSULE
5,PLAVOLEX INFUSION
6,PLAVOLEX INFUSION
7,PLENDIL 5MG TABLET
8,PLENDIL 5MG TABLET
9,Pl 250mg Oral Suspension
10,Placef-O Tablet
11,Placenta 100mg Soft Gelatin Capsule
12,Placenta 200mg Soft Gelatin Capsule
13,Placenta MP 10mg Tablet
14,Placentone 100mg Tablet
15,Placentone 200mg Injection
16,Placentone 200mg Tablet
17,Placentrex Cream
18,Placentrex Gel
19,Placentrex Injection
20,Placentrex V Gel
21,Placid 100mg Injection
22,Placida Plus 0.5 mg/10 mg Tablet
23,Placida Tablet
24,Placidin 100mg Tablet
25,Placidin 200mg Tablet XR
26,Placidin 25mg Tablet
27,Placidin 400mg Tablet XR
28,Placidin 50mg Tablet XR
29,Placidox 10mg Tablet
30,Placidox 2mg Tablet
31,Placidox 5mg Tablet
32,Placin 500mg Injection
33,Placin P 100mg/325mg Tablet
34,Placin SP 100mg/325mg/15mg Tablet
35,Plackcef 200mg/500mg Tablet XL
36,Plackcef 200mg/500mg Tablet XL
37,Placklax 5mg Syrup
38,Placklax 5mg Syrup
39,Placklin 100mg Capsule
40,Placklin Plus 100mg/600mg Tablet
41,Plackrose A 10mg/75mg Capsule
42,Placold Tablet
43,Placoril Oral Suspension
44,Placoril Tablet
45,Placort 6 Tablet
46,Plagerine Tablet
47,Plagerine-A 150 Capsule
48,Plagerine-A 75 Tablet
49,Plagerine-A Capsule
50,Plagril 75 Tablet
51,Plagril A 150mg/75mg Tablet
52,Plagril A 75 mg/75 mg Capsule
53,Plagril Gold 300 Tablet
54,Plagril Gold 75 Tablet
55,Plaintar-CS Lotion
56,Plamax 200 Tablet
57,Plamol 500 Tablet
58,Plamol-D Tablet
59,Plamumab 40mg Injection
60,Planate 60mg Injection
61,Planate 60mg Injection
62,Planep 50 Tablet
63,Planep Tablet
64,Planep-T 10 Kit
65,Planep-T 20 Kit
66,Planet 40mg Tablet
67,Planet 6mg Tablet
68,Planetica 10 Injection
69,Planetica 50 Injection
70,Planim 200mg Tablet
71,Planokuf D  Syrup
72,Planokuf D  Syrup
73,Planokuf Syrup
74,Planokuf Syrup
75,Planokuf T Syrup
76,Planokuf XP  Syrup
77,Planokuf XP Lite Expectorant
78,Planomef Tablet
79,Planomef Tablet
80,Planomef-P Tablet
81,Plareether 150mg Injection
82,Plareether 150mg Injection
83,Plaros 10 Tablet
84,Plaros 20 Tablet
85,Plaros 5 Tablet
86,Plaros F 160mg/10mg Tablet
87,Plaros F 160mg/10mg Tablet
88,Plascold Tablet
89,Plasmaglob 5gm Injection
90,Plasmahep 100IU Injection
91,Plasmanate 5% Infusion
92,Plasmi LIV Syrup
93,Plasmol 650mg Tablet
94,Plasmox 250mg Capsule
95,Plasmox 500mg Capsule
96,Plasmox 500mg Capsule
97,Plasnim P Tablet
98,Plasodace SP 100mg/325mg/15mg Tablet
99,Platbit 75mg Tablet
100,Platbit 75mg Tablet
101,Platfree 75mg Tablet
102,Platicare 1mg Injection
103,Platicare 1mg Injection
104,Platicare 1mg Injection
105,Platico 400mg Injection
106,Platifirst 10mg Injection
107,Platikem 20mg Injection
108,Platikem 50mg Infusion
109,Platikem 50mg Infusion
110,Platikem 50mg Infusion
111,Platikem Novo 10mg Injection
112,Platikem Novo 50mg Injection
