,items
0,PM  Sone 4mg Tablet
1,PM 125mg/5ml Suspension
2,PM 250mg/5ml Suspension
3,PM 40mg Tablet
4,PM 650mg Tablet
5,PM DSR 30mg/40mg Capsule
6,PM-Zide 1000mg Tablet
7,PM-Zide 750mg Tablet
8,PMT Anti scabies Lotion
9,PMT Cream
10,PMT Lotion
11,PMT Soap
12,PMUTE 1000 MG TABLET
13,PMUTE 1000 MG TABLET
14,Pmezole 20mg Capsule
15,Pmg 1mg/500mg/15mg Tablet
16,Pmg 2 Tablet PR
17,Pmn Plus Tablet
18,Pmo T 325mg/37.5mg Tablet
19,Pmo Tablet
20,Pmol Plus Tablet
21,Pmq Inga 15mg Tablet
22,Pmq Inga 2.5mg Tablet
23,Pmq Inga 7.5mg Tablet
24,Pmson 500 Tablet
25,Pmson 650 Tablet
26,Pmson-ER Tablet
27,Pmx 1Million IU Injection
28,Pmx 2Million IU Injection
29,Pmx 3Million IU Injection
30,Pmz 25mg Injection
