,items
0,PS Cef 200mg Tablet
1,Psedyl X Syrup
2,Pseudo-Tears Eye Drop
3,Pseudo-Tears Eye Drop
4,Pseudonam 500mg Injection
5,Pseudonam 500mg Injection
6,Pseudonam Plus Injection
7,Pseudostat 4000 mg/500 mg Injection
8,Pseudostat 4000 mg/500 mg Injection
9,Psien 500 Tablet
10,Psorafuse Ointment
11,Psoratop 25mg Tablet
12,Psoriax 5mg Tablet
13,Psoricort C Gel
14,Psoricort H Gel
15,Psorid 100 Capsule
16,Psorid 100mg Oral Solution
17,Psorid 25 Capsule
18,Psorid 50 Capsule
19,Psoriex Ointment
20,Psoriex Plus Ointment
21,Psorinol 0.25% Ointment
22,Psorinol Ointment
23,Psorisome Gel
24,Psorvate Lotion
25,Psorvate Lotion
26,Psorvate Oil
27,Psorvate Oil
28,Psorvate Ointment
29,Psotretin 25mg Tablet
30,Psp 40mg Tablet
31,Psryl 1mg Tablet
32,Psryl 2mg Tablet
33,Psryl M 1mg/500mg Tablet
34,Psryl M 2mg/500mg Tablet
35,Psure Cream
36,Psure Soap
37,Psvt 6mg Injection
38,Psycalm 1mg Tablet
39,Psycalm 5mg Tablet
40,Psycalm Plus 5mg/2mg Tablet
41,Psycare Forte Tablet
42,Psycare Plus 5mg/2mg Tablet
43,Psychodol 50mg Injection
44,Psychodol 5mg Tablet
45,Psycholanz 10mg Tablet
46,Psycholanz 2.5mg Tablet
47,Psycholanz 5mg Tablet
48,Psychonor P 75mg/10mg Tablet
49,Psychopin 25mg Capsule
50,Psychotil 5 Tablet
51,Psychotill Tablet
52,Psychozap 5mg Tablet
53,Psyclo 100mg Tablet
54,Psyclo 100mg Tablet
55,Psyclo 50mg Tablet
56,Psycloze 100 Tablet
57,Psycloze 200 Tablet
58,Psycloze 25 Tablet
59,Psycloze 50 Tablet
60,Psycodon 3mg Tablet
61,Psycodon 6mg Tablet
62,Psycolam Forte Tablet
63,Psycolam Forte Tablet
64,Psycolam Plus Tablet
65,Psycolev 50mg Tablet
66,Psycolith 450mg Tablet CR
67,Psycomer 50mg Tablet
68,Psycomer C 25mg/10mg Tablet
69,Psycool Plus 0.25mg/20mg Tablet
70,Psycopan 2mg Tablet
71,Psycopir 400mg Capsule
72,Psycopir 400mg Capsule
73,Psycovox 50mg Tablet
74,Psycovox 50mg Tablet
75,Psydil 60mg Tablet
76,Psydol-Forte Tablet
77,Psydol-Plus Tablet
78,Psydon 1mg Tablet
79,Psydon 2mg Tablet
80,Psydon 2mg Tablet
81,Psydon 3mg Tablet
82,Psydon 4mg Tablet
83,Psydyl 2 mg/2 mg Tablet
84,Psydyl 3 mg/2 mg Tablet
85,Psydyl 4 mg/2 mg Tablet
86,Psyfax 37.5 ER Capsule
87,Psyfax 75 ER Capsule
88,Psyfax-D Tablet ER
89,Psyfax-DS Tablet ER
90,Psyfen 10mg Tablet
91,Psymeth-Plus Capsule
92,Psynep 1200mg Tablet
93,Psynep 800mg Tablet
94,Psynep 800mg Tablet
95,Psyneuron 1500mcg Tablet
96,Psyneuron 500mcg Tablet
97,Psynil 100mg Tablet
98,Psynil 200mg Tablet
99,Psynil 25mg Tablet
100,Psynil 300mg Tablet
101,Psynil 50 Tablet
102,Psynolan 5mg Tablet
103,Psynone-T Injection
104,Psyorid 1mg Tablet
105,Psyorid 2mg Tablet
106,Psyorid Plus 2mg/2mg Tablet
107,Psyorid Plus 3 mg/2 mg Tablet
108,Psyphylline 400mg Tablet
109,Psypid 2 Tablet
110,Psypid 2 Tablet
111,Psypid 3 Tablet
112,Psypid 3 Tablet
113,Psypid 3T MD Tablet
114,Psypid 4 Tablet
115,Psypid 4T MD Tablet
116,Psypid 4T MD Tablet
117,Psypid Syrup
118,Psypid Syrup
119,Psypin 100 Tablet
120,Psypin 25mg Tablet
121,Psypine 100mg Tablet
122,Psypine 200mg Tablet
123,Psypine 25mg Tablet
124,Psypro 12.5mg Tablet CR
125,Psypro 25mg Tablet CR
126,Psyquit 100 Tablet
127,Psyquit 200mg Tablet
128,Psyquit 25mg Tablet
129,Psyquit 300 Tablet
130,Psyquit 50 Tablet
131,Psyride 100 Tablet
132,Psyride 200 Tablet
133,Psyride 50 Tablet
134,Psyril 100mg Tablet
135,Psyril 10mg Tablet
136,Psyril 10mg Tablet
137,Psyril 25mg Tablet
138,Psyril 50mg Tablet
139,Psyril 50mg Tablet
140,Psytas 200mg Tablet
141,Psytas 200mg Tablet
142,Psytas 50mg Tablet
143,Psythip 25mg Tablet
144,Psythip 50mg Tablet
145,Psythip 75mg Tablet
146,Psytrax 10mg Tablet
147,Psytrax 25mg Tablet
148,Psyvir 400mg Tablet
149,Psyvir 800mg Tablet
150,Psyvir 800mg Tablet
151,Psyvir Cream
152,Psyvox 1000mg Tablet ER
153,Psyvox 750mg Tablet ER
154,Psyvox-ER 250 Tablet
155,Psyvox-ER 500 Tablet
156,Psyvoxin 100mg Tablet
157,Psyvoxin 50 Tablet
158,Psyzine Forte 50 mg/2 mg/5 mg Tablet
159,Psyzine Forte 50 mg/2 mg/5 mg Tablet
160,Psyzine Plus 5 mg/2 mg Tablet
