,items
0,PUC 125 Suspension
1,PUC 125mg Drop
2,PUC 250mg/5ml Suspension
3,PUC 650 Tablet
4,PUC Tablet
5,PULVANCE 125 MG TABLET
6,PULVANCE 62.5 MG TABLET
7,Puagra 50mg Tablet
8,Pub 40mg Injection
9,Pub 40mg Injection
10,Pub 40mg Tablet
11,Pubergen 10000IU Injection
12,Pubergen 1000IU Injection
13,Pubergen 2000IU Injection
14,Pubergen 5000IU Injection
15,Pubergen Aqua  5000IU Injection
16,Pubergen HP 10000IU Powder for Injection
17,Pubergen HP 2000IU Injection
18,Pubergen HP 5000 Injection
19,Pubergen JO 7500IU Injection
20,Pubergen Nano Injection
21,Pucci 5mg Tablet
22,Pucef 200mg Tablet
23,Pufdryl A Syrup
24,Pufdryl BR Syrup
25,Pufdryl D Syrup
26,Pufdryl D Syrup
27,Pufdryl D Tablet
28,Pufdryl LS Syrup
29,Puffrex DX Syrup
30,Puffrex-A Syrup
31,Puffrex-BR Syrup
32,Puflux 40 Injection
33,Puflux 40mg Tablet
34,Puflux-DSR Capsule
35,Pul ED 20mg Tablet
36,Pulcare Syrup
37,Pulcebro M 200mg/10mg Tablet
38,Pulcef 1000 mg/500 mg Injection
39,Pulcef 250 mg/125 mg Injection
40,Pulcef 250 mg/125 mg Injection
41,Pulcer 40mg Tablet
42,Pulflo 100mg Tablet
43,Pulflo-Dm 200mg/5mg/10mg Tablet
44,Pulmair 5mg/10mg Tablet
45,Pulmax Syrup
46,Pulmibrex-AM Syrup
47,Pulmicort 0.5mg Respules
48,Pulmicort 100mcg Inhaler
49,Pulmicort 1mg Respules
50,Pulmicort 200mcg Inhaler
51,Pulmigen Sub-Lingual Tablet
52,Pulmistat 10mg Tablet
53,Pulmistat 10mg Tablet
54,Pulmo Rest Expectorant
55,Pulmo Rest Expectorant
56,Pulmo Rest Expectorant
57,Pulmo Rest S 100 mg/2.5 mg/8 mg Tablet
58,Pulmo Rest S Expectorant
59,Pulmo Rest Tablet
60,Pulmoace 100 mg/100 mg Tablet
61,Pulmocef 125mg Tablet
62,Pulmocef 1500mg Injection
63,Pulmocef 250 Tablet
64,Pulmocef 500 Tablet
65,Pulmocef 750mg Injection
66,Pulmocef CV 250mg/125mg Tablet
67,Pulmocef LZ Tablet
68,Pulmocef-CV 250 Tablet
69,Pulmocef-CV 500 Tablet
70,Pulmocef-CV 500 Tablet
71,Pulmocet-M 5mg/10mg Tablet
72,Pulmoclear  50mg/1.25mg/2.5mg Syrup
73,Pulmoclear  Syrup
74,Pulmoclear  Tablet
75,Pulmoclear  Tablet
76,Pulmoclear LS Syrup
77,Pulmoclox  250 mg/250 mg Capsule
78,Pulmoday 20mg Tablet
79,Pulmodox 400mg Tablet
80,Pulmodox 400mg Tablet SR
81,Pulmodox 800mg Tablet SR
82,Pulmofib 200mg Tablet
83,Pulmofib 801mg Tablet
84,Pulmofor B 100 Axacaps
85,Pulmofor B 200 Axacaps
86,Pulmofor B 200 Axacaps
87,Pulmofor B 200 Inhaler
88,Pulmofor B 400 Axacaps
89,Pulmofor B 400 Inhaler
90,Pulmofor F 250 Axacap
91,Pulmofree 10mg Injection
92,Pulmofresh 600 Effervescent Tablet Orange Sugar Free
93,Pulmokast 10mg Tablet
94,Pulmokast L 5 mg/10 mg Tablet
95,Pulmokast L Suspension
96,Pulmon Expectorant
97,Pulmonext 10 Tablet
98,Pulmonext 5 Tablet
99,Pulmonext Kit
100,Pulmophyllin 100mg Capsule
101,Pulmopres Tablet
102,Pulmopres Tablet
103,Pulmorelief 400mg Tablet
104,Pulmorelief AX 400mg/30mg Tablet
105,Pulmorest D Syrup
106,Pulmorest LS Expectorant
107,Pulmorex D Syrup
108,Pulmorex Expectorant
109,Pulmorex LS Syrup
110,Pulmoril Syrup
111,Pulmosil 0.8mg Injection
112,Pulmotrop Axacap
113,Pulmotrop Inhaler
114,Pulmovax 23 Injection
115,Pulmovet LC Tablet
116,Pulmowin 400mg Tablet
117,Pulmowin DM Syrup
118,Pulmoxyl 125mg Dry Syrup
119,Pulmoxyl 125mg Tablet
120,Pulmoxyl 250 Capsule
121,Pulmoxyl 250mg Tablet DT
122,Pulmoxyl 500mg Capsule
123,Pulmoza 200mg Tablet
124,Pulmy AG Syrup
125,Pulmy AG Syrup
126,Pulomrest D Syrup
127,Pulsar 40mg Injection
128,Pulsar 40mg Tablet
129,Pulsar D 10mg/40mg Tablet
130,Pulsar D 30mg/40mg Capsule SR
131,Pulse DSR Capsule
132,Pulser 40mg Tablet
133,Pulser 40mg Tablet
134,Pulser 40mg Tablet
135,Pulsid 10mg Tablet
136,Pulsid 5mg Tablet
137,Pulxime Tablet
138,Puma Cet 5mg Tablet
139,Pumactor Ointment
140,Pumactor Ointment
141,Pumazole 20mg Capsule
142,Pumazole 20mg Capsule
143,Pump 40mg Injection
144,Pump 40mg Tablet
145,Pump 40mg Tablet
146,Pump D 10mg/20mg Tablet
147,Pump D 10mg/20mg Tablet
148,Punch 40mg Injection
149,Punch 40mg Tablet
150,Punch DSR Capsule
151,Punch Plus Tablet
152,Punchderm Cream
153,Punchorox 150mg Tablet
154,Punchorox 50mg Tablet
155,Pungect 40mg Injection
156,Pungect 40mg Tablet
157,Pungect D 10mg/40mg Tablet
158,Pungect D 30mg/40mg Capsule SR
159,Pungect D 30mg/40mg Capsule SR
160,Punima A 200mg/20mg Capsule SR
161,Punj 100mg Soft Gelatin Capsule
162,Punj 100mg Soft Gelatin Capsule
163,Punj 200mg Soft Gelatin Capsule
164,Punox 600 Tablet
165,Punpil-DSR Capsule
166,Punser-D 10mg/40mg Tablet
167,Punser-D 10mg/40mg Tablet
168,Punto 40mg Injection
169,Puocef 200 mg/200 mg Tablet
170,Pupina Syrup
171,Puradine 5% Ointment
172,Puradine 5% Powder
173,Puradine Gargle
174,Puradine M Ointment
175,Puradine OZ Ointment
176,Puramol 650mg Tablet
177,Puraphvl-LM 10mg/5mg/200mg Tablet
178,Pure 650mg Tablet
179,Pure PT 4000mg/500mg Injection
180,Pureace-P Oral Suspension
181,Purebect CS 500mg/500mg Injection
182,Purebect CS 500mg/500mg Injection
183,Purecef 1gm Injection
184,Purecef S 1000 mg/500 mg Injection
185,Purecef S 500 mg/500 mg Injection
186,Purecef S Injection
187,Purecet M Tablet
188,Purecip 250mg Tablet
189,Purecip 500mg Tablet
190,Purecip 500mg Tablet
191,Pureclav 500mg/125mg Tablet
192,Pureclav Dry Syrup
193,Purecoxib 120mg Tablet
194,Purecoxib 90mg Tablet
195,Purederm Plus Cream
196,Puredox 100mg Tablet
197,Puredox 200mg Tablet
198,Puredox 50mg Syrup
199,Puredox CV 200mg/125mg Tablet
200,Puredox CV 200mg/125mg Tablet
201,Puredox S 1000mg/500mg Injection
202,Puredox S 1000mg/500mg Injection
203,Puredox S 250mg/125mg Injection
204,Puredox S 250mg/125mg Injection
205,Puredoxim 200mg Tablet
206,Puredoxim CV 200mg/125mg Tablet
207,Purefix 50mg Syrup
208,Purefix LB 200mg Tablet DT
209,Pureflox 0.3% Eye Drop
210,Pureflox 200mg Tablet
211,Pureflox C Syrup
212,Pureflox OZ 200mg/500mg Tablet
213,Pureflox OZ 200mg/500mg Tablet
214,Pureflox OZ Syrup
215,Pureflox OZ Syrup
216,Pureformin SR 1000 Tablet
217,Pureformin SR 1000 Tablet
218,Puregest 100mg Capsule
219,Puregest 200 Soft Gelatin Capsule
220,Puregest 400 Soft Gelatin Capsule
221,Puregraf 150 IU PFS
222,Puregraf 150IU HP Injection
223,Puregraf 75IU HP Injection
224,Purelak 3.35gm Syrup
225,Purelite 250mg Tablet
226,Puremal AB 75mg Injection
227,Puremal AL 80mg/480mg Tablet
228,Puremal AL 80mg/480mg Tablet
229,Puremik 100mg Injection
230,Puremik 500mg Injection
231,Puremol 1000mg Infusion
232,Puremox 250mg Tablet
233,Puremox 250mg Tablet
234,Purenim-P Tablet
235,Purenima 100mg Capsule
236,Purenima 200mg Capsule
237,Pureof 200mg Tablet
238,Pureof 200mg Tablet
239,Pureof 50mg Suspension
240,Pureof 50mg Suspension
241,Purepam Injection
242,Purepam Injection
243,Purepan 40mg Tablet
244,Purepan-DM 10mg/40mg Tablet
245,Purepara 250mg Oral Suspension
246,Puresafe 200mg Tablet
247,Puresafe 50mg Syrup
248,Puresafe 50mg Syrup
249,Puresafe-CV 200mg/125mg Tablet
250,Puresafe-CV Dry Syrup
251,Purespas M 80mg/250mg Tablet
252,Purest 10mg Tablet
253,Puretazo 4000mg/500mg Injection
254,Puretrig 5000IU HP Injection
255,Purevas 10 Tablet
256,Purevas 20mg Tablet
257,Purevas F 10mg/160mg Tablet
258,Purevert 8mg Tablet
259,Purewet 0.5% w/v Eye Drop
260,Purewet 0.5% w/v Eye Drop
261,Purezine 5mg Tablet
262,Purezon 1gm Injection
263,Purezon 500mg Injection
264,Purezon-S 1gm/0.5gm Injection
265,Purfact 40mg Capsule
266,Purfact 40mg Capsule
267,Puri Nethol 50mg Tablet
268,Puribact 600mg Tablet
269,Purich 1200mg Tablet
270,Purich 500mg Syrup
271,Purich 800mg Tablet
272,Purigard 100 Tablet
273,Puril 100mg Tablet
274,Puril 300mg Tablet
275,Purinol 100mg Tablet
276,Purinol 100mg Tablet
277,Purinol 300mg Tablet
278,Purip 40mg Tablet
279,Purip-DSR Capsule
280,Purocef 500mg Tablet
281,Purocef 500mg Tablet
282,Purocef CV 500mg/125mg Tablet
283,Purocef CV 500mg/125mg Tablet
284,Purocin Ointment
285,Purolac Syrup
286,Purolac Syrup
287,Purolic 100mg Tablet
288,Puromi 20mg Capsule
289,Puron 25mg Tablet
290,Puron 50mg Injection
291,Puron Gel
292,Puron Plus 25 mg/500 mg Tablet
293,Purple-PD Capsule SR
294,Purplz 100mg Injection
295,Push UP 5mg Syrup
296,Putmef A 80mg/100mg Tablet
297,Putmef D 80mg/250mg Tablet
298,Putmef D 80mg/250mg Tablet
299,Putmef DM 10mg/250mg Tablet
300,Putmef DM 10mg/250mg Tablet
301,Putpod 200mg Tablet DT
302,Putpod 50mg Dry Syrup
303,Putpod-CV Dry Syrup
304,Putpod-DS Dry Syrup
305,Putpod-DS Dry Syrup
