,items
0,PYRA 500MG TABLET
1,PYRA 750MG TABLET
2,PYRAKEM OVAL 500MG TABLET
3,PYRATIS 750MG TABLET
4,PYRATIS 750MG TABLET
5,PYREMOL 500MG INJECTION
6,PYREMOL IB 100 MG/162.5 MG SUSPENSION
7,PYRIN 25000IU INJECTION
8,PYROCARE 150MG INJECTION
9,Pyace 250mg Oral Suspension
10,Pyace 650 Tablet
11,Pyace-IV Infusion
12,Pybactum 4000 mg/500 mg Injection
13,Pyceff 250mg Syrup
14,Pyceff 250mg Tablet DT
15,Pyceff 250mg Tablet DT
16,Pyceff 500mg Tablet DT
17,Pyceff Kid 125mg Syrup
18,Pyceff Kid 125mg Tablet DT
19,Pychlor Dexa Eye Drop
20,Pychlor Dexa Eye Ointment
21,Pychlor Eye Ointment
22,Pychlor Eye/Ear Drops
23,Pychlor Eye/Ear Drops
24,Pydase DP 50mg/325mg/10mg Tablet
25,Pydase P 500mg/10mg Tablet
26,Pydase Tablet
27,Pydase-D Tablet
28,Pydof 10mg/10mg/2.5mg Tablet
29,Pydofol Tablet
30,Pydofol Tablet
31,Pydox 100mg Tablet
32,Pydox OD Tablet
33,Pye 15mg Tablet
34,Pye 30mg Tablet
35,Pye M 15 mg/500 mg Tablet
36,Pyeevon Spas Capsule
37,Pyfin FM 25mg/500mg Tablet
38,Pyglo Tablet
39,Pylide 200mg Tablet
40,Pylide SP 100mg/500mg/10mg Tablet
41,Pylide-P Tablet
42,Pylide-P Tablet
43,Pylocaine Oral Suspension Mint Sugar Free
44,Pylodec 50mg Injection
45,Pylodil 2 Solution
46,Pylodil 5% Solution
47,Pylokit Kit
48,Pylokit-AC Kit
49,Pylomex 20mg Capsule
50,Pylomox 500 mg/750 mg/15 mg Kit
51,Pylonorm Tablet
52,Pylonorm Tablet
53,Pylorab 20mg Tablet
54,Pylorab DSR Capsule
55,Pylorex 30mg Capsule
56,Pylorex DSR 30 mg/20 mg Capsule
57,Pylorex Tablet
58,Pyloripan 40mg Tablet
59,Pyloripan-DSR Capsule
60,Pymex 500mg Tablet
61,Pymex 500mg Tablet
62,Pymex 750mg Tablet
63,Pymol 125mg Tablet
64,Pymol 500mg Tablet
65,Pymol 650mg Tablet
66,Pymol Plus Suspension
67,Pymol Suspension
68,Pymol Suspension
69,Pyne 25mg Tablet
70,Pyne 50mg Tablet
71,Pynext 650mg Tablet
72,Pynomax - OD Tablet SR
73,Pynomax 500mg Tablet
74,Pynomax ODP 500mg/150mg Tablet
75,Pynomax TX Tablet
76,Pynor Tablet
77,Pyo Spas 20mg/250mg Tablet
78,Pyoderm Cream
79,Pyodistig 60mg Tablet
80,Pyogin Plus Mouth Wash
81,Pyogin-KF Dental Gel
82,Pyohex 0.2% Mouth Wash
83,Pyonil Gum Paint
84,Pyra 1200mg Tablet
85,Pyracron 650mg Tablet
86,Pyrakem 500mg Tablet
87,Pyrakem 650mg Tablet
88,Pyrakem Drop
89,Pyrakem Infusion
90,Pyrakem Injection
91,Pyrakem P 250mg/5ml Syrup
92,Pyralfin 25 mg/500 mg Tablet
93,Pyralgin 100 mg/500 mg Tablet
94,Pyralgin Syrup
95,Pyralin 750mg Tablet
96,Pyramed 750mg Tablet
97,Pyramet Tablet
98,Pyramid 750mg Tablet
99,Pyramid Granules
100,Pyranij 500mg Tablet
101,Pyranij 500mg Tablet
102,Pyranim 100mg Tablet MR
103,Pyranim 100mg Tablet MR
104,Pyrant 4mg/500mg/5mg Tablet
105,Pyrant 4mg/500mg/5mg Tablet
106,Pyratic 250mg Oral Suspension
107,Pyratic Tablet
108,Pyraz 500mg Tablet
109,Pyrazid 500mg Tablet
110,Pyrazid 500mg Tablet
111,Pyrazid 750mg Tablet
112,Pyrazide 750 Tablet
