,items
0,Qibostat Tablet
1,Qinarsol 300mg Injection
2,Qinarsol 300mg Tablet
3,Qinet 100mg Tablet
4,Qinet 150mg Syrup
5,Qinet 300mg Tablet
6,Qinet 600mg Injection
7,Qinet 600mg Tablet
8,Qinofal 300mg Tablet
9,Qinofal 600mg Tablet
10,Qipy 10mg Capsule
11,Qipy 25mg Capsule
12,Qizace 200mg Tablet
13,Qizace MR 100mg/325mg/250mg Tablet
14,Qizace P 100mg/325mg Tablet
15,Qizace TH 100mg/4mg Tablet
16,Qizace TH 100mg/8mg Tablet
17,Qizace-RD Capsule SR
18,Qizopan 40mg Injection
19,Qizopan 40mg Tablet
20,Qizopan D 10mg/40mg Tablet
21,Qizopan D 30mg/40mg Capsule SR
