,items
0,RB Care DM 10 mg/20 mg Tablet
1,RB FLEX 20MG/1ML INJECTION
2,RB FLEX 400MG TABLET
3,RB Form DSR Capsule
4,RB Gut L 75 mg/20 mg Capsule
5,RB Kool 20mg Tablet
6,RB Kool D 30mg/20mg Capsule SR
7,RB Pride Tablet
8,RB-Cold Syrup
9,RB-DSR Capsule
10,RB-M 5mg/10mg Tablet
11,RBP L 75mg/20mg Capsule
12,RBT-Plus Tablet
13,Rb Cef 500mg Tablet
14,Rb Pregsave 200mg Capsule
15,Rb Pregsave 200mg Capsule
16,Rb Pregsave 200mg Injection
17,Rb-Red XT Syrup
18,Rbc 20mg Tablet
19,Rbc D 10mg/20mg Tablet
20,Rbc DSR Capsule
21,Rbcare 20mg Injection
22,Rbcare 20mg Tablet
23,Rbcare D 30mg/20mg Capsule SR
24,Rbcare LD 75mg/20mg Capsule
25,Rbcel 2.5mg Injection
26,Rbcel 2.5mg Injection
27,Rbcort 40mg Injection
28,Rbcort 40mg Injection
29,Rbeat 20mg Tablet
30,Rbfine D 30mg/20mg Capsule SR
31,Rbflox 200mg Tablet
32,Rbflox 200mg Tablet
33,Rbit D 30mg/20mg Capsule SR
34,Rbit D 30mg/20mg Capsule SR
35,Rbp DSR 30 mg/20 mg Capsule
36,Rbp Tablet
37,Rbp-D Capsule
38,Rbr 20mg Tablet
39,Rbr DSR Capsule
40,Rbson 20mg Capsule
41,Rbson D Capsule SR
42,Rbson L Capsule
43,Rbsys 20 Tablet
44,Rbsys L 75mg/20mg Capsule
45,Rbtas DSR 30mg/20mg Capsule
46,Rbwin 20mg Tablet
47,Rbwin D 30mg/20mg Capsule SR
48,Rbx DSR 30 mg/20 mg Capsule
49,Rbz 20mg Tablet
50,Rbz 20mg Tablet
51,Rbz IT 20mg/150mg Capsule
52,Rbz LS 75mg/20mg Capsule
53,Rbz LS 75mg/20mg Capsule
54,Rbz-DSR Capsule
55,Rbzole 20mg Tablet
