,items
0,RC Cough LS Syrup
1,RC Nova 250mg Tablet
2,RC Nova 500mg Tablet
3,RC Nova Injection
4,RC Zonty 60mg Injection
5,RCT 10mg Tablet
6,RCT 20mg Tablet
7,RCT 20mg Tablet
8,Rcap 20mg Tablet
9,Rcap D 30mg/20mg Capsule SR
10,Rcar 20mg Capsule
11,Rcar 20mg Capsule
12,Rcepod 100mg Tablet
13,Rcepod 100mg Tablet
14,Rcepod 200 Tablet DT
15,Rcepod AZ 200mg/250mg Tablet
16,Rcepod CV 200mg/125mg Tablet
17,Rcepod CV 200mg/125mg Tablet
18,Rcepod O 200mg/200mg Tablet
19,Rcet-L Tablet
20,Rcetam 400mg Capsule
21,Rcf 100mg Tablet DT
22,Rcf 100mg Tablet DT
23,Rcid DSR 30 mg/20 mg Capsule
24,Rcid DSR 30mg/20mg Capsule
25,Rcifax 400 Tablet
26,Rcifax 550 Tablet
27,Rcifax Suspension
28,Rcifax Tablet
29,Rcip 500mg Tablet
30,Rcip 500mg Tablet
31,Rclo P 100mg/325mg Tablet
32,Rclo SP 100mg/325mg/15mg Tablet
33,Rclonac Tablet SR
34,Rcobal GB 300mg/500mcg Tablet
35,Rcobal PG 750mcg/75mg Capsule
36,Rcof Syrup
37,Rcold Syrup
38,Rcon-LSR Capsule
39,Rcord 5mg Capsule
40,Rcord 5mg Capsule
41,Rcpan 40mg Injection
42,Rcpan 40mg Tablet
43,Rct 500mg/600mg Tablet
44,Rcut  Tablet
45,Rcut  Tablet
46,Rcut-D Capsule SR
