,items
0,RD 20mg/20mg Capsule SR
1,RD Capsule
2,RD Care 30mg/20mg Capsule SR
3,RD Cool-D Capsule SR
4,RD Cool-D Capsule SR
5,RD Cool-L Capsule SR
6,RD Mox CV 500mg/125mg Tablet
7,RD Mox CV Dry Syrup
8,RD OD 30 mg/20 mg Capsule
9,RD S 10 mg/150 mg Tablet
10,RD Sun 30 mg/20 mg Tablet
11,RD V 10mg/150mg Tablet
12,RD-Aziz 100mg Suspension
13,RD-Aziz 200mg Suspension
14,Rdin 150mg Tablet
15,Rdin 300mg Tablet
16,Rdinxt 150mg Capsule
17,Rdl-C 10 Capsule
18,Rdmac D 30mg/20mg Capsule SR
19,Rdrive 20mg Injection
20,Rdrive 20mg Tablet
21,Rdrive 20mg Tablet
22,Rdsto 30mg/20mg Capsule SR
