,items
0,SA 12 Ointment
1,SA 20 Ointment
2,SA Col Syrup
3,SA Cyp Syrup
4,SA Gestron 200mg Soft Gelatin Capsule
5,SA Rapid 0.5mg Tablet
6,SA Rapid 1mg Tablet
7,SA-Don 200 Tablet
8,SA-Don 400 Tablet
9,SACLO P 100MG/500MG TABLET
10,SACLO SP 100MG/500MG/15MG TABLET
11,SAMONEC MR TABLET
12,SAMPURE 400MG TABLET
13,SAN 10mg Tablet DT
14,SANXIT PLUS 0.5MG/10MG TABLET
15,Saan 50mg Tablet
16,Saan 50mg Tablet
17,Saanbeta 5mg/25mg Tablet XL
18,Saanbeta 5mg/50mg Tablet XL
19,Saannerve Plus 750mcg/75mg Capsule
20,Saanvas 20mg Tablet
21,Saanvas R 5mg Tablet
22,Saarcip 500mg Tablet
23,Saaz -DS Tablet DR
24,Saaz Tablet DR
25,Sabact Syrup
26,Sabclav 500mg/125mg Tablet
27,Sabez DSR Capsule
28,Sabezole D 10mg/20mg Tablet
29,Sabezole D 30mg/20mg Capsule SR
30,Sabfer 20mg Injection
31,Sabome 500mg Tablet
32,Sabpan 40 Tablet
33,Sabpan 40mg Injection
34,Sabpan D 10mg/40mg Tablet
35,Sabpan-DSR Capsule
36,Sabro Syrup
37,Sabronil 200mg Tablet SR
38,Sabstat 40 Tablet
39,Sabstat 80 Tablet
40,Sabtene M Forte 1000mg/20mg Tablet ER
41,Sabu 100mg Tablet
42,Sabuton 100mg/500mg Tablet
43,Saccip DS 500mg Tablet
44,Saccip-TZ 500mg/600mg Tablet
45,Sacctik Plus Oral Suspension 5ml
46,Sacdase 20mg Tablet
47,Sacdase-D 50mg/10mg Tablet
48,Sacdase-DP 50mg/325mg/10mg Tablet
49,Sacdase-DP 50mg/325mg/10mg Tablet
50,Sacdom 10mg/150mg Tablet
51,Sacflox 500mg Tablet
52,Sacflox 750mg Tablet
53,Sachcort 40mg Injection
54,Sachrotril-R Sachet Orange
55,Saclo Topical Solution
56,Saclot 500mg Tablet
57,Sacnate Forte Tablet
58,Sacnax 0.5gm/0.5gm Injection
59,Sacnax 0.5gm/0.5gm Injection
60,Sacort 40mg Injection
61,Sacort 6mg Tablet
62,Sacort 6mg Tablet
63,Sacprim 7.5mg Tablet
64,Sacquine 300mg Tablet
65,Sacquine 600mg Tablet
66,Sacquine 600mg Tablet
67,Sacrolyte Plus Sachet
68,Sacrulose Syrup
69,Sacspas 2.5mg/5mg/10mg Tablet
70,Sactum O 100mg Tablet
71,Sactum O 100mg Tablet
72,Sactum O 200mg Tablet
73,Sactum O 50mg Dry Syrup
74,Sactum-O 50 Tablet DT
75,Sactum-Ofx Tablet
76,Sacutan 100 Tablet
77,Sacutan 50 Tablet
78,Saczine 10mg Tablet
79,Saczine-Cold Tablet
80,Saczine-L 5mg Tablet
81,Saczine-L 5mg Tablet
82,Sadal 100mg/325mg Tablet
83,Sadal D 100mg/325mg Tablet
84,Sadal Plus 100mg/325mg/15mg Tablet
85,Saf F 150mg Tablet
86,Saf Pid 150 mg/1000 mg/1000 mg Tablet
87,Saf Pid 150mg/1000mg/1000mg Tablet
88,Saf-TZ Injection
89,Saface 2.5mg Tablet
90,Saface H 5 mg/12.5 mg Tablet
91,Safacef-SB Injection
92,Safax Oral Solution
93,Safaz 250mg Tablet
94,Safaz 500mg Tablet
95,Safcin SP 100mg/325mg/15mg Tablet
96,Safclav 1000mg/200mg Injection
97,Safclav 1000mg/200mg Injection
98,Safclav 200mg/28.5mg Tablet
99,Safclav 200mg/28.5mg Tablet
100,Safclav 250mg/125mg Tablet
101,Safclav 250mg/50mg Injection
102,Safclav 250mg/50mg Injection
103,Safclav 500mg/100mg Injection
104,Safclav 500mg/100mg Injection
105,Safclav 500mg/125mg Tablet
106,Safclav 500mg/125mg Tablet
107,Safclav DS Syrup
108,Safclav DS Syrup
109,Safdom 100mg Tablet
110,Safdom 200mg Tablet
111,Safdom 50mg Tablet DT
112,Safdom 50mg Tablet DT
113,Safdom CV 200mg/125mg Tablet
114,Safdom CV 200mg/125mg Tablet
115,Safdom Syrup
116,Safe 100mg Tablet
117,Safe 100mg/500mg Tablet
