,items
0,SB Clav 500mg/125mg Tablet
1,SB Clox 250 mg/250 mg Capsule
2,SB Clox 250 mg/250 mg Capsule
3,SB Mox 125mg Syrup
4,SB Mox 500mg Capsule
5,SB-Cort-AM Syrup
6,SBZ 10K Capsule
7,SBZ 10K Capsule
8,Sb Citral 1.25gm Syrup
9,Sb Sera D 50mg/10mg Tablet
10,Sb Spas 10mg/250mg Tablet
11,Sb Spas D 80mg/250mg Tablet
12,Sbc Pod 100mg Dry Syrup
13,Sbc Pod 100mg Dry Syrup
14,Sbc Pod 200mg Tablet DT
15,Sbc Pod CV 200mg/125mg Tablet
16,Sbcef 1000mg Injection
17,Sbcef 250mg Injection
18,Sbcef 500mg Injection
19,Sbcef S 250mg/125mg Injection
20,Sbcef S 500mg/250mg Injection
21,Sbcef T 1000mg/125mg Injection
22,Sbcold 5mg/500mg/5mg Tablet
23,Sbcold 5mg/500mg/5mg Tablet
24,Sbcold Plus 2mg/500mg/5mg Tablet
25,Sbcort 6mg Dry Syrup
26,Sbcort 6mg Dry Syrup
27,Sbcort 6mg Tablet
28,Sbdapa 10 Tablet
29,Sbdol MR 100mg/325mg/250mg Tablet
30,Sbdol P 100mg/325mg Tablet
31,Sbdol P Syrup
32,Sbdol SP 100mg/325mg/15mg Tablet
33,Sbdoxil 10mg/10mg/2.5mg Tablet
34,Sbdoxil 10mg/10mg/2.5mg Tablet
35,Sbflam Syrup
36,Sbflam Syrup
37,Sbflox 200mg Tablet
38,Sbflox OZ 200mg/500mg Tablet
39,Sbflox OZ Syrup
40,Sbg Plus Expectorant
41,Sbg Plus Expectorant
42,Sbgesic 100mg Tablet
43,Sbgesic P 100mg/325mg Tablet
44,Sbgesic P 100mg/325mg Tablet
45,Sbgest 200 Capsule
46,Sbisop 40mg Tablet SR
47,Sbnate DS 1000mg Tablet
48,Sbpress A 5mg/50mg Tablet
49,Sbsol Soap
50,Sbter LS Syrup
51,Sbther 150mg Injection
52,Sbther 150mg Injection
53,Sbther LM 80mg/480mg Tablet
54,Sbtum 375mg Tablet
55,Sbzole 20mg Capsule
