,items
0,SEAFAX 250 MG CAPSULE
1,SEAZOX 500 MG TABLET
2,SEDOSOLVIN SUSPENSION
3,SEMDAYS 50MG/10MG TABLET
4,SEMDAYS 50MG/10MG TABLET
5,SEMDAYS 50MG/10MG TABLET
6,SEMI GLYNASE 2.5MG TABLET
7,SENORM 10MG TABLET
8,SENORM 5 MG TABLET
9,SENVAL 300 MG TABLET
10,SENVAL 500 MG TABLET
11,SEP 10mg Tablet
12,SEP 10mg Tablet
13,SEPEXIN 250 MG TABLET
14,SEPHEN 125 MG TABLET
15,SERAX PLUS TABLET
16,SERDI TABLET
17,SEROSTAT 250MG INJECTION
18,SEROZ D 50 MG/10 MG TABLET
19,SEZIN 25MG TABLET
20,SEZIN-DM 10MG/20MG TABLET
21,SEZOPAM TABLET MD
22,Sea Fresh 0.5% Eye Drop
23,Seacalm Tablet
24,Seacure -SR 200 Tablet
25,Seacure 100mg Tablet
26,Seacure 400mg Tablet SR
27,Seacure O 200mg Tablet
28,Seacure SR 300 Tablet
29,Seacure-AQ Injection
30,Seadrox 125mg Syrup
31,Seadrox 250mg Tablet
32,Seadrox 250mg Tablet
33,Seadrox 500mg Tablet
34,Seadrox 500mg Tablet
35,Seafax 250mg/5ml Dry Syrup
36,Seafax 500mg Capsule
37,Seafi 200mg Tablet
38,Seagra 100 Tablet
39,Seagra 50 Tablet
40,Sealcold LM 5mg/10mg Tablet
41,Seamaf Spas Tablet
42,Seamas 0.5gm/0.5gm Injection
43,Seaol 20mg Tablet
44,Seaol CH 20mg/12.5mg Tablet
45,Seaol CH 40mg/12.5mg Tablet
46,Seap D Tablet
47,Seapan 40 Injection
48,Seapan 40 Tablet
49,Seapan D 10mg/40mg Tablet
50,Seapan-DSR Capsule
51,Searab 20mg Tablet
52,Searab 20mg Tablet
53,Searab D 10mg/20mg Tablet
54,Searab D 30mg/40mg Capsule SR
55,Searab L 75mg/20mg Capsule SR
56,Searab L 75mg/20mg Capsule SR
57,Seat 10mg Tablet
58,Seat 10mg Tablet
59,Seat Tablet
60,Seazen 50mg/10mg Tablet
61,Seazox 250mg Tablet
62,Sebagard Cream
63,Sebagard P Lotion
64,Sebandro 2% Cream
65,Sebandro 200mg Tablet
66,Sebandro Lotion
67,Sebandro Soap
68,Sebclav 250mg/125mg Tablet
69,Sebclav 625 LB Tablet
70,Sebclav 625 LB Tablet
71,Sebclav 625 Tablet
72,Sebenz 10mg Tablet
73,Sebenz 5mg Tablet
74,Sebicef S 1000mg/500mg Injection
75,Sebicef S 500mg/500mg Injection
76,Sebicef S 500mg/500mg Injection
77,Sebifin Cream
78,Sebifin Cream
79,Sebifin Dusting Powder
80,Sebifin Plus Cream
81,Sebifin Tablet
82,Sebivo 600mg Tablet
83,Sebnate 25mg Injection
84,Sebnate 50mg Injection
85,Sebo C Lotion
86,Seboket Lotion
87,Seboklen KT Shampoo
88,Sebonac Gel
89,Seboral 2% Cream
90,Seboren Shampoo
91,Seboret 20mg Capsule
92,Seboret Gel
93,Seboret-Plus Gel
94,Sebotar Topical Solution
95,Sebotar-S Soap
96,Sebowash  Shampoo
97,Sebozide 0.01% Lotion
98,Sebri 300mg Tablet
99,Sebri 300mg Tablet
100,Sebri H 100mg/12.5mg Tablet
101,Sebro LM 10mg/5mg/200mg Tablet
102,Sebtret 10mg Capsule
103,Sebtret 20mg Capsule
104,Sebum ISO 20mg Capsule
105,Sebumclear N Gel
106,Sebuxo 40 Tablet
107,Sec 1000mg Tablet
108,Secam E 0.02mg Tablet
109,Secam P 10mg Tablet
110,Secef 100mg Tablet DT
111,Secef 100mg/5ml Suspension
112,Secef 200mg Capsule
113,Secef 400mg Tablet
114,Secef LB 200 mg/60 mg Tablet
115,Secef O 200 mg/200 mg Tablet
116,Secip TZ 500mg/600mg Tablet
117,Seclaine SP 100mg/325mg/15mg Tablet
118,Seclofen P 100mg/325mg Tablet
119,Seclofen RZ 200mg/20mg Capsule
120,Seclofen SP 100mg/325mg/15mg Tablet
121,Seclofen TZ 100mg/2mg Tablet
122,Seclofen-MR Tablet
123,Seclofen-P Oral Suspension
124,Seclong DS 1000mg Tablet
125,Seclop 100mg/325mg Tablet
126,Secm-P Capsule
127,Secmin 10 Tablet
128,Secmin 25mg Tablet
129,Secmin 50 Tablet
130,Secmin 75 Tablet
131,Secnac 3 Kit
132,Secnida 500mg Tablet
133,Secnida Forte 1000mg Tablet
134,Secnil 500mg Injection
135,Secnil 500mg Syrup
136,Secnil Forte Tablet
137,Secnil Kit
138,Secnitor 1000mg Tablet
139,Secnitor 500mg Tablet
140,Secnorm 1gm Oral Suspension
141,Secnorm D 30mg/20mg Capsule
142,Secnorm LS 75mg/20mg Capsule SR
143,Secnorm-O Oral Suspension
144,Secof DSR 30mg/20mg Capsule
145,Secold Syrup
146,Secort 6 Tablet
147,Secox 2 Capsule
148,Secozam 5mg Tablet
149,Secremax Tablet
150,Secremet 1 Tablet SR
151,Secremet 2mg/500mg Tablet
152,Secretag 1mg Tablet
153,Secretag 2mg Tablet
154,Secrin P 2mg/500mg/15mg Tablet
155,Secrin R Tablet
156,Secrox 250mg Tablet
157,Secrox 500mg Tablet
158,Sectocef-LB 100 Dry Syrup
159,Sector 50mg Dry Syrup
160,Securoxim 750mg Injection
161,Securoxim 750mg Injection
162,Secwin Forte 1000mg Tablet
163,Seczi-3 Kit
164,Seczol DS 1000mg Tablet
165,Sedacam-P 8mg/325mg Tablet
166,Sedal D Tablet
167,Sedal D Tablet
168,Sedam-AC Oral Suspension
169,Sedam-AC Tablet
170,Sedam-LS Syrup
171,Sedan 200mg Tablet
172,Sedan TZ 1000mg/125mg Injection
173,Sedan TZ 1000mg/125mg Injection
174,Sedan TZ 250mg/31.25mg Injection
175,Sedase 10mg Tablet
176,Sedase 10mg Tablet
177,Sedase D 50mg/10mg Tablet
178,Sedase N 100mg/10mg Tablet
179,Sedase Plus 50mg/500mg/10mg Tablet
180,Sedate 0.25 mg Tablet
181,Sedate 0.5mg Tablet
182,Sedate 0.5mg Tablet
183,Sedatif P 100 mg/325 mg Tablet
184,Sedcef 1gm/500mg Injection
185,Sedcef 200mg/200mg Tablet
186,Sedcef LB 200mg/60Million cells Tablet
187,Sedel P Tablet
188,Sedeptine 100 Tablet
189,Sedeptine 25mg Tablet
190,Sedeptine 50mg Tablet
191,Sedipam 10mg Tablet
192,Sedit 250mg Tablet
193,Sedit 500mg Tablet
194,Sedmol 250mg Oral Suspension
195,Sedmont LC 5mg/10mg Tablet
196,Sednock SP 100mg/325mg/15mg Tablet
197,Sedogest 150mg Tablet
198,Sedogest 300mg Tablet
199,Sedopee 10mg Tablet
200,Sedorex DX 4mg/10mg Syrup
201,Sedoril Dcp Syrup
202,Sedoril Kid 2mg/125mg/2.5mg Syrup
203,Sedoril P 1mg/125mg/2.5mg Drop
204,Sedoril Plus Syrup
205,Sedoril Plus Syrup
206,Sedoril XL Syrup
207,Sedpod 200mg Tablet
208,Sedrot-MF Tablet
209,See Roxie 1500mg Injection
210,See Roxie 500mg Tablet
211,See-Joint Tablet
212,Seebind Sachet
213,Seecarb-DS 1000mg Tablet
214,Seecort 6mg Tablet
215,Seedox 200mg Tablet DT
216,Seefodoxime 100mg Tablet
217,Seefodoxime 200mg Tablet
218,Seefotri 1000mg Injection
219,Seeftee 1000mg Injection
220,Seeftee TZ 1000mg/125mg Injection
221,Seegraf 0.5 CAPSULE
222,Seegraf 1 Capsule
223,Seeklo SP 100mg/325mg/15mg Tablet
224,Seekof Syrup
225,Seem 250mg Tablet
226,Seem 500mg Tablet
227,Seemet-M Tablet
228,Seemox 250mg Capsule
229,Seemox 500mg Capsule
230,Seemox CV 1000mg/200mg Injection
231,Seemox CV 1000mg/200mg Injection
232,Seemox CV 500mg/125mg Tablet
233,Seemox CV Dry Syrup
234,Seen 500mg/25mg/5mg Tablet
235,Seepan 40mg Injection
236,Seepan 40mg Tablet
237,Seepan D 10mg/40mg Tablet
238,Seepan D 30mg/40mg Capsule SR
239,Seepenam 1000mg Injection
240,Seepenam 500mg Injection
241,Seepro 250mg Tablet
242,Seepro TZ 500mg/600mg Tablet
243,Seepro TZ 500mg/600mg Tablet
244,Seexone 1gm Injection
245,Seexone 250 Injection
246,Seexone 500 Injection
247,Seexone SB 1.5 Injection
248,Seexone SB 250mg/125mg Injection
249,Seez Syrup
250,Seezide 1000mg Injection
251,Seezide 1000mg Injection
